source,dest,data,model
4707,4706,0,95
4707,4703,0,324
2466,2440,0,47
4611,4610,0,248
2466,2442,0,128
4611,4612,0,503
4611,4615,0,176
4611,4614,0,515
4611,4617,0,161
2466,2447,0,539
2466,2448,0,82
2466,2449,0,415
1302,1305,0,22
1302,1301,0,184
2494,2418,0,83
2494,2414,0,163
2494,2415,0,182
2494,2416,0,93
2494,2417,0,70
2494,2410,0,274
2494,2411,0,67
2494,2412,0,307
2494,2413,0,83
3519,3542,0,27
3519,3543,495,219
2466,2441,0,40
4611,4613,0,1010
2466,2443,0,553
2466,2444,0,58
2466,2445,0,180
2466,2446,0,298
4611,4616,0,67
4611,4619,0,129
4611,4618,0,322
2408,2409,20,260
2408,2407,0,129
3520,3515,0,280
3520,3514,0,329
3520,3516,0,231
3520,3511,0,45
3520,3510,0,170
3520,3513,0,42
3520,3512,0,220
3520,3519,0,16228
3520,3518,0,4431
2478,2463,0,28
2478,2466,0,23
2478,2464,0,24
3554,3552,0,73
3554,3553,0,153
1103,1307,0,257
1103,1308,0,26
3531,3523,0,51
2475,2472,0,78
2443,2449,0,172
2443,2448,0,150
2443,2447,55,449
2443,2446,0,130
2443,2445,135,895
2443,2444,140,198
2443,2442,0,426
2443,2441,0,152
2443,2440,0,142
2419,2424,305,200
5905,5903,0,451
2458,2419,0,26
1207,1210,0,29
1207,1211,0,110
2489,2490,0,25
2489,2491,0,31
2423,3506,40,48
4709,4714,70,99
4709,4710,20,227
4709,4711,0,31
5915,4813,0,26
5915,4811,0,442
5915,4810,0,22
5915,4814,0,21
5915,4819,0,38
2481,2466,0,268
1307,1211,0,501
1307,1210,0,113
1307,1212,0,39
2490,2462,0,36
2477,2463,0,25
2418,2420,0,55
2418,2423,80,106
2418,2424,0,77
1314,2405,0,105
1314,2407,0,222
1314,2406,0,308
1314,2408,0,23
4717,4810,2555,295
4717,4811,0,34
4717,4812,100,67
5915,4805,0,21
5937,5909,0,46
5937,5903,0,141
5937,5901,0,29
5937,5907,0,107
5937,5905,0,58
3521,3518,0,401
3521,3519,0,1161
4818,5953,0,24
3521,3512,0,30
3521,3514,0,25
3521,3515,0,39
2457,2447,0,42
2466,2467,0,2500
2466,2464,0,1490
2466,2465,0,7573
2466,2462,0,164
2466,2463,0,313
2466,2460,0,997
2466,2461,0,426
2466,2468,0,292
2466,2469,0,176
4706,4607,0,76
4706,4606,0,30
2410,2409,0,395
5939,5933,0,37
5939,5935,0,107
5939,5937,0,825
4806,4704,0,45
4806,4707,0,72
4806,4706,0,64
4806,4708,0,85
