source,data,model
1001,85,6143
1002,25,665
1003,30,514
1004,25,566
1005,25,1065
1006,95,969
1007,30,954
1008,40,1077
1009,0,542
1010,0,691
1101,765,442
1102,290,1831
1103,0,1138
1201,65,375
1202,95,639
1203,60,535
1204,40,282
1205,510,571
1206,1410,1180
1207,770,1611
1208,1970,1046
1209,30,8455
1210,80,1220
1211,105,876
1212,45,1245
1213,115,265
1214,160,554
1215,280,502
1216,70,269
1217,60,2817
1218,0,210
1301,165,1880
1302,0,208
1303,2685,720
1304,575,299
1305,390,1653
1306,455,671
1307,180,3123
1308,230,768
1309,240,1292
1310,165,1979
1311,25,607
1312,50,491
1313,0,475
1314,140,843
1315,0,2059
2401,0,300
2402,225,478
2403,25,440
2404,25,309
2405,255,444
2406,35,331
2407,95,489
2408,105,585
2409,910,468
2410,65,1345
2411,150,253
2412,80,813
2413,40,518
2414,75,544
2415,135,356
2416,55,310
2417,305,483
2418,120,692
2419,610,813
2420,345,166
2421,355,551
2422,555,746
2423,555,13178
2424,125,1401
2425,295,2004
2426,95,711
2427,335,446
2428,895,396
2429,120,1262
2430,170,550
2431,255,1140
2432,260,626
2433,45,693
2434,45,1188
2435,220,328
2436,470,1599
2437,515,3812
2438,65,509
2439,200,1736
2440,170,330
2441,855,543
2442,660,685
2443,470,3513
2444,160,402
2445,475,1010
2446,530,1209
2447,395,2168
2448,190,366
2449,215,2341
2450,360,603
2451,55,611
2452,975,927
2453,370,1302
2454,620,2195
2455,435,841
2456,595,2815
2457,1045,3237
2458,205,8358
2459,585,2705
2460,320,2759
2461,550,1451
2462,550,1083
2463,470,1102
2464,235,2961
2465,40,9138
2466,660,38191
2467,455,3690
2468,0,657
2469,560,582
2470,175,1582
2471,40,2789
2472,325,2230
2473,290,3518
2474,20,762
2475,395,2502
2476,305,798
2477,185,769
2478,160,994
2479,90,873
2480,510,513
2481,36530,5950
2482,6215,990
2483,405,487
2484,515,383
2485,45,430
2486,180,1019
2487,90,582
2488,140,632
2489,50,1028
2490,0,393
2491,110,839
2492,85,770
2493,780,1294
2494,70,4273
2495,80,345
2496,25,817
2497,0,1008
2498,0,341
2499,0,962
3501,1140,2950
3502,14005,1998
3506,25,18193
3507,1940,2597
3509,115,1649
3510,185,3293
3511,145,1051
3512,350,3287
3513,35,0
3514,235,808
3515,290,3419
3516,35,1918
3518,345,13467
3519,605,18898
3520,30,49650
3521,110,25108
3522,530,1493
3523,545,5223
3524,185,10217
3525,20,12973
3526,590,8110
3528,225,2816
3529,130,3300
3530,365,11945
3531,485,1936
3532,3030,2808
3534,6930,2114
3536,410,34
3537,55,40
3538,350,2721
3539,160,9238
3540,100,1514
3541,1240,1735
3542,805,2359
3543,305,10208
3544,140,1466
3546,0,367
3547,160,2613
3548,500,2297
3549,50,1080
3551,45,154
3552,1425,573
3553,30,4105
3554,65,876
3556,0,2146
3557,60,529
3558,55,1336
3559,0,0
3560,0,1572
4601,360,448
4602,3180,1431
4603,330,1018
4604,85,60
4605,105,169
4606,205,234
4607,225,1321
4608,205,375
4609,255,647
4610,90,257
4611,45,7651
4612,300,540
4613,85,1201
4614,20,486
4615,285,545
4616,0,246
4617,0,594
4618,60,635
4619,0,404
4620,0,251
4621,105,553
4622,0,943
4623,0,212
4701,80,604
4702,200,489
4703,45,358
4704,45,253
4705,560,839
4706,105,5242
4707,505,1210
4708,185,821
4709,90,1041
4710,235,529
4711,175,6183
4712,1490,671
4713,295,620
4714,50,955
4715,275,2047
4716,75,975
4717,2700,1043
4718,0,836
4801,160,1745
4802,170,3372
4803,155,697
4804,20,275
4805,2240,1321
4806,190,22210
4807,90,1069
4808,425,4053
4809,0,544
4810,1450,2245
4811,585,23140
4812,130,1690
4813,215,1726
4814,45,765
4815,170,972
4816,25,1223
4817,660,1590
4818,440,358
4819,80,2273
5901,35,1518
5903,365,1482
5905,55,643
5907,275,1970
5909,385,3397
5915,445,20871
5917,110,5712
5919,300,1960
5921,355,3497
5923,0,842
5925,25,2602
5927,0,532
5929,0,746
5931,0,905
5933,110,3098
5935,115,3577
5937,375,1838
5939,0,1346
5941,85,1761
5943,0,306
5945,0,78
5947,25,228
5949,45,342
5951,105,1067
5953,0,2604
5955,0,1426
5957,0,41
5959,0,143
6001,0,131
6106,0,763
6107,0,183
6204,0,347
6205,0,197
6208,0,121
