res,work,total,male,female
3554008,3554018,120,55,65
5939039,5939039,85,25,60
3554001,3554018,90,45,45
3554006,3554018,35,10,30
4609017,4611040,140,75,65
4805001,4816037,20,20,0
5955807,5955807,35,15,25
3560001,3560001,490,220,270
2489025,2489025,95,15,75
3557076,3557095,20,10,10
2410045,2466025,45,20,25
2413090,2413090,80,40,35
2410040,2410045,625,300,325
3557073,3557073,80,20,60
2413095,2414085,20,0,15
2452055,2466025,40,15,20
2452050,2452040,30,15,20
2489020,2489025,25,10,10
1001325,1001325,30,25,10
4715066,4718090,80,70,10
4715067,4715067,95,60,40
4715064,4806016,30,15,10
1103008,1103025,40,0,35
1103009,1103025,150,55,95
4715061,4715066,140,70,70
1103005,1103025,115,45,70
1103006,1103025,60,30,25
4817026,4819038,390,135,260
1103001,1103025,55,0,55
4715068,4715068,110,40,65
2496040,2496802,25,10,15
5939037,5939045,30,10,25
5943031,5943031,40,15,25
2431085,2432013,70,25,45
2431087,2466025,30,10,25
2499814,2499814,745,275,470
2431080,2431115,60,30,30
2499816,2499816,205,100,105
2499818,2499818,165,70,95
5941812,5941812,45,25,15
5907041,5935010,165,120,45
4711008,4711008,95,50,45
4701018,4701018,70,35,40
4711004,4711004,40,20,20
2439090,2439097,35,20,10
1201008,1201009,40,10,25
2439097,2449005,25,20,0
4608059,4615020,40,20,20
5923037,5923047,25,30,0
4703004,4703004,350,210,145
4703001,4703001,75,25,50
3539027,3539036,3305,1690,1610
4703009,4703009,60,15,50
1302026,1302037,80,25,55
1302024,1302026,65,35,35
4819074,4819074,435,155,285
1302021,1302037,55,25,30
1301004,1301016,25,25,0
4806014,4806804,35,15,25
1301006,1310032,140,100,35
2487115,2487115,95,50,45
1301001,1301006,315,195,115
1301002,1301006,80,50,30
1302028,1302037,65,45,15
5941019,5941026,25,10,0
1313006,1313027,35,20,15
5901046,5901048,95,65,35
1313004,1313006,85,50,40
1313003,1313003,25,20,0
1313001,1313006,35,20,10
4708009,4708011,40,10,30
4706009,4706027,35,10,30
5941010,5941014,35,30,15
4708004,4806016,25,25,0
5941012,5941014,20,15,10
5941015,5941017,25,10,20
3557074,3557074,135,45,90
5941017,5941017,195,100,95
4708001,4708004,455,165,295
4802038,4802038,40,30,10
4802039,4802039,435,255,175
2409035,2409075,120,65,60
5935016,5939032,20,20,0
2409030,2410045,75,30,50
4605033,4605033,535,270,265
2405050,2405050,90,65,25
4605031,4605033,125,75,45
3541032,3543007,35,25,10
2405055,2406005,40,10,30
4613062,4613062,85,40,45
4802036,4802036,35,20,10
2466095,3520005,25,15,15
2483075,2483065,175,95,85
2441080,2443025,25,10,10
2486075,2486075,60,25,30
2413070,2413080,20,10,10
2483070,2483085,20,20,0
2487025,2487090,260,120,140
2449095,2449095,35,10,25
5917010,5917047,45,10,40
3557071,3557071,145,55,90
2449090,2449057,140,95,50
4718055,4718820,65,25,40
2466075,3520005,30,25,0
2466070,3525005,25,25,0
4806012,4806804,25,20,10
2419005,2419030,45,25,20
2408035,2496020,25,15,0
3549024,3549048,25,15,15
1005024,1005024,50,10,45
2408030,2408055,60,25,35
2407025,2407018,25,15,15
2411025,2411025,30,10,25
4813019,4813031,30,20,0
2449075,2450042,40,20,20
4703071,4703071,455,230,225
2449070,2449075,65,40,30
4706079,4706079,55,10,50
1001347,1001347,170,105,60
4717057,4717052,35,15,20
2418065,2423025,25,0,20
4813014,4813014,160,65,100
1001343,1001343,125,55,75
2418060,2418065,20,0,20
4813017,4811061,30,15,15
2454055,2454080,25,20,10
5949812,5949812,55,25,30
4703074,4703036,20,10,15
3502036,3506008,5855,3095,2755
2454050,2466025,20,10,15
4813002,4813030,95,65,25
