uid,name,region,population,latitude,longitude,commuters
2488,Abitibi,Quebec,24613,48.5706148,-77.9494546,140
2487,Abitibi-Ouest,Quebec,21984,48.7626471,-79.0469034,90
2448,Acton,Quebec,15167,45.5893025,-72.5239499,190
5923,Alberni-Clayoquot Regional District,British Columbia,30345,48.8447352,-125.6317059,0
1306,Albert County,New Brunswick,26749,45.7781844,-64.7774199,455
3557,Algoma District,Ontario,118567,47.6459165,-84.7951524,60
1205,Annapolis County,Nova Scotia,21773,44.8528802,-65.2648927,510
1214,Antigonish County,Nova Scotia,19578,45.542031,-61.8948487,160
2479,Antoine-Labelle,Quebec,33456,46.967219,-75.2639682,90
2476,Argenteuil,Quebec,28931,45.711351,-74.3925274,305
2439,Arthabaska,Quebec,64089,45.9394307,-72.0236274,200
2440,Asbestos,Quebec,14535,45.7741034,-71.9367197,170
2406,Avignon,Quebec,15268,48.1439834,-66.6875886,35
6204,Baffin Region,Nunavut,14372,70.0000,-80.0000,0
2429,Beauce-Sartigan,Quebec,47873,46.016459,-70.6135498,120
2470,Beauharnois-Salaberry,Quebec,59137,45.2564956,-73.9089456,175
2438,Becancour,Quebec,19088,46.3506215,-72.4350552,65
2419,Bellechasse,Quebec,29570,46.7333,-70.7167,610
2405,Bonaventure,Quebec,18267,48.0500,-65.4833,255
3529,Brant County,Ontario,118485,43.1167,-80.3667,130
2446,Brome-Missisquoi,Quebec,46165,45.1333,-72.8000,530
3541,Bruce County,Ontario,63892,44.6174991,-81.3662622,1240
5951,Bulkley-Nechako Regional District,British Columbia,40856,54.8746034,-125.536522,105
1217,Cape Breton County,Nova Scotia,109330,46.1500,-60.1667,60
5917,Capital Regional District,British Columbia,325754,48.434245,-123.9139452,110
5941,Cariboo Regional District,British Columbia,65659,52.4031805,-123.4553619,85
1311,Carleton County,New Brunswick,27184,46.3779509,-67.4899891,25
5945,Central Coast Regional District,British Columbia,3781,51.9329295,-127.0940535,0
5903,Central Kootenay Regional District,British Columbia,57019,49.8685203,-117.5237491,365
5935,Central Okanagan Regional District,British Columbia,147739,49.9473663,-119.5588209,115
2458,Champlain,Quebec,311838,46.4409094,-72.3450988,205
2416,Charlevoix,Quebec,13166,47.4833,-70.4833,55
2415,Charlevoix-Est,Quebec,16624,47.7333,-69.9833,135
1302,Charlotte County,New Brunswick,27366,44.9268,-66.9771,0
3536,Chatham-Kent Division,Ontario,107709,42.1177987,-82.0407137,410
2444,Coaticook,Quebec,16595,45.1336856,-71.8039462,160
3556,Cochrane District,Ontario,85247,50.4700387,-83.0158522,0
1210,Colchester County,Nova Scotia,49307,45.4254775,-63.3275062,80
5939,Columbia-Shuswap Regional District,British Columbia,48219,51.5199009,-118.0935141,0
2481,Communaute-Urbaine-de-l'Outaouais,Quebec,226696,45.4765446,-75.7012723,36530
2466,Communaute-Urbaine-de-Montreal,Quebec,1812723,45.4699445,-73.7852913,660
2423,Communaute-Urbaine-de-Quebec,Quebec,509950,46.8032826,-71.242796,555
5925,Comox-Strathcona Regional District,British Columbia,96131,49.6735133,-124.9282659,25
5919,Cowichan Valley Regional District,British Columbia,71998,48.7569005,-124.0309983,300
1211,Cumberland County,Nova Scotia,32605,45.7000,-64.1000,105
2452,D'Autray,Quebec,38347,46.1720679,-73.2616025,975
2424,Desjardins,Quebec,51855,46.75,-71.116667,125
2472,Deux-Montagnes,Quebec,81417,45.5418051,-73.8932108,325
1203,Digby County,Nova Scotia,19548,44.3000,-65.8000,60
4801,Division No. 1,Alberta,67402,49.9377332,-110.9336125,160
4601,Division No. 1,Manitoba,16432,49.7099236,-95.7962759,360
1001,Division No. 1,Newfoundland and Labrador,242875,46.921452,-53.5646762,85
4701,Division No. 1,Saskatchewan,30238,49.5098991,-102.4627226,80
4810,Division No. 10,Alberta,83061,53.3648741,-111.4604638,1450
4610,Division No. 10,Manitoba,9464,49.6936586,-97.5055406,90
1010,Division No. 10,Newfoundland and Labrador,27864,47.55,-52.7,0
4710,Division No. 10,Saskatchewan,19365,51.65,-103.53,235
4811,Division No. 11,Alberta,975477,53.543997,-113.489856,585
4611,Division No. 11,Manitoba,621451,49.85,-97.208333,45
4711,Division No. 11,Saskatchewan,237629,51.7778129,-106.009897,175
4812,Division No. 12,Alberta,58362,54.615319,-111.6097121,130
4612,Division No. 12,Manitoba,19251,49.9166011,-96.543017,300
4712,Division No. 12,Saskatchewan,23697,51.8888622,-107.6221723,1490
4813,Division No. 13,Alberta,63954,54.3048819,-114.0944882,215
4613,Division No. 13,Manitoba,42183,50.2307896,-96.821851,85
4713,Division No. 13,Saskatchewan,24054,51.972331,-109.2704383,295
4814,Division No. 14,Alberta,26871,53.5119663,-116.7743827,45
4614,Division No. 14,Manitoba,17589,50.1932571,-97.4322673,20
4714,Division No. 14,Saskatchewan,39476,53.034634,-102.9103338,50
4815,Division No. 15,Alberta,34068,51.09,-115.35,170
4615,Division No. 15,Manitoba,21914,50.395278,-100.368889,285
4715,Division No. 15,Saskatchewan,80668,53.2,-105.75,275
4816,Division No. 16,Alberta,42971,58.7016529,-111.9537953,25
4616,Division No. 16,Manitoba,10341,51.0610857,-101.2064523,0
4716,Division No. 16,Saskatchewan,37663,53.1935331,-107.1431596,75
4817,Division No. 17,Alberta,57508,57.7582985,-116.6212527,660
4617,Division No. 17,Manitoba,22899,51.0892086,-99.9744763,0
4717,Division No. 17,Saskatchewan,39587,53.8081202,-108.9390153,2700
4818,Division No. 18,Alberta,14346,54.7016191,-118.0739397,440
4618,Division No. 18,Manitoba,22593,50.9233717,-97.7357319,60
4718,Division No. 18,Saskatchewan,32029,56.6889485,-105.404472,0
4819,Division No. 19,Alberta,86299,55.5133472,-118.6648009,80
4619,Division No. 19,Manitoba,15805,51.833333,-98,0
4802,Division No. 2,Alberta,133913,49.76,-112.26,170
4602,Division No. 2,Manitoba,50869,49.433333,-96.85,3180
1002,Division No. 2,Newfoundland and Labrador,24371,47.361667,-54.893056,25
4702,Division No. 2,Saskatchewan,21635,49.67,-103.86,200
4620,Division No. 20,Manitoba,11013,51.9948374,-101.2394272,0
4621,Division No. 21,Manitoba,22556,53.9885518,-100.3474494,105
4622,Division No. 22,Manitoba,35077,54.6257096,-96.2183508,0
4623,Division No. 23,Manitoba,8989,57.4541661,-96.9211176,0
4803,Division No. 3,Alberta,37580,49.3840055,-113.6692467,155
4603,Division No. 3,Manitoba,42184,49.2717523,-97.6972846,330
1003,Division No. 3,Newfoundland and Labrador,19370,47.8973529,-57.0040199,30
4703,Division No. 3,Saskatchewan,14839,49.6961607,-106.259009,45
4804,Division No. 4,Alberta,11300,51.1255094,-111.063257,20
4604,Division No. 4,Manitoba,9942,49.1848962,-98.9011939,85
1004,Division No. 4,Newfoundland and Labrador,22162,48.55,-58.574167,25
4704,Division No. 4,Saskatchewan,11714,49.903611,-109.479722,45
4805,Division No. 5,Alberta,47606,51.04,-113.4,2240
4605,Division No. 5,Manitoba,13848,49.266667,-100.375,105
1005,Division No. 5,Newfoundland and Labrador,40466,49.0943731,-57.2808406,25
4705,Division No. 5,Saskatchewan,32492,50.5108774,-102.4594149,560
4806,Division No. 6,Alberta,1021060,51.0463129,-114.0534407,190
