uid,distance
1001,1105.87757774
1002,1013.57096643
1003,874.725664283
1004,780.959255686
1005,886.272027672
1006,944.041806975
1007,1179.25713415
1008,1113.3980243
1009,1090.15956209
1010,1179.63846965
1101,422.179345181
1102,378.617378547
1103,350.669269094
1201,219.248258116
1202,186.315917165
1203,161.238519006
1204,228.38217071
1205,185.059399674
1206,251.534488866
1207,236.702116223
1208,291.836461982
1209,347.482120751
1210,339.324635069
1211,286.145999446
1212,393.826272432
1213,454.997251669
1214,451.762532728
1215,529.99073155
1216,549.906439364
1217,593.962092815
1218,586.938499005
1301,126.220145346
1302,49.961943687
1303,148.787298317
1304,158.324120046
1305,161.825771925
1306,238.881407971
1307,265.322162193
1308,245.623605796
1309,211.43124454
1310,137.530754506
1311,96.7840213335
1312,97.4459971748
1313,80.2405430142
1314,187.83917508
1315,344.772478772
2401,517.251347021
2402,406.253257311
2403,396.646767181
2404,337.002051248
2405,280.052164262
2406,215.844325202
2407,192.87254243
2408,249.836403569
2409,217.611555482
2410,186.862710998
2411,155.854160703
2412,140.266960708
2413,104.280774844
2414,131.023072015
2415,150.535934324
2416,162.275997594
2417,135.764097511
2418,147.725173577
2419,147.773565926
2420,173.668683778
2421,212.868099998
2422,209.870110704
2423,174.009602978
2424,163.748495369
2425,166.553345872
2426,127.767432684
2427,107.136782888
2428,94.2582901302
2429,75.1584472535
2430,73.187828281
2431,118.560402837
2432,149.188857338
2433,194.812011796
2434,198.321674758
2435,250.404900272
2436,193.724089895
2437,186.315575526
2438,169.864069575
2439,124.817156789
2440,108.002495553
2441,92.6028732872
2442,78.1741139807
2443,61.1568258633
2444,45.8989385981
2445,44.6361376092
2446,31.6906375077
2447,61.7217248091
2448,86.6352077454
2449,115.601792965
2450,145.534701355
2451,162.095871755
2452,148.562559006
2453,123.36979174
2454,83.2996597821
2455,64.8078345862
2456,46.0757547641
2457,85.0891670477
2458,179.450132752
2459,93.3531435669
2460,113.322918894
2461,135.894401242
2462,229.238615766
2463,125.416068762
2464,108.943919054
2465,92.4277360184
2466,79.9987430357
2467,68.2779780491
2468,41.6628451761
2469,47.5124597149
2470,58.25604627
2471,82.5116865994
2472,88.9694353303
2473,99.9827198175
2474,103.93076826
2475,120.389858868
2476,119.399328123
2477,134.13368874
2478,168.534274584
2479,273.99971778
2480,154.569096605
2481,120.464227051
2482,146.338742908
2483,279.761009571
2484,142.678226218
2485,391.514079052
2486,450.804131278
2487,489.87003823
2488,504.340033959
2489,434.225832644
2490,360.705143701
2491,415.87413685
2492,369.322275618
2493,302.837062169
2494,270.595206287
2495,297.858220701
2496,279.310679658
2497,627.297809256
2498,622.695052207
2499,774.6426026
3501,76.0872851622
3502,108.213361674
3506,103.660652662
3507,70.4246392871
3509,115.212740483
3510,76.6891771262
3511,115.807262333
3512,138.196723667
3513,62.0222147653
3514,48.4188147823
3515,106.578478087
3516,120.076481982
3518,54.5086982823
3519,80.4189108091
3520,46.5613639014
3521,83.6388237359
3522,130.202859881
3523,133.509802707
3524,86.7365215373
3525,89.873134412
3526,53.8380589751
3528,79.8314029333
3529,113.231380259
3530,139.477624001
3531,126.68587241
3532,129.086048083
3534,86.5940148342
3536,47.5890099986
3537,41.5426985273
3538,52.9185235686
3539,101.036175184
3540,79.6288647008
3541,116.337219909
3542,176.019244329
3543,140.114633217
3544,194.956878655
3546,187.853395788
3547,202.708180007
3548,298.055822038
3549,260.930723144
3551,97.0893681642
3552,241.946893222
3553,216.376923474
3554,349.903800089
3556,435.239859816
3557,98.3652690833
3558,186.162550097
3559,107.841350336
3560,710.775923888
4601,105.520262644
4602,73.2679867478
4603,57.2191628014
4604,56.2483847279
4605,62.1638028006
4606,106.543728588
4607,110.134377145
4608,149.943391403
4609,135.526205527
4610,103.091486726
4611,122.8889638
4612,127.988394896
4613,161.793038532
4614,158.814071638
4615,181.10161089
4616,253.469536066
4617,258.251258367
4618,240.176542004
4619,342.391353389
4620,357.044780774
4621,578.534416632
4622,651.604040042
4623,965.013253697
4701,80.5464862414
4702,98.3098745457
4703,112.983543403
4704,148.918720563
4705,191.791769758
4706,210.575302438
4707,202.429526031
4708,265.19378394
4709,326.12055309
4710,314.901284075
4711,333.401975321
4712,374.386384212
4713,376.542925723
4714,470.656527378
4715,490.09660756
4716,501.802602214
4717,581.658098762
4718,877.881872168
4801,153.413555204
4802,128.671784044
4803,90.1994873687
4804,279.954564861
4805,261.214803694
4806,271.173233822
4807,445.392646823
4808,400.074707595
4809,400.671614165
4810,525.161438852
4811,539.117847973
4812,663.912756981
4813,627.250478031
4814,527.225008516
4815,270.989174131
4816,1113.5570981
4817,920.939787948
4818,667.753748683
4819,763.480899469
5901,160.596872763
5903,141.703725249
5905,88.5182910783
5907,112.079008518
5909,82.3549334098
5915,82.4311002226
5917,35.7420738307
5919,71.9805469363
5921,122.132640392
5923,149.469734922
5925,185.681575563
5927,201.265928668
5929,147.304325511
5931,201.450872987
5933,177.254041428
5935,155.564908465
5937,209.43905934
5939,325.227279021
5941,412.022883019
5943,423.857542341
5945,471.779128845
5947,261.162267988
5949,142.33132483
5951,359.454438912
5953,565.775211667
5955,506.072143866
5957,233.015331403
5959,596.219742958
6001,401.954836904
6106,1170.84395096
6107,656.37772566
6204,2490.90265918
6205,1568.80176198
6208,1928.29561043
