uid,name,region,population,latitude,longitude
C1001,Division No. 1,Newfoundland and Labrador,242875,46.921452,-53.5646762
C1002,Division No. 2,Newfoundland and Labrador,24371,47.361667,-54.893056
C1003,Division No. 3,Newfoundland and Labrador,19370,47.8973529,-57.0040199
C1004,Division No. 4,Newfoundland and Labrador,22162,48.55,-58.574167
C1005,Division No. 5,Newfoundland and Labrador,40466,49.0943731,-57.2808406
C1006,Division No. 6,Newfoundland and Labrador,36208,48.8049499,-56.3866692
C1007,Division No. 7,Newfoundland and Labrador,37335,48.9666662,-53.1726951
C1008,Division No. 8,Newfoundland and Labrador,42188,48.42,-53.88
C1009,Division No. 9,Newfoundland and Labrador,20091,51.2487291,-55.358857
C1010,Division No. 10,Newfoundland and Labrador,27864,47.55,-52.7
C1101,Kings County,Prince Edward Island,19180,46.25,-62.5
C1102,Queens County,Prince Edward Island,71619,46.3649938,-63.1656341
C1103,Prince County,Prince Edward Island,44495,46.8014526,-63.9233633
C1201,Shelburne County,Nova Scotia,16231,43.8202278,-65.3644679
C1202,Yarmouth County,Nova Scotia,26843,43.9,-65.8
C1203,Digby County,Nova Scotia,19548,44.3,-65.8
C1204,Queens County,Nova Scotia,11723,44.1631163,-64.9563453
C1205,Annapolis County,Nova Scotia,21773,44.8528802,-65.2648927
C1206,Lunenburg County,Nova Scotia,47591,44.5441625,-64.4797871
C1207,Kings County,Nova Scotia,58866,45,-64.6
C1208,Hants County,Nova Scotia,40513,45.1,-63.9
C1209,Halifax County,Nova Scotia,359183,44.8544,-63.1992
C1210,Colchester County,Nova Scotia,49307,45.4254775,-63.3275062
C1211,Cumberland County,Nova Scotia,32605,45.7,-64.1
C1212,Pictou County,Nova Scotia,46965,45.5776091,-62.6510942
C1213,Guysborough County,Nova Scotia,9827,45.2873196,-61.8262436
C1214,Antigonish County,Nova Scotia,19578,45.542031,-61.8948487
C1215,Inverness County,Nova Scotia,19937,46.2761718,-61.0541688
C1216,Richmond County,Nova Scotia,10225,45.6935815,-60.6488211
C1217,Cape Breton County,Nova Scotia,109330,46.15,-60.1667
C1218,Victoria County,Nova Scotia,7962,46.6311899,-60.4208561
C1301,Saint John County,New Brunswick,76407,45.2796,-66.0628
C1302,Charlotte County,New Brunswick,27366,44.9268,-66.9771
C1303,Sunbury County,New Brunswick,25776,45.9749516,-66.3543893
C1304,Queens County,New Brunswick,11862,45.8333,-66
C1305,Kings County,New Brunswick,64208,45.6604,-65.7898
C1306,Albert County,New Brunswick,26749,45.7781844,-64.7774199
C1307,Westmorland County,New Brunswick,124688,45.9599,-64.5155
C1308,Kent County,New Brunswick,31383,46.4651616,-65.2841777
C1309,Northumberland County,New Brunswick,50817,46.9296444,-65.8859261
C1310,York County,New Brunswick,87212,46.1999035,-67.0250252
C1311,Carleton County,New Brunswick,27184,46.3779509,-67.4899891
C1312,Victoria County,New Brunswick,21172,46.9284511,-67.4027954
C1313,Madawaska County,New Brunswick,35611,47.4214,-68.3606
C1314,Restigouche County,New Brunswick,36134,47.7680127,-66.6892807
C1315,Gloucester County,New Brunswick,82929,47.9290075,-64.4316771
C2401,Les Iles-de-la-Madeleine,Quebec,12824,47.3828692,-61.8656032
C2402,Le Rocher-Perce,Quebec,19298,48.4806516,-63.8940966
C2403,La Cote-de-Gaspe,Quebec,18545,48.9741791,-64.5193317
C2404,La Haute-Gaspesie,Quebec,12722,49.216667,-66.066667
C2405,Bonaventure,Quebec,18267,48.05,-65.4833
C2406,Avignon,Quebec,15268,48.1439834,-66.6875886
C2407,La Matapedia,Quebec,19920,48.3,-67.566667
C2408,Matane,Quebec,22507,48.8445157,-67.5305758
C2409,La Mitis,Quebec,19326,48.6535716,-68.1375384
C2410,Rimouski-Neigette,Quebec,52289,48.4071182,-68.5899567
C2411,Les Basques,Quebec,9848,48.1,-69.066667
C2412,Riviere-du-Loup,Quebec,31826,47.835957,-69.5359854
C2413,Temiscouata,Quebec,22420,47.6445035,-68.9357761
C2414,Kamouraska,Quebec,22494,47.566059,-69.865995
C2415,Charlevoix-Est,Quebec,16624,47.7333,-69.9833
C2416,Charlevoix,Quebec,13166,47.4833,-70.4833
C2417,L'Islet,Quebec,19368,47.1030919,-70.350007
C2418,Montmagny,Quebec,23438,46.9801031,-70.5565719
C2419,Bellechasse,Quebec,29570,46.7333,-70.7167
C2420,L'Ile-d'Orleans,Quebec,6779,46.9654876,-70.9062611
C2421,La Cote-de-Beaupre,Quebec,20984,47.4123275,-71.2740404
C2422,La Jacques-Cartier,Quebec,26459,47.033333,-71.583333
C2423,Communaute-Urbaine-de-Quebec,Quebec,509950,46.8032826,-71.242796
C2424,Desjardins,Quebec,51855,46.75,-71.116667
C2425,Les Chutes-de-la-Chaudiere,Quebec,78808,46.7,-71.283333
C2426,La Nouvelle-Beauce,Quebec,25850,46.4332145,-70.9554256
C2427,Robert-Cliche,Quebec,18771,46.2555934,-70.8482693
C2428,Les Etchemins,Quebec,17745,46.2985679,-70.4137389
C2429,Beauce-Sartigan,Quebec,47873,46.016459,-70.6135498
C2430,Le Granit,Quebec,21830,45.5955313,-70.9074786
C2431,L'Amiante,Quebec,43247,46.1222951,-71.2259251
C2432,L'Erable,Quebec,24021,46.1907518,-71.6337877
C2433,Lotbiniere,Quebec,26851,46.616594,-71.930745
C2434,Portneuf,Quebec,44955,46.6984528,-71.8910008
C2435,Mekinac,Quebec,12809,47.0929111,-73.3187817
C2436,Le Centre-de-la-Mauricie,Quebec,64841,46.6,-72.816667
C2437,Francheville,Quebec,138355,46.5,-72.4167
C2438,Becancour,Quebec,19088,46.3506215,-72.4350552
C2439,Arthabaska,Quebec,64089,45.9394307,-72.0236274
C2440,Asbestos,Quebec,14535,45.7741034,-71.9367197
C2441,Le Haut-Saint-Francois,Quebec,21394,45.5241118,-71.4052592
C2442,Le Val-Saint-Francois,Quebec,28176,45.5257527,-72.1250321
C2443,La Region-Sherbrookoise,Quebec,141212,45.3528411,-72.0168846
C2444,Coaticook,Quebec,16595,45.1336856,-71.8039462
C2445,Memphremagog,Quebec,41871,45.2285619,-72.2066235
C2446,Brome-Missisquoi,Quebec,46165,45.1333,-72.8
C2447,La Haute-Yamaska,Quebec,79175,45.4,-72.733333
C2448,Acton,Quebec,15167,45.5893025,-72.5239499
C2449,Drummond,Quebec,87808,45.8614852,-72.5173998
C2450,Nicolet-Yamaska,Quebec,23496,46.1511344,-72.612084
C2451,Maskinonge,Quebec,23401,46.316667,-72.933333
C2452,D'Autray,Quebec,38347,46.1720679,-73.2616025
C2453,Le Bas-Richelieu,Quebec,50066,45.966667,-73
C2454,Les Maskoutains,Quebec,78917,45.608058,-72.8944642
C2455,Rouville,Quebec,29980,45.433333,-73.05
C2456,Le Haut-Richelieu,Quebec,100753,45.2260631,-73.1815104
C2457,La Vallee-du-Richelieu,Quebec,119993,45.596337,-73.2000611
C2458,Champlain,Quebec,311838,46.4409094,-72.3450988
C2459,Lajemmerais,Quebec,100263,45.6402054,-73.3628835
C2460,L'Assomption,Quebec,103977,45.8166667,-73.4333333
C2461,Joliette,Quebec,54167,46.0232219,-73.439239
C2462,Matawinie,Quebec,43177,46.8005382,-74.0465474
C2463,Montcalm,Quebec,38740,45.9,-73.666667
C2464,Les Moulins,Quebec,110087,45.7557789,-73.6181046
C2465,Laval,Quebec,343005,45.583333,-73.75
C2466,Communaute-Urbaine-de-Montreal,Quebec,1812723,45.4699445,-73.7852913
C2467,Roussillon,Quebec,138172,45.3700543,-73.6303305
