uid,movement
01073,8
01081,7
01117,6
04013,3
08031,13
10003,7
11001,9
12033,21
12086,52
12095,4
12099,4
13089,12
17031,15
17043,3
17119,6
17143,7
18085,16
18089,7
18097,33
18157,4
18163,17
19103,17
20209,12
21011,13
21019,1401
21023,15
21049,35
21063,29
21065,7
21067,148
21069,35
21071,25
21073,6
21089,302
21093,4
21111,27
21113,17
21127,44
21135,91
21141,6
21153,8
21159,6
21161,19
21167,8
21173,115
21175,7
21185,8
21195,6
21199,6
21205,776
21209,31
21221,4
21237,6
22033,19
24001,8
24005,28
25001,10
26049,8
26115,14
26163,9
29047,9
29095,7
29189,8
31055,16
34003,5
36085,13
37031,6
37063,4
37067,7
37119,29
37135,5
39001,54
39003,6
39017,23
39035,26
39049,24
39053,20
39057,7
39061,18
39071,17
39087,58
39089,15
39095,23
39105,18
39113,11
39145,7
39165,5
39173,8
42003,6
42041,11
45063,6
47037,6
47079,9
47093,11
48113,25
50023,8
51027,6
51059,61
51153,17
51157,5
51167,5
51185,9
51683,8
51710,14
54011,237
54039,38
54059,12
54099,90
