uid,usColor,usOpacity,mexicoColor,mexicoOpacity,canadaColor,canadaOpacity
01001,green,0.0714819329996,blue,0.0,blue,0.0
01003,green,0.182314456179,green,0.225222699504,blue,0.0
01005,green,0.253557419042,blue,0.0,blue,0.0
01007,green,0.0736508720796,blue,0.0,blue,0.0
01009,green,0.0727432814806,blue,0.0,blue,0.0
01011,green,0.152461925857,blue,0.0,blue,0.0
01013,green,0.18139412696,blue,0.0,blue,0.0
01015,green,0.261976188353,blue,0.0,blue,0.0
01017,green,0.128831672897,blue,0.0,blue,0.0
01019,green,0.0877659816366,blue,0.0,blue,0.0
01021,green,0.0903198410359,blue,0.0,blue,0.0
01023,green,0.145731068702,blue,0.0,blue,0.0
01025,green,0.197947878788,blue,0.0,blue,0.0
01027,green,0.151027992885,blue,0.0,blue,0.0
01029,green,0.0716228886366,blue,0.0,blue,0.0
01031,green,0.147157198423,blue,0.0,blue,0.0
01033,green,0.148203199369,blue,0.0,blue,0.0
01035,green,0.106711574147,blue,0.0,blue,0.0
01037,green,0.0407003819262,blue,0.0,blue,0.0
01039,green,0.244111902744,blue,0.0,blue,0.0
01041,green,0.0937963241731,blue,0.0,blue,0.0
01043,green,0.176638120644,blue,0.0,blue,0.0
01045,green,0.145923077281,blue,0.0,blue,0.0
01047,green,0.278476585293,blue,0.0,blue,0.0
01049,green,0.19433884149,blue,0.0,blue,0.0
01051,green,0.0576921641451,blue,0.0,blue,0.0
01053,green,0.21346441911,blue,0.0,blue,0.0
01055,green,0.197806380579,blue,0.0,blue,0.0
01057,green,0.127841430877,blue,0.0,blue,0.0
01059,green,0.147973527931,blue,0.0,blue,0.0
01061,green,0.0991946045321,green,0.335558422165,blue,0.0
01063,green,0.0929925420926,blue,0.0,blue,0.0
01065,green,0.0928090509181,blue,0.0,blue,0.0
01067,green,0.0876074201876,blue,0.0,blue,0.0
01069,green,0.295398733497,green,0.335558422165,blue,0.0
01071,green,0.161175435879,green,0.307476819641,green,0.225222699504
01073,green,0.335993659421,blue,0.0,blue,0.193996274045
01075,green,0.143831014276,blue,0.0,blue,0.0
01077,green,0.172040424365,blue,0.0,blue,0.0
01079,green,0.0664226626443,blue,0.0,blue,0.0
01081,green,0.161296899749,blue,0.0,blue,0.0
01083,green,0.109179181891,blue,0.0,blue,0.0
01085,green,0.0523937087396,blue,0.0,blue,0.0
01087,green,0.105359216307,blue,0.0,blue,0.0
01089,green,0.40096957425,green,0.272308197401,green,0.347734683865
01091,green,0.17414159132,blue,0.0,blue,0.0
01093,green,0.169158155622,blue,0.0,blue,0.0
01095,green,0.188935329918,blue,0.0,blue,0.0
01097,green,0.353794919937,green,0.38799254809,blue,0.0
01099,green,0.262938102485,blue,0.0,blue,0.0
01101,green,0.380981368991,blue,0.0,blue,0.0
01103,green,0.180855938206,blue,0.0,blue,0.0
01105,green,0.100096538086,blue,0.0,blue,0.0
01107,green,0.106599789125,blue,0.0,blue,0.0
01109,green,0.224587449126,blue,0.0,blue,0.0
01111,green,0.12315870012,blue,0.0,blue,0.0
01113,green,0.061897703598,blue,0.0,blue,0.0
01115,green,0.0683431998114,blue,0.0,blue,0.0
01117,green,0.082067131319,blue,0.0,green,0.307476819641
01119,green,0.163439134068,blue,0.0,blue,0.0
01121,green,0.14934004845,blue,0.0,blue,0.0
01123,green,0.175540601997,blue,0.0,blue,0.0
01125,green,0.312303977792,green,0.358935758824,blue,0.0
01127,green,0.140192199091,blue,0.0,blue,0.0
01129,green,0.103040820938,blue,0.0,blue,0.0
01131,green,0.140672725948,blue,0.0,blue,0.0
01133,green,0.175881610179,blue,0.0,blue,0.0
