uid,movement
U41029,1
U41039,1
U41051,3
U41047,1
U30029,1
U17031,1
U41005,1
U32003,1
U06097,1
U06081,1
U06085,1
U06071,1
U06077,1
U06075,1
U32031,1
U06001,1
U06013,1
U06037,3
U06059,1
U06067,2
C4810,27
C4811,1892
C5915,87
C4818,1759
C4816,13
C4817,980
C5919,2
C4814,2230
C4815,10
C5917,5
C4812,27
C4813,508
C5921,3
C4805,5
C4806,174
C4807,11
C5925,2
C4808,57
C4801,2
C5927,1
C4802,4
C4803,1
C5929,2
C4804,1
C4809,11
C5933,13
C5931,3
C5939,24
C5937,19
C5935,14
C5941,28
C5949,3
C5905,2
C5907,6
C5901,5
C5903,5
C5909,18
U27053,1
C5959,3
C5951,22
C5953,3573
C5955,624
U41067,2
U53035,3
U53033,18
U49035,2
U53025,1
U53029,1
C6106,1
U53015,1
U53011,2
U53009,1
U53007,1
U53005,1
U49049,1
U49011,1
U53047,1
U53053,5
U53057,2
U53067,1
U53065,1
U53063,6
U53061,11
U53077,1
U53073,4
U30063,1
U16055,2
U16001,1
U16017,1
C4708,1
C4706,1
C4711,2
C4712,1
C4713,2
C4715,1
C4716,1
C4717,3
C4718,1
C4611,2
