uid,movement
16009,6
16005,1
16001,12
16003,2
16083,1
16087,2
16085,9
16075,1
16079,15
16061,5
16069,31
16065,1
16051,3
16057,24
16059,24
16055,23
16043,2
16045,2
16049,87
16035,25
16037,4
16039,2
16027,4
16013,2
16015,2
16011,1
16017,2
16019,2
06037,1
30111,2
30031,36
30035,1
30039,259
30043,23
30047,53
30049,83
30057,8
30059,1
30053,3
30061,10
30067,2
30063,1766
30073,1
30077,24
30089,10
30093,143
30099,3
30007,4
30001,23
30013,22
30029,27
30023,643
41005,1
41001,1
41061,1
41063,3
41051,1
41059,2
49011,2
49005,1
53007,1
53003,9
53005,2
49035,2
53013,1
53063,38
53061,2
53065,1
53071,3
56029,1
53075,7
53077,2
53021,1
53025,1
53033,8
53053,2
49057,2
