uid,movement
U17031,1
U48121,226
U48113,467
U48193,1
U48185,1
U48187,1
U48181,8
U48183,3
U48157,2
U29077,1
U48161,1
U48167,1
U48139,11
U48135,1
U48133,2
U48141,1
U29095,1
U48143,22
U48145,1
U48147,2
U28049,1
U40027,6
U40023,1
U40031,5
U40037,1
U48005,1
U48001,2
U40013,2
U40015,1
U40017,2
U40019,3
U40079,1
U40085,1
U40087,1
U40081,1
U40083,1
U40049,1
U40051,2
U40065,1
U48055,1
U48053,1
U48059,1
U48061,1
U48067,1
U48073,2
U48077,1
U48083,1
U48085,42
U48009,1
U48027,12
U48029,16
U48021,1
U48037,2
U48035,2
U48039,1
U29189,1
U48049,2
U48041,5
U48097,4
U48099,5
U48093,1
U48091,1
U48309,15
U48303,2
U48363,2868
U48353,1
U48355,1
U48339,4
U48349,3
U48347,1
U48329,1
U48331,1
U48337,2
U48395,1
U48397,3
U48373,1
U35001,1
U48381,1
U48203,1
U48201,27
U48223,1
U48221,7718
U48227,1
U48225,1
U48209,2
U48213,4
U48215,1
U48217,3
U48245,1
U48231,4
U48237,6
U48257,5
U48253,1
U48251,93
U48265,1
U48277,2
U48289,1
U48281,1
U48293,1
U48299,1
U20091,1
U48503,8
U05007,1
M28027,1
M28032,1
M28022,1
U05091,1
U48451,2
U48453,21
U48459,1
U48449,1
U48467,3
U48471,1
U48479,1
U48477,1
U48487,1
U48485,8
U48425,5
U48423,6
U48429,1
U48441,6
U48439,12407
U48401,1
U20173,2
M19026,1
M19039,1
M19046,1
U22017,3
U22019,1
U22015,1
U22055,1
U22051,1
U22033,1
U48499,2
U48497,40
U48491,10
U22071,1
U22073,1
U40089,1
U40095,1
U40099,1
U47157,1
U40143,3
U40137,2
U40133,1
U40123,1
U40125,2
U05131,1
U05119,1
U05143,1
U40111,1
M08019,1
U40119,1
U40121,1
U40101,1
U40109,13
M08037,1
