uid,region,name,population,latitude,longitude
M01001,Mexico,Aguascalientes,643419,21.8794,-102.30041
M01002,Mexico,Asientos,37763,22.238,-102.08957
M01003,Mexico,Calvillo,51291,21.84662,-102.71875
M01004,Mexico,Cosio,12619,22.36632,-102.29762
M01005,Mexico,Jesus Maria,64097,21.96273,-102.34513
M01006,Mexico,Pabellon de Arteaga,34296,22.14522,-102.27512
M01007,Mexico,Rincon de Romos,41655,22.2305,-102.31958
M01008,Mexico,San Jose de Gracia,7244,22.14744,-102.41485
M01009,Mexico,Tepezala,16508,22.22328,-102.16873
M01010,Mexico,El Llano,15327,21.91773,-101.96346
M01011,Mexico,San Francisco de los Romo,20066,22.07773,-102.27152
M02001,Mexico,Ensenada,370730,30.156231,-114.823624
M02002,Mexico,Mexicali,764602,32.66341,-115.46859
M02003,Mexico,Tecate,77795,32.57229,-116.64112
M02004,Mexico,Tijuana,1210820,32.53479,-117.04446
M02005,Mexico,Playas de Rosarito,63420,32.3423,-117.05696
M03001,Mexico,Comondu,63864,25.03257,-111.67094
M03002,Mexico,Mulege,45989,27.33915,-112.26762
M03003,Mexico,La Paz,196907,24.14261,-110.31145
M03008,Mexico,Los Cabos,105469,23.06183,-109.70866
M03009,Mexico,Loreto,11812,26.0131,-111.34399
M04001,Mexico,Calkini,46899,20.37449,-90.0523
M04002,Mexico,Campeche,216897,19.84284,-90.53176
M04003,Mexico,Carmen,172076,18.644,-91.83096
M04004,Mexico,Champoton,70554,19.35536,-90.72065
M04005,Mexico,Hecelchakan,24889,20.17727,-90.1348
M04006,Mexico,Hopelchen,31214,19.74506,-89.84314
M04007,Mexico,Palizada,8401,18.25625,-92.0918
M04008,Mexico,Tenabo,8400,20.04033,-90.22536
M04009,Mexico,Escarcega,50563,18.60734,-90.73454
M04010,Mexico,Calakmul,23115,18.50596,-89.39506
M04011,Mexico,Candelaria,37681,18.18513,-91.04621
M05001,Mexico,Abasolo,1126,27.18225,-101.42679
M05002,Mexico,Acuña,110487,29.32024,-100.93372
M05003,Mexico,Allende,20943,28.34805,-100.85399
M05004,Mexico,Arteaga,19374,25.44566,-100.84705
M05005,Mexico,Candela,1677,26.84061,-100.66426
M05006,Mexico,Castaños,22530,26.78421,-101.43429
M05007,Mexico,Cuatrocienegas,12154,26.98615,-102.06709
M05008,Mexico,Escobedo,2784,27.23503,-101.4129
M05009,Mexico,Francisco I. Madero,46452,25.77536,-103.27351
M05010,Mexico,Frontera,66579,26.92671,-101.44957
M05011,Mexico,General Cepeda,11316,25.37677,-101.47539
M05012,Mexico,Guerrero,2050,28.30861,-100.37955
M05013,Mexico,Hidalgo,1441,27.7914,-99.87453
M05014,Mexico,Jimenez,9724,29.07081,-100.67344
M05015,Mexico,Juarez,1610,27.60863,-100.72816
M05016,Mexico,Lamadrid,1781,27.04976,-101.7943
M05017,Mexico,Matamoros,92029,25.52815,-103.2285
M05018,Mexico,Monclova,193744,26.90115,-101.41846
M05019,Mexico,Morelos,7263,28.40805,-100.88845
M05020,Mexico,Muzquiz,62773,27.87779,-101.51485
M05021,Mexico,Nadadores,5946,27.02948,-101.59207
M05022,Mexico,Nava,23019,28.4211,-100.76872
M05023,Mexico,Ocampo,12053,27.31419,-102.39764
M05024,Mexico,Parras,43339,25.44065,-102.18292
M05025,Mexico,Piedras Negras,128130,28.70026,-100.52344
M05026,Mexico,Progreso,3608,27.42891,-100.98622
M05027,Mexico,Ramos Arizpe,39853,25.53981,-100.94788
M05028,Mexico,Sabinas,52379,27.84862,-101.1204
M05029,Mexico,Sacramento,2006,27.00421,-101.72457
M05030,Mexico,Saltillo,578046,25.43371,-101.00038
M05031,Mexico,San Buenaventura,20046,27.06003,-101.54873
M05032,Mexico,San Juan de Sabinas,40138,27.92862,-101.30429
M05033,Mexico,San Pedro,88343,25.75925,-102.98377
M05034,Mexico,Sierra Mojada,6023,27.28919,-103.70102
M05035,Mexico,Torreon,529512,25.5448,-103.44212
M05036,Mexico,Viesca,18969,25.33898,-102.80515
M05037,Mexico,Villa Union,6159,28.22111,-100.72428
M05038,Mexico,Zaragoza,12664,28.49194,-100.91706
M06001,Mexico,Armeria,28574,18.93481,-103.96488
M06002,Mexico,Colima,129958,19.24368,-103.73099
M06003,Mexico,Comala,19384,19.3209,-103.76044
M06004,Mexico,Coquimatlan,18756,19.19785,-103.81155
M06005,Mexico,Cuauhtemoc,26771,19.32812,-103.60293
M06006,Mexico,Ixtlahuacan,5478,18.99786,-103.73599
M06007,Mexico,Manzanillo,125143,19.0523,-104.31601
M06008,Mexico,Minatitlan,8466,19.38673,-104.051
M06009,Mexico,Tecoman,99289,18.90897,-103.87488
M06010,Mexico,Villa de Alvarez,80808,19.26729,-103.73794
M07001,Mexico,Acacoyagua,14189,15.34026,-92.67432
M07002,Mexico,Acala,24754,16.55687,-92.80571
M07003,Mexico,Acapetahua,25154,15.28221,-92.69042
M07004,Mexico,Altamirano,21948,16.73632,-92.03846
M07005,Mexico,Amatan,18778,17.37434,-92.81821
M07006,Mexico,Amatenango de la Frontera,26094,15.43499,-92.1168
M07007,Mexico,Amatenango del Valle,6559,16.52799,-92.43486
M07008,Mexico,Angel Albino Corzo,21848,15.87163,-92.72404
M07009,Mexico,Arriaga,37989,16.23467,-93.89879
M07010,Mexico,Bejucal de Ocampo,6673,15.45582,-92.15819
M07011,Mexico,Bella Vista,18205,15.58414,-92.24736
M07012,Mexico,Berriozabal,28719,16.79936,-93.27238
M07013,Mexico,Bochil,22722,16.99546,-92.89127
M07014,Mexico,El Bosque,14993,17.06241,-92.72043
M07015,Mexico,Cacahoatan,39033,14.99001,-92.16541
M07016,Mexico,Catazaja,15709,17.72571,-92.0143
M07017,Mexico,Cintalapa,64013,16.69576,-93.72184
M07018,Mexico,Coapilla,7217,17.1313,-93.15849
M07019,Mexico,Comitan de Dominguez,105210,16.25189,-92.1343
M07020,Mexico,La Concordia,39770,16.11689,-92.68903
M07021,Mexico,Copainala,19298,17.09435,-93.21072
M07022,Mexico,Chalchihuitan,12256,16.96185,-92.61903
M07023,Mexico,Chamula,59005,16.78825,-92.68932
M07024,Mexico,Chanal,7568,16.65826,-92.25763
M07025,Mexico,Chapultenango,6965,17.33962,-93.12933
M07026,Mexico,Chenalho,27331,16.89436,-92.62597
M07027,Mexico,Chiapa de Corzo,60620,16.7077,-93.01405
M07028,Mexico,Chiapilla,5242,16.56965,-92.72015
M07029,Mexico,Chicoasen,4345,16.96602,-93.10488
M07030,Mexico,Chicomuselo,24994,15.74247,-92.28514
M07031,Mexico,Chilon,77686,17.10463,-92.27292
M07032,Mexico,Escuintla,28064,15.32026,-92.65848
M07033,Mexico,Francisco Leon,5236,17.29823,-93.27377
M07034,Mexico,Frontera Comalapa,52168,15.65914,-92.14152
M07035,Mexico,Frontera Hidalgo,10917,14.77779,-92.1768
M07036,Mexico,La Grandeza,5969,15.50914,-92.22513
M07037,Mexico,Huehuetan,31464,15.02001,-92.38097
M07038,Mexico,Huixtan,18630,16.71076,-92.45292
M07039,Mexico,Huitiupan,20041,17.17241,-92.68543
M07040,Mexico,Huixtla,48476,15.13972,-92.46597
M07041,Mexico,La Independencia,32245,16.253,-92.02263
M07042,Mexico,Ixhuatan,8877,17.29351,-93.00932
M07043,Mexico,Ixtacomitan,9143,17.431,-93.09516
M07044,Mexico,Ixtapa,18533,16.80353,-92.90459
M07045,Mexico,Ixtapangajoya,4707,17.49655,-93.00237
