uid,population,distance,radiusPopulation
C1001,242875,3539.2434949237845,406442089
C1002,24371,3453.3725185729363,406417718
C1003,19370,3318.4099492205105,405949392
C1004,22162,3232.7880670394443,405540336
C1005,40466,3342.7298573975468,405988527
C1006,36208,3393.5448958511406,406381510
C1007,37335,3623.4297006007573,406847079
C1008,42188,3557.110168344374,406705055
C1009,20091,3555.958771037365,406684964
C1010,27864,3618.504093177618,406819215
C1101,19180,2864.780943954525,389734436
C1102,71619,2822.145302784722,386054439
C1103,44495,2788.3089066880866,383603277
C1201,16231,2558.326033448398,373183014
C1202,26843,2528.68773752215,371830705
C1203,19548,2544.8034377529616,372624089
C1204,11723,2602.1332485688745,374475338
C1205,21773,2607.097752731552,374634733
C1206,47591,2652.4285561224033,376007181
C1207,58866,2661.785089367463,376251122
C1208,40513,2717.0812046284764,377939665
C1209,359183,2759.3696885708187,380967346
C1210,49307,2771.8661929337677,381326529
C1211,32605,2727.203020591932,378329732
C1212,46965,2827.180967591823,386126058
C1213,9827,2877.049422635402,391086445
C1214,19578,2881.238078554549,391184340
C1215,19937,2969.877362917779,394577422
C1216,10225,2978.446632564872,394683624
C1217,109330,3029.8247920449226,397200455
C1218,7962,3028.8805490221307,397192493
C1301,76407,2568.136938263578,373399959
C1302,27366,2486.5541957258533,361847764
C1303,25776,2580.4145656441874,373651519
C1304,11862,2598.322639346701,374463476
C1305,64208,2605.0162327814264,374521562
C1306,26749,2682.1585261603227,377209082
C1307,124688,2708.815373751865,377618124
C1308,31383,2678.296576708353,377168528
C1309,50817,2660.193557810368,376200305
C1310,87212,2545.492702818356,372643637
C1311,27184,2523.252427098758,371767910
C1312,21172,2558.8234400150445,373199245
C1313,35611,2524.722885046024,371795094
C1314,36134,2651.969527137373,375953917
C1315,82929,2808.3959218290447,385618430
C2401,12824,2956.990062086246,394531165
C2402,19298,2871.987884599451,390849074
C2403,18545,2857.7235241458957,389715891
C2404,12722,2774.47487298117,382341196
C2405,18267,2745.65586624889,378819598
C2406,15268,2673.3269311914833,376806165
C2407,19920,2627.041091870696,375526793
C2408,22507,2662.295154123317,376309988
C2409,19326,2613.493582066081,374666733
C2410,52289,2570.5186644818714,373476366
C2411,9848,2522.0758459143876,371758062
C2412,31826,2476.6208445082084,361515034
C2413,22420,2501.827963474183,361978583
C2414,22494,2439.1951993368125,358161093
C2415,16624,2442.7046960682305,358194231
C2416,13166,2396.0306115163326,356470246
C2417,19368,2379.8533437571004,353351912
C2418,23438,2359.1903629203084,353167425
C2419,29570,2333.55262782821,352901507
C2420,6779,2336.541643736356,352931077
C2421,20984,2343.448924776069,353019444
C2422,26459,2299.466065770678,348717624
C2423,509950,2305.2361447605053,350338355
C2424,51855,2309.6217186325853,350899193
C2425,78808,2296.041239031118,348580856
C2426,25850,2299.6223001226404,348744083
C2427,18771,2295.3807034041724,348514212
C2428,17745,2325.895147112308,352813136
C2429,47873,2295.9075064115086,348532983
C2430,21830,2251.485261720113,346790542
C2431,43247,2262.9765268619612,347525686
C2432,24021,2241.416141311721,346542799
C2433,26851,2250.5968304986823,346763691
C2434,44955,2258.455062142489,347218115
C2435,12809,2200.5761577120716,344328112
C2436,64841,2195.620260245414,344048975
C2437,138355,2213.067741148359,345825442
C2438,19088,2201.949191119333,344407269
C2439,64089,2200.730003421422,344340921
C2440,14535,2195.738491780622,344113816
C2441,21394,2214.5767731569003,346287528
C2442,28176,2168.027156934149,343551574
C2443,141212,2164.242580707915,343286465
C2444,16595,2164.7860556208707,343515485
C2445,41871,2144.214704217625,342770765
C2446,46165,2099.8002502325126,341111695
C2447,79175,2121.0742709628776,342295756
C2448,15167,2146.5569486371323,342898785
C2449,87808,2164.582113514393,343427677
C2450,23496,2177.759023396173,343651956
C2451,23401,2169.2067642687775,343579750
C2452,38347,2139.3984660641295,342682352
C2453,50066,2141.4954123698362,342720699
C2454,78917,2124.3358926028427,342393335
C2455,29980,2103.1138996602967,341179774
C2456,100753,2081.2937217273015,338914961
C2457,119993,2104.3939570448183,341209754
C2458,311838,2213.4937847913916,345963797
C2459,100263,2097.168139939475,340947803
C2460,103977,2104.6962694020367,341359449
C2461,54167,2118.407966938381,342221874
C2462,43177,2137.442840702185,342639175
C2463,38740,2096.1128161298384,340167393
C2464,110087,2089.211510459792,339297439
C2465,343005,2069.373395315283,336782307
C2466,1812723,2059.5124248270154,334352851
C2467,138172,2062.4488439518427,336254122
C2468,22820,2050.92536084933,333293188
C2469,21851,2010.388056287538,329170797
C2470,59137,2037.4426895984293,329772346
C2471,102100,2024.380468693514,329538769
C2472,81417,2057.7245720124447,334039183
C2473,130514,2069.80868898443,337261537
C2474,27330,2059.4197543471937,334325521
C2475,90419,2068.994987420121,336691888
C2476,28931,2039.0664323331284,330729870
C2477,30866,2066.5360303844795,336440279
C2478,38433,2063.4113819370095,336392294
C2479,33456,2081.579120870597,339015714
C2480,20367,2012.3755290111035,329192648
C2481,226696,1944.4910772276933,318133119
C2482,35188,1949.1527719007208,318955708
C2483,18730,2018.1912818501057,329407770
C2484,14565,1925.741466391981,315787214
C2485,17504,1933.5711057712426,317210688
C2486,39621,2004.8471506934604,328337362
C2487,21984,2052.027215098164,333966316
C2488,24613,2081.585430716746,339049170
C2489,42375,2117.954427123031,342179499
C2490,15862,2245.5441428756317,346566820
C2491,32839,2310.751207287314,350951048
C2492,26900,2396.7704032641936,356483412
C2493,51760,2389.2532898005798,356256332
C2494,166780,2464.3344565764864,358339674
C2495,12894,2576.478229531464,373638625
C2496,33620,2648.3797273109976,375919089
C2497,38931,2873.4706934852184,390868372
C2498,12321,3086.5630779172984,401713170
C2499,38575,2654.9005625623577,376107229
C3501,109522,1967.0805891952368,321834350
C3502,76446,1978.4729239012877,322581078
C3506,774072,1919.8755153344357,314116390
C3507,96606,1871.0021131221354,306274124
C3509,62495,1871.4036347315064,306382369
C3510,138606,1827.6287955587113,299520561
C3511,39461,1798.6904414338096,290218460
C3512,125915,1772.2276414712912,279099919
C3513,24901,1744.145219010035,270723398
C3514,77497,1687.782539315667,255082510
C3515,125856,1725.2058761823823,264923927
C3516,69179,1690.723607484282,256048537
C3518,506901,1641.3984921216597,221168955
C3519,729254,1615.442891344775,212535543
C3520,2481494,1599.814051943143,207009977
C3521,988948,1572.8814842542574,201502459
C3522,51013,1582.3164292419524,204353018
C3523,187313,1545.7417722434775,195455063
C3524,375229,1551.3608191326682,196406707
C3525,490268,1533.954264775828,193405658
C3526,410574,1550.864604455216,195988468
C3528,104670,1466.7891017978618,182556406
C3529,118485,1495.269078554382,187122584
C3530,438515,1515.2990862024553,190640368
C3531,73675,1490.871810013203,186238279
C3532,99270,1481.3863623958462,184620828
C3534,81553,1424.0222412984992,169861085
C3536,107709,1321.0635720574019,151069894
C3537,374975,1286.3671752699468,141637426
C3538,126971,1401.4407361964609,165386226
C3539,403185,1422.4560694014306,169372113
C3540,59701,1470.5321230526033,183243359
C3541,63892,1572.9408055712252,202495554
C3542,89073,1594.8990688072902,206532128
C3543,377050,1636.1887755523123,218542679
C3544,53106,1720.3208237607032,264321443
C3546,15085,1761.9317974837506,274241579
C3547,95138,1873.6639667433458,306561876
C3548,82910,1822.0846137196304,298028823
C3549,39665,1741.497003882013,269473647
C3551,12679,1643.1135008667814,222032570
C3552,22894,1821.7723840885164,297887541
C3553,155268,1764.732696831441,275054130
C3554,34442,1913.6755053211762,312724794
C3556,85247,2085.1367558607267,339212192
C3557,118567,1745.3966119492643,270898942
C3558,150860,1869.1223399964265,306064949
C3559,22109,1796.798685874456,289025440
C3560,61802,2385.0770823927182,356194530
C4601,16432,1925.9083896142704,315841988
C4602,50869,1915.2510356122332,312766774
C4603,42184,1916.454222249451,313118775
C4604,9942,1937.782825362864,317454066
C4605,13848,1989.4939928981864,326602656
C4606,10110,2054.858939627305,334003287
C4607,57148,2025.5932696480702,329640869
C4608,14603,2031.1279438650652,329706007
C4609,23322,2002.391813262242,328156878
C4610,9464,1956.7215687653377,319718437
C4611,621451,1967.0085756075348,321212899
C4612,19251,1961.1351366260837,320075806
C4613,42183,2000.067898244934,327363732
C4614,17589,2008.1920914854952,328998585
C4615,21914,2103.0297472246302,341157860
C4616,10341,2195.0513047778118,344038634
C4617,22899,2162.7869386565803,343263566
C4618,22593,2092.1169965402396,339615762
C4619,15805,2194.246295880265,344022829
C4620,11013,2290.1073913601354,348461919
C4621,22556,2471.9807028599894,361492478
C4622,35077,2466.71413213013,361426681
C4623,8989,2783.7895581394514,383594288
C4701,30238,2084.846767149721,339181954
C4702,21635,2153.569723583006,343104246
C4703,14839,2258.204839299969,347183102
C4704,11714,2430.1425098055633,357899511
C4705,32492,2181.2301770162103,343675452
C4706,219250,2262.590936030908,347306436
C4707,46982,2339.376931516144,352937856
C4708,30720,2469.562353700316,361461758
C4709,36895,2294.0819669563193,348477317
C4710,19365,2328.3490849375826,352830881
C4711,237629,2432.5155414934657,357911225
C4712,23697,2508.6534160651468,371587743
C4713,24054,2588.072035524762,374439422
C4714,39476,2443.4732707887206,358244796
C4715,80668,2553.945587072646,373102346
C4716,37663,2605.3821371495333,374597070
C4717,39587,2731.222646744688,378362337
C4718,32029,2877.5981162667435,391152311
C4801,67402,2508.129347367015,371520341
C4802,133913,2566.988112664512,373266046
C4803,37580,2621.1620030127783,374689806
C4804,11300,2605.2942231713664,374585770
C4805,47606,2720.223907517826,377980178
C4806,1021060,2755.975749299897,379860411
C4807,40407,2743.617951891377,378779191
C4808,153049,2830.013235723355,387616764
C4809,19573,2926.0001596516177,393258083
C4810,83061,2802.0233430085364,383841789
C4811,975477,2910.7068418749614,391665695
C4812,58362,2911.39729546777,392641172
C4813,63954,2997.87001512903,395275152
C4814,26871,3071.966450148465,401473831
C4815,34068,2830.4929988356585,387769813
C4816,42971,3276.2060085112935,405693106
C4817,57508,3378.2621548301004,406258343
C4818,14346,3220.5939473133794,405200236
C4819,86299,3306.18828929407,405863093
C5901,56291,2791.331362614022,383719723
C5903,57019,2881.4948771039208,391203918
C5905,31843,2913.1871357059795,392723325
C5907,76635,3025.708383984161,396913614
C5909,237550,3139.380220913259,402782988
C5915,1986965,3206.810094110091,403148746
C5917,325754,3229.600567808977,405214582
C5919,71998,3250.413966970908,405595509
C5921,127016,3290.867718037001,405736077
C5923,30345,3363.8545086282747,406227998
C5925,96131,3348.1461917966835,406036550
C5927,19765,3337.186446065697,405968762
C5929,25599,3274.3356663861728,405667507
C5931,33011,3242.022462477302,405562498
