uid,movement
01059,2.811830053647429E-6
01057,2.094657937364249E-6
01051,3.1150264669570328E-6
01055,2.6441768333656113E-6
01053,3.1642093147366106E-6
01045,9.178343254044458E-7
16009,1.8879715071783827E-9
01047,4.284211445055045E-6
01049,1.1409028944038942E-6
16005,1.9401468256497385E-8
16007,1.7084220263010257E-9
16001,6.933342526930143E-8
29510,2.130751156617855E-6
16003,7.33020075865399E-10
01041,7.074492692220919E-7
01043,4.326019529795952E-6
01079,2.130494448657955E-6
01077,5.341073549724988E-6
01075,2.937411317714037E-6
01073,4.5084707471318715E-5
01071,9.586462827825286E-7
01067,2.375460671338888E-7
01069,1.2471641195843257E-6
01063,2.4244555857908107E-6
01065,2.2237851282301702E-6
01061,5.101513283976453E-7
19101,3.8768908745858526E-8
19103,2.008983497111148E-7
19105,3.047941015805814E-8
01095,2.3550912249135285E-6
01093,3.346454498229292E-6
01099,2.547080258737163E-6
01097,4.931556247365714E-5
19107,2.352752489972277E-8
19109,1.5847597977251112E-8
01091,4.95497083040453E-6
19113,2.9686694362163675E-7
19111,1.1381147192161732E-7
19117,2.093761263267375E-8
19115,2.6865573903804017E-8
01089,7.43177472861538E-6
01081,2.0764364745881866E-6
01083,3.0775784339224926E-6
01085,8.427361138310196E-7
01087,5.094345117978093E-7
19119,9.108059944845364E-9
21073,1.6176749754126885E-7
21075,2.260416370719217E-7
21071,1.0135173274757018E-7
55021,4.735775200600851E-8
32019,7.222453628118568E-9
19141,1.322343031046798E-8
19145,3.5641392365617484E-8
32013,3.395657899821264E-9
55023,1.7119547745927427E-8
19143,5.8533297029671874E-9
32011,3.917362854090672E-10
55025,4.3458953454061966E-7
19149,2.2952437388534605E-8
21077,2.4004626637089927E-8
32017,1.050485612803666E-9
55027,7.541280989022926E-8
19147,9.580008815657811E-9
21079,5.411447733419475E-8
32015,1.3705139642302529E-9
55029,1.500522952302795E-8
21063,1.5414796161107632E-8
21061,6.95617599135451E-8
55031,2.0002571457139105E-8
32029,7.053307943353276E-10
19151,8.918406463914277E-9
19153,6.185665459801678E-7
32021,1.0789417421923546E-9
55035,5.9119500713369225E-8
19155,1.394714542243013E-7
21069,3.498949543597215E-8
32023,7.901048046690793E-9
55033,2.4135638715080757E-8
19157,3.263342308384546E-8
21067,8.554072531089001E-7
55039,7.658494621255564E-8
