uid,distance
16079,279.374274146
33017,213.608016183
16073,762.147331981
16071,805.52831122
16077,746.590159173
16075,598.324929223
48093,1796.90609393
06115,1039.47491685
06111,1614.29365649
06113,1096.62733483
01129,1289.3387093
46111,577.506684418
40145,1295.50577499
02100,318.977248291
40147,1278.23032183
19159,911.115969284
39109,264.34229175
19155,865.500573875
39105,336.699696926
19157,796.808134779
39107,238.151637391
19151,698.159988554
39101,178.50542094
19153,800.099020592
39103,111.999784341
40029,1445.23838958
40143,1316.78655636
48025,2038.4936251
22009,1479.12596729
40027,1477.9466263
22001,1575.36455392
22003,1561.38547572
22005,1515.36318929
13029,1124.30777522
22007,1551.55840492
06029,1516.31412011
46113,679.758899531
06021,989.406103924
40023,1435.27328164
06023,859.26430951
06025,1820.26775575
06027,1412.08896804
27173,521.087566138
27171,420.848961946
51600,495.955241788
33013,204.190730744
21101,634.671754143
21103,458.113068338
21105,809.072503806
21107,675.828217791
21109,540.097644064
32013,870.707890698
32011,1045.20271771
51840,441.149523727
32017,1309.97036593
32015,1044.79316308
47081,814.963298059
32019,1112.51608502
26157,122.938853501
41001,508.182607917
26155,141.698925573
42057,362.57034655
12019,1348.97108122
42051,316.922793782
26151,65.7382199251
42053,170.923331457
12015,1695.635613
12017,1476.66687644
12011,1776.45003569
42059,294.695903444
12013,1327.2445279
51115,676.166343532
46009,693.703392201
55109,425.110633195
51111,660.774439631
51113,519.794579466
46003,607.650299902
46007,683.613141029
53007,187.780138823
46005,532.124863378
17031,402.675558088
17033,547.658858045
48021,1866.04703359
17035,561.10229594
05139,1320.0407465
05137,1069.26464228
05135,1001.53949519
05133,1351.18804428
05131,1261.24204769
46117,540.173518791
54027,415.851403874
26023,190.544850191
05003,1271.96826569
26021,329.813711343
05001,1152.24135103
26027,267.034419422
05007,1179.90082063
26025,183.795798457
05005,1049.89687963
12121,1329.1253564
12123,1352.91957869
05009,1099.24879166
12125,1341.71698165
12127,1454.37708012
48261,2166.97834745
20153,1055.63336636
01025,1247.82623717
01027,1025.69678918
01021,1092.02093508
01023,1230.28856596
01029,974.356955735
37009,633.469277619
37007,811.731037717
37005,630.699572481
37003,693.064617979
37001,712.912178991
48365,1506.968732
36029,53.8380589751
42129,287.395104083
48237,1674.95653826
36023,182.947316249
36021,315.046480866
36027,367.963716575
36025,273.286038234
48091,1950.4862741
42125,260.555312068
48235,1995.95322255
48233,1495.46542846
51065,574.0621273
48149,1861.42209634
48419,1529.94542172
48145,1745.98212532
48147,1505.58506625
48141,1993.69896329
48143,1752.618082
01111,1013.95067913
01113,1118.55217072
01115,989.480384191
01117,1047.33374924
01119,1166.07411039
45061,898.691231606
13059,914.832733734
45065,914.361459523
45067,923.769623845
13053,1106.08163751
13051,1130.96757186
13057,893.191210032
13055,883.961609731
48231,1540.21756645
01045,1219.81677803
40073,1473.81375635
37177,842.29806544
37175,771.03979977
37173,736.019494713
37171,644.679750158
37179,803.181431155
08053,1324.54346551
08051,1227.8042983
48029,1997.03505624
08057,1004.41210433
08055,1329.64621617
08059,1125.03908459
54089,506.300760081
31129,1003.94466017
31127,974.525165574
31125,868.277186298
31123,862.094446613
31121,893.82651238
18149,335.37267687
54085,337.159271084
37125,788.774821659
18141,296.443478192
18143,462.001844532
18145,387.762217122
18147,585.470338976
37127,768.177310974
37121,678.894193859
29109,1099.58808046
46011,548.578912714
05093,948.637550039
29101,1006.22954564
29103,815.324684916
37123,776.23883567
29105,974.463289582
29107,990.914364662
55111,600.576073249
55113,350.360972967
55115,440.034301013
55117,439.143203241
48303,1744.85011813
55119,435.585681095
34041,395.218738987
46013,401.939439477
48301,1955.36320805
48307,1909.74720125
51161,555.248460435
54081,488.778528593
48305,1792.91405516
47035,716.820010303
47037,750.61071483
47031,795.337863407
47033,894.293230563
06109,1200.80582833
06107,1420.24160903
06105,868.126100153
47039,862.688636189
06103,933.396796576
06101,1059.98015364
46137,486.403026658
55029,336.327411805
19149,733.898820205
39171,163.452620403
19147,660.874147962
39173,113.529425521
19145,923.18524432
39175,153.969204724
19143,650.63462126
55023,636.094487546
19141,681.367312941
54083,414.044872285
40141,1647.22088725
30049,268.926935638
22019,1628.75056935
22013,1419.16733765
22011,1589.06961424
22017,1446.2653091
22015,1420.36266941
46129,426.327906905
06039,1292.93886591
