uid,distance
16079,279.02439404
33017,213.489883284
16073,761.338554647
16071,804.519491307
16077,745.655151665
16075,597.68999734
48093,1774.45157492
06115,1028.1904815
06111,1575.55632105
06113,1084.72245857
01129,1273.2268598
46111,577.315343949
40145,1279.31686053
02100,318.96325913
40147,1262.25728509
19159,910.444665926
39109,261.039014504
19155,864.862879595
39105,335.49112979
19157,796.22105257
39107,235.175644107
19151,697.645589553
39101,176.274779405
19153,799.509513682
39103,111.597766579
40029,1427.17838467
40143,1300.33171275
48025,2013.02017716
22009,1460.64249603
40027,1459.47789233
22001,1555.6784649
22003,1541.87407222
22005,1496.42689003
13029,1120.27212731
22007,1532.16980259
06029,1481.1768041
46113,679.445197003
06021,978.665210588
40023,1417.33780282
06023,849.936222429
06025,1785.88370351
06027,1385.39814004
27173,520.703632759
27171,420.538883613
51600,489.169302188
33013,204.077805941
21101,626.740761525
21103,452.38839044
21105,798.962162495
21107,667.382925289
21109,533.348469549
32013,869.783910809
32011,1044.09356698
51840,435.113466902
32017,1308.32979766
32015,1043.68444697
47081,804.779344135
32019,1100.34522608
26157,122.418654205
41001,507.643333478
26155,139.928225798
42057,357.609454386
12019,1339.87954381
42051,315.785214874
26151,65.4600574505
42053,168.584661944
12015,1681.49540629
12017,1463.12886428
12011,1766.22170715
42059,293.638106875
12013,1310.65899927
51115,666.914653904
46009,693.473553246
55109,424.797414894
51111,658.402622016
51113,515.698737019
46003,607.4489722
46007,683.297659804
53007,187.300567861
46005,531.948558888
17031,397.643639056
17033,540.815197
48021,1842.72851476
17035,554.090642848
05139,1303.54523784
05137,1055.90288492
05135,989.024045601
05133,1334.30331239
05131,1245.48130002
46117,539.924233643
54027,413.858858843
26023,188.163761399
05003,1256.07348093
26021,325.692289375
05001,1137.84269915
26027,263.697500778
05007,1165.15653015
26025,181.499047245
05005,1036.77714593
12121,1315.32414341
12123,1336.14023318
05009,1085.51234602
12125,1330.51494974
12127,1446.629188
48261,2139.89932721
20153,1055.1462012
01025,1232.23313631
01027,1012.87946493
01021,1078.37481026
01023,1214.91461955
01029,962.181184916
37009,631.195470551
37007,808.817368758
37005,628.435707135
37003,690.576896345
37001,710.353215504
48365,1488.13733166
36029,53.1014162591
42129,286.392619619
48237,1654.02592672
36023,182.795499778
36021,314.817065759
36027,366.779079942
36025,273.05925534
48091,1926.11258464
42125,259.620061487
48235,1989.74023339
48233,1494.77528482
51065,572.0015593
48149,1838.16137171
48419,1510.8268998
48145,1724.16396301
48147,1486.77095648
48141,1992.71304647
48143,1730.71699537
01111,1001.28013676
01113,1104.57450596
01115,977.115627808
01117,1034.24604496
01119,1151.50260142
45061,895.465423273
13059,903.400790196
45065,908.885805002
45067,920.453797846
13053,1092.25980718
13051,1126.90801894
13057,882.029703557
13055,872.915438295
48231,1520.97068164
01045,1204.5736893
40073,1458.16746074
37177,830.773267806
37175,763.877669057
37173,726.82203927
37171,642.365703646
37179,800.298450592
08053,1323.88845704
08051,1227.19712894
48029,1972.07968334
08057,1003.91540608
08055,1328.30633826
08059,1123.90538827
54089,504.483418203
31129,1003.61203157
31127,973.8071428
31125,867.989507265
31123,861.696597894
31121,893.530368302
18149,331.181788892
54085,335.949054329
37125,785.943552918
18141,292.739057723
18143,456.228571663
18145,382.916658356
18147,578.154177659
37127,765.419975992
37121,676.45733627
29109,1085.84739499
46011,547.80771998
05093,936.783174359
29101,993.655488194
29103,805.136215025
37123,773.452564239
29105,962.286189993
29107,978.531688956
55111,593.071147478
55113,350.102829651
55115,438.295593927
55117,433.655576793
48303,1744.04488572
55119,435.264744858
34041,394.890771813
46013,401.806268238
48301,1954.46082578
48307,1885.88259587
51161,553.255423175
54081,487.024081909
48305,1792.08664169
47035,707.862475683
47037,741.230924412
47031,785.39915307
47033,883.117953006
06109,1187.77000081
06107,1390.48570683
06105,858.701810362
47039,851.908296335
06103,923.263934658
06101,1048.4731155
46137,486.178556101
55029,334.998481644
19149,733.358089102
39171,161.410081851
19147,660.387220886
39173,112.110737782
19145,922.505048412
39175,152.045172942
19143,650.15523859
55023,635.625817936
19141,680.865286656
54083,412.558678415
40141,1630.11776742
30049,268.590139471
22019,1608.39735738
22013,1401.43312212
22011,1569.21226389
22017,1428.19247158
22015,1402.61351676
46129,426.186655238
06039,1274.97932294
06033,1031.36537883
06031,1390.45741152
06037,1606.22006649
06035,886.282421926
27143,490.153004402
16065,639.925115768
27141,388.165409964
16067,724.875550614
27147,539.039351384
16061,370.301195816
27145,395.202517437
16063,711.484744894
51510,499.112850775
27149,428.00475122
51530,536.74617747
39009,308.455676423
16069,349.924670971
21113,495.125252684
21111,498.792455343
21117,384.1629483
21115,474.09054952
48447,1731.00747026
21119,528.568614432
