uid,distance
16079,2381.36072349
33017,1444.71604803
16073,2611.51747548
16071,2445.42449582
16077,2434.7818369
16075,2570.58735769
48093,2517.41111526
06115,3105.9529701
06111,3309.14414141
06113,3177.60658644
01129,2283.02380817
46111,1730.48024179
40145,2094.14465768
02100,3443.96219456
40147,2053.74948118
19159,1735.59153178
39109,1466.44988255
19155,1751.62271221
39105,1509.30305502
19157,1623.85361859
39107,1440.86347359
19151,1653.55660155
39101,1404.47957708
19153,1661.48581233
39103,1342.07972176
40029,2226.29769363
40143,2097.4985415
48025,2794.9987884
22009,2392.18323369
40027,2215.53249137
22001,2474.0930993
22003,2451.83247066
22005,2447.27108111
13029,2167.60523942
22007,2478.31090012
06029,3215.19917412
46113,1935.36733817
06021,3149.26829641
40023,2245.35921426
06023,3175.90649821
06025,3194.56283106
06027,3054.94304261
27173,1623.92183146
27171,1543.44174628
51600,1548.56063859
33013,1410.63877386
21101,1716.71623017
21103,1609.42971961
21105,1839.86748676
21107,1753.8807111
21109,1678.26557661
32013,2787.57319142
32011,2769.65605529
51840,1506.55133314
32017,2842.45407837
32015,2817.26271899
47081,1876.46512028
32019,2994.68145816
26157,1241.49218334
41001,2587.01103905
26155,1284.87017442
42057,1441.84855201
12019,2368.11265216
42051,1429.09095079
26151,1219.22021205
42053,1295.27945876
12015,2681.93192297
12017,2482.05140957
12011,2757.02683575
42059,1434.0480315
12013,2341.12401086
51115,1699.25770272
46009,1763.70661708
55109,1494.62257143
51111,1711.12227652
51113,1574.43349057
46003,1760.33685023
46007,1905.80608023
53007,2611.39991123
46005,1723.40364482
17031,1446.97489142
17033,1630.91288745
48021,2632.13405424
17035,1625.54588845
05139,2225.86472424
05137,1992.85527012
05135,1948.31706907
05133,2205.8001422
05131,2110.99196712
46117,1819.21935261
54027,1489.26003094
26023,1364.99583683
05003,2201.53744223
26021,1423.37903853
05001,2097.91795524
26027,1393.53248766
05007,2023.46044829
26025,1345.82140727
05005,1965.87883125
12121,2348.65688067
12123,2367.61200262
05009,1987.53722254
12125,2361.21175698
12127,2462.89424364
48261,2928.38690972
20153,2054.8475934
01025,2250.68687348
01027,2074.66548174
01021,2125.18175544
01023,2229.80683793
01029,2032.76138556
37009,1744.18116829
37007,1883.89017101
37005,1738.59391873
37003,1791.82155669
37001,1785.87393997
48365,2360.56575279
36029,1204.57900743
42129,1395.23548569
48237,2399.57286783
36023,1275.02742819
36021,1383.87942961
36027,1412.93315974
36025,1337.02735232
48091,2689.5687107
42125,1403.75451979
48235,2660.91282637
48233,2324.91767312
51065,1627.93233513
48149,2639.20876892
48419,2387.94225135
48145,2520.76349183
48147,2298.8246999
48141,2841.96712847
48143,2482.15084495
01111,2066.93486802
01113,2158.4508051
01115,2040.1333434
01117,2086.83518261
01119,2173.40244441
45061,1962.03698139
13059,1985.61772863
45065,1985.81442684
45067,1975.022003
13053,2149.0835462
13051,2172.55113664
13057,1967.68380998
13055,1956.89906368
48231,2336.16764671
01045,2244.66918074
40073,2182.47471664
37177,1847.47464409
37175,1864.04539073
37173,1835.74324077
37171,1745.501726
37179,1880.78200854
08053,2454.84759475
08051,2385.72830856
48029,2729.40481596
08057,2232.82508506
08055,2352.18072065
08059,2246.13525976
54089,1630.61432998
31129,1910.41334268
31127,1814.35092013
31125,1842.08496969
31123,2029.13499237
31121,1855.63594513
18149,1449.03975199
54085,1494.94019723
37125,1855.25922114
18141,1418.86013157
18143,1604.82453627
18145,1541.92207508
18147,1686.10715455
37127,1807.27708366
37121,1785.84884893
29109,1953.07720108
46011,1669.20350609
05093,1941.00203255
29101,1839.55372161
29103,1695.19522138
37123,1850.04816366
29105,1872.49731889
29107,1818.64499756
55111,1457.33791393
55113,1433.55132309
55115,1376.05856869
55117,1371.14212818
48303,2509.44779434
55119,1424.70574981
34041,1434.54123206
46013,1689.6374046
48301,2720.11279861
48307,2608.59319825
51161,1660.96742895
54081,1621.81278962
48305,2543.05392181
47035,1819.15192747
47037,1831.37682132
47031,1877.11616397
47033,1913.94391574
06109,3104.45763656
06107,3156.32062982
06105,3128.74712162
47039,1907.13481074
06103,3106.28773375
06101,3142.56798982
46137,1835.70839589
55029,1316.15759653
19149,1710.69847858
39171,1371.71580078
19147,1638.83277566
39173,1359.37740095
19145,1768.49270493
39175,1388.70627405
19143,1662.40779839
55023,1498.96960556
19141,1673.95180603
54083,1529.12789418
40141,2338.1502845
30049,2220.84160794
22019,2503.89421146
22013,2309.32045062
22011,2466.19499472
22017,2312.83922583
22015,2294.9949268
46129,1757.37368276
06039,3145.87675225
06033,3202.61664052
06031,3227.50756983
06037,3270.84721244
06035,2973.32366225
27143,1569.53005707
16065,2321.7683532
27141,1530.2184286
16067,2466.56943265
27147,1551.50479887
16061,2451.18042195
27145,1556.4752436
16063,2486.15844094
51510,1555.59515028
27149,1604.04140771
51530,1627.44024274
39009,1488.66776213
16069,2464.59816312
21113,1646.97610708
21111,1641.46024149
21117,1559.55849232
21115,1624.84634568
48447,2442.35801734
21119,1669.6635459
56045,1998.28815883
32009,2985.79714039
32005,3026.16377565
32007,2650.42260757
32001,2909.47851647
32003,2946.92584231
42021,1384.53103596
26141,1201.83744126
42023,1311.76563336
26143,1252.96691158
42025,1408.12256857
26145,1266.50336579
42027,1360.39871469
12009,2541.5489164
42029,1484.56852748
26149,1379.14893917
12005,2359.73568827
12003,2334.37418303
12001,2398.88599209
51107,1522.45097328
51105,1729.7006821
51103,1670.45857659
51101,1656.90102299
51109,1618.97037537
05109,2174.42433301
05103,2198.11980974
05101,2021.88029242
05107,2072.50662263
05105,2088.54637697
13289,2108.60217598
13287,2201.18959463
51127,1678.06971752
13285,2086.46791283
13283,2129.95531392
13281,1899.49788115
46099,1694.63095861
48121,2364.59955866
30061,2347.47519898
48219,2531.22303415
48127,2862.29170461
53039,2704.38334427
30063,2295.08979361
26039,1245.86544233
05039,2160.28810186
49047,2412.94938008
05037,1998.94944235
12133,2324.78461362
05035,1993.25077247
26037,1298.78111316
05033,2079.85469601
26031,1232.25219624
05031,1951.64690148
26033,1231.10179628
49045,2572.74875333
48229,2829.07155671
20089,1940.35722092
20087,1864.49936312
20085,1869.45892954
30067,2197.66483311
20083,2111.45445714
20081,2185.9421014
49043,2440.60537037
01051,2140.76791674
01053,2293.51350142
01055,2005.43944092
01057,2062.69270361
01059,2001.56599375
49041,2610.77356322
36017,1296.17537497
37019,1990.4527889
13199,2083.18316202
36013,1232.32005044
36011,1235.27272067
13193,2141.28809206
37011,1779.26573589
13191,2220.42980381
37013,1871.40021062
13197,2145.64345928
37015,1813.93778036
13195,1967.9226423
37017,1933.00654045
48311,2825.140699
48313,2513.05224614
48315,2308.37056543
48317,2617.5407887
48319,2646.4815206
48139,2424.02658711
48429,2464.10327727
48131,2885.40503323
48133,2497.05508684
48135,2676.62868239
48137,2746.20939252
47175,1848.51322575
13067,1996.9983423
36075,1220.60708248
13065,2276.16806216
13063,2031.66164602
55011,1488.35555856
13061,2220.484815
47177,1855.4478512
47069,1959.75723328
13069,2214.52699833
13265,2020.2372327
13267,2164.82307737
