uid,distance
16079,107649.49984
33017,104113.724569
16073,108366.711627
16071,108079.795826
16077,108031.417073
16075,108233.684133
48093,108698.562792
06115,109251.589893
06111,109773.581951
06113,109373.36581
01129,108180.099975
46111,106827.513145
40145,108126.89383
02100,105464.912623
40147,108046.705034
19159,107459.342367
39109,107653.784702
19155,107352.07193
39105,107550.962448
19157,107316.210193
39107,107634.248475
19151,107091.631878
39101,107621.712162
19153,107301.692688
39103,107575.8681
40029,108307.682092
40143,108119.078161
48025,109038.091658
22009,108444.017019
40027,108269.927449
22001,108530.74383
22003,108526.241415
22005,108441.478932
13029,107490.951965
22007,108472.463069
06029,109594.46603
46113,107113.508893
06021,109285.605624
40023,108342.407657
06023,109244.289529
06025,109658.478629
06027,109311.559296
27173,106655.907388
27171,106560.305248
51600,106750.652782
33013,104357.229194
21101,107815.118996
21103,107725.782438
21105,107917.809404
21107,107843.131579
21109,107694.394383
32013,108709.102061
32011,108739.716561
51840,106959.493655
32017,108951.347124
32015,108817.294817
47081,107919.596379
32019,109115.859448
26157,107312.78876
41001,108237.608318
26155,107389.147281
42057,106961.967522
12019,107602.473303
42051,107276.398142
26151,107361.906297
42053,107275.602795
12015,107740.886117
12017,107729.488122
12011,107572.133754
42059,107366.821232
12013,107970.214456
51115,106511.944988
46009,107046.623347
55109,106618.888003
51111,106948.197386
51113,106968.539032
46003,106900.318099
46007,107106.409419
53007,108150.760055
46005,106741.205925
17031,107410.854612
17033,107731.829925
48021,108833.750029
17035,107707.852892
05139,108308.483365
05137,108058.052012
05135,108013.88226
05133,108298.41405
05131,108178.529617
46117,106806.18141
54027,107057.018654
26023,107504.219821
05003,108270.425925
26021,107458.180729
05001,108168.241956
26027,107468.537774
05007,108055.161608
26025,107463.1127
05005,108021.946661
12121,107737.101817
12123,107815.886003
05009,108034.709107
12125,107665.183715
12127,107542.178038
48261,109190.836295
20153,107721.494982
01025,108137.814959
01027,107923.093229
01021,108004.308
01023,108152.531562
01029,107882.580932
37009,107459.906254
37007,107266.22046
37005,107414.083574
37003,107416.984654
37001,107153.9336
48365,108473.844999
36029,107206.221882
42129,107261.21228
48237,108534.603356
36023,106230.753077
36021,105334.069785
36027,105454.751258
36025,105856.78696
48091,108920.604959
42125,107385.025823
48235,108902.994061
48233,108336.764252
51065,106962.776001
48149,108834.549261
48419,108500.043935
48145,108693.141875
48147,108409.506941
48141,109161.133164
48143,108650.223428
01111,107890.264043
01113,107899.134144
01115,107941.019499
01117,107984.130527
01119,108117.639334
45061,107292.251678
13059,107682.288311
45065,107567.822032
45067,107155.513659
13053,107860.434895
13051,107445.328714
13057,107781.198319
13055,107845.567831
48231,108458.118645
01045,107968.416997
40073,108196.051983
37177,106519.977017
37175,107609.437815
37173,107669.473178
37171,107353.44836
37179,107327.988471
08053,108362.64398
08051,108209.032845
48029,108975.20358
08057,107832.508667
08055,108236.717365
08059,107948.491204
54089,107392.355319
31129,107576.413099
31127,107517.140465
31125,107358.330156
31123,107450.885299
31121,107401.62254
18149,107527.921709
54085,107454.529692
37125,107166.774128
18141,107497.817904
18143,107733.500795
18145,107691.587617
18147,107791.823984
37127,106899.324466
37121,107536.057724
29109,107960.146152
46011,106735.388511
05093,108011.498695
29101,107756.003498
29103,107567.77735
37123,107234.007642
29105,107881.682757
29107,107712.115055
55111,107047.233039
55113,106434.54096
55115,106769.79706
55117,107056.538377
48303,108657.049161
55119,106615.974793
34041,106013.42186
46013,106467.444159
48301,108982.780558
48307,108825.754906
51161,107292.212499
54081,107446.185604
48305,108713.126066
47035,107783.050095
47037,107873.468218
47031,107863.173527
47033,107980.531133
06109,109313.833907
06107,109470.769786
06105,109198.428009
47039,107956.152101
06103,109204.313531
06101,109310.11433
46137,106716.384114
55029,106745.048614
19149,107085.906776
39171,107559.700939
19147,107022.304355
39173,107596.843533
19145,107456.63573
39175,107618.433927
19143,106953.653975
55023,107054.604609
19141,107015.418433
54083,107274.410948
40141,108430.223889
30049,107255.866225
22019,108593.145984
22013,108398.914107
22011,108557.035573
22017,108416.60645
22015,108394.039125
46129,106548.092729
06039,109409.731223
06033,109378.619434
06031,109577.057746
06037,109725.841722
06035,109006.648422
27143,106698.757746
16065,107739.555639
27141,106497.469654
16067,108083.908437
27147,106839.932031
16061,107883.844847
27145,106461.534681
16063,108115.234375
51510,106697.164083
27149,106446.486918
51530,107163.756507
39009,107556.731343
16069,107908.966085
21113,107718.930777
21111,107751.254621
21117,107693.438416
21115,107606.016352
48447,108587.845557
21119,107614.874382
56045,107123.905125
32009,109158.730727
32005,109164.881917
32007,108495.544062
32001,108971.686394
32003,109167.137489
42021,107115.74147
26141,106670.016986
42023,107016.03318
26143,107032.919835
42025,106246.603854
26145,107317.39728
42027,106910.492533
12009,107507.639009
42029,106305.93043
26149,107487.528055
12005,108018.913642
12003,107648.185802
12001,107677.063797
51107,106833.977346
51105,107631.433338
51103,106542.300587
51101,106703.04669
51109,106896.300774
05109,108261.865413
05103,108284.030544
05101,108078.006819
05107,108137.871328
05105,108163.983996
13289,107714.80259
13287,107761.580157
51127,106681.874581
13285,107861.35323
13283,107624.2245
13281,107702.510666
46099,106892.80995
48121,108492.661971
30061,107579.978749
48219,108684.374294
48127,109169.305781
53039,108405.568821
30063,107457.327758
26039,106931.448357
05039,108242.666724
49047,108149.199656
05037,108069.262725
12133,108006.541465
05035,108060.628114
26037,107366.668952
05033,108136.926626
26031,106672.411441
05031,108022.782838
26033,106370.079798
49045,108394.419758
48229,109147.769663
20089,107646.431008
20087,107694.897698
20085,107672.300238
30067,107342.050946
20083,107956.025006
20081,108069.183642
49043,108147.56702
01051,107969.671907
01053,108115.374367
01055,107909.124996
01057,108033.257945
01059,108003.813884
49041,108541.996661
36017,106062.222609
37019,106963.411643
13199,107828.659377
36013,107349.102167
36011,106366.365153
13193,107787.88691
37011,107508.599103
13191,107494.506854
37013,106673.779761
13197,107835.412297
37015,106690.099989
13195,107662.52854
37017,107011.511379
48311,109095.958586
48313,108669.621091
48315,108417.337698
48317,108831.826257
48319,108876.611792
48139,108571.330997
48429,108622.884992
48131,109168.171145
48133,108669.962819
48135,108920.845553
48137,109021.562122
47175,107819.304792
13067,107796.942445
36075,106136.896724
13065,107678.926968
13063,107791.967802
55011,106784.384252
13061,107903.868756
47177,107839.3904
47069,108013.031876
13069,107677.753026
13265,107636.582809
13267,107570.216808
13261,107812.60557
13263,107825.392119
13269,107802.627108
42055,106864.462657
45089,107216.963622
40089,108304.916336
48047,109219.704398
48217,108625.836003
48041,108720.535531
48043,109226.788054
40081,108195.230544
26153,106476.339486
40083,108185.838271
40085,108413.2491
40087,108296.541814
20065,107756.421601
37161,107508.942544
20067,108086.821676
37163,106977.717624
20061,107745.463625
37165,107167.961519
20063,107845.132001
37167,107287.168989
36079,105502.108317
20069,108026.102364
48351,108567.509935
08069,107779.45769
08067,108472.451496
08065,108077.264886
45081,107495.214383
08063,107861.968394
08061,108017.269133
31119,107257.763358
31113,107387.168118
31111,107487.880581
31117,107396.999123
31115,107293.898952
48211,108295.680309
08085,108328.158141
08087,107756.053602
18159,107637.34851
08081,107977.448041
26159,107401.519582
08083,108515.613716
18153,107724.872682
18151,107538.546871
08089,108141.739092
18157,107618.253478
18155,107711.022641
51117,106971.943687
29119,108023.77483
29113,107716.96101
29111,107579.43317
29117,107611.150168
29115,107600.253005
51033,106762.222717
55063,106909.415568
51031,107110.208275
54059,107544.212068
55065,107196.007303
51037,107028.989265
55103,107043.06013
18007,107587.920729
55101,107273.941674
55107,106535.636141
55105,107227.297642
51119,106571.506336
51035,107362.066599
55069,106602.129156
48055,108879.929091
48363,108596.337965
38059,106285.745966
02122,105221.335065
47025,107677.241792
47023,107986.286467
47021,107882.996575
47029,107634.320545
29199,107522.214631
17037,107373.004364
19179,107427.951368
39169,107571.781424
17039,107606.454033
19173,107457.37363
39163,107589.561936
19171,107246.236705
39161,107615.475135
19177,107478.184405
39167,107508.433172
19175,107410.203999
39165,107670.339492
22027,108354.544157
22025,108391.30962
22023,108611.422542
22021,108371.926471
22029,108393.866991
06007,109218.372002
06005,109310.122641
06003,109219.042204
06001,109516.936527
06009,109337.452599
51620,106677.785045
02016,106639.955563
02013,106347.236911
16011,107906.140304
39017,107679.85814
16013,108034.179025
39015,107668.193516
16015,108128.647934
27159,106200.085888
16017,107578.676929
39011,107633.616178
16019,107801.045354
27155,106404.079808
27157,106796.911576
27151,106523.861796
27153,106332.576712
22117,108340.165118
21129,107672.596515
21127,107599.445528
48367,108570.256839
21125,107704.36075
21123,107775.819042
22115,108508.938005
21121,107688.555256
16059,107792.087817
46061,106898.302611
40001,108113.158761
12039,107903.520678
42031,107293.968631
46065,106786.069971
22111,108326.545479
46067,106971.50427
42035,106856.613535
12033,108154.145054
12031,107563.737082
42039,107434.346488
12037,107953.133577
40003,108104.52869
12035,107544.013303
51133,106531.667051
51131,106430.390587
51137,106909.712709
51135,106910.993631
40005,108322.087901
51139,107016.489792
16057,107833.557565
31177,107318.132238
40007,108173.179607
13299,107640.817013
22119,108378.403666
13291,107726.895554
13293,107797.744131
13295,107835.330372
51061,106873.200398
13297,107722.328705
12107,107600.164479
12105,107658.351071
12103,107796.123343
12101,107742.955267
02240,104429.070386
12109,107542.917637
26049,107398.610866
05029,108127.294585
26041,106534.504195
05021,107974.17267
26043,106456.926293
05023,108082.646165
26045,107417.600299
05025,108231.266132
26047,106628.912269
05027,108331.156811
20099,107973.692524
48239,108907.969869
20091,107742.630611
20093,108019.140799
20095,107985.283422
20097,108015.685567
13185,107748.157922
13187,107732.428103
13181,107584.645496
13183,107536.926613
01049,107879.177001
13189,107592.236796
12129,107895.106559
36003,106969.712128
36005,105612.469192
36007,106188.441658
36009,107169.115025
45019,107264.180916
05115,108118.56402
05117,108131.369349
05111,108044.719816
05113,108249.052934
48309,108675.443087
05119,108160.61613
48435,108970.345595
48437,108531.53611
48431,108841.922335
48433,108635.559306
48439,108547.805657
53027,108492.253994
48129,108433.409541
48123,108943.54544
30045,107020.149023
26029,106648.481257
48125,108606.263349
13071,107792.938304
13073,107565.064397
13075,107756.424424
13077,107828.661982
13079,107771.329994
13277,107757.966111
13275,107819.913923
13273,107844.447229
13271,107678.14706
45087,107475.164768
45085,107313.837735
45083,107519.480837
13279,107601.970212
18099,107534.29174
18093,107736.517551
18091,107491.346329
08091,108335.44033
18097,107675.693379
18095,107651.204857
48057,108959.620375
40099,108346.087762
48053,108809.826601
48051,108754.597191
40093,108167.279017
40091,108199.556399
40097,108080.356143
40095,108387.337379
20077,108034.46864
20075,108038.05863
37199,107551.594984
20073,107899.564307
20071,107962.61439
37195,106887.662648
37197,107348.737091
37191,106906.745037
37193,107416.607793
20079,107897.841195
08079,108358.499771
48369,108582.701241
08071,108244.842733
08073,107954.673509
08075,107639.328487
08077,108247.116725
18167,107698.02755
28021,108317.513832
18165,107660.690068
18163,107800.975976
18161,107679.278481
28023,108178.669396
18169,107596.258852
08097,108110.995175
08095,107629.829593
08093,108052.851364
19037,107060.437223
28025,108094.713186
08099,108068.766921
29127,107618.414911
48399,108784.477621
29125,107820.235082
16023,107910.444693
29123,107878.126253
28027,108142.758643
29121,107608.246777
51595,106805.140795
20139,107784.223198
29129,107513.505129
16025,108110.251679
16027,108281.27344
35049,108618.598479
35045,108621.011603
35047,108557.005915
35041,108688.608303
35043,108649.518933
48391,109010.989421
48393,108313.748587
55139,106944.153267
55137,106918.685358
20137,107684.773669
55135,106840.720644
55133,107187.842986
55131,107114.600294
31105,107585.030945
31107,107118.604593
31101,107493.239573
31103,107104.605319
31109,107455.047659
37103,106785.411271
47013,107716.656277
47011,107791.757131
47017,107948.146971
47015,107851.463643
47019,107532.199985
39157,107533.677248
19165,107290.814579
39155,107496.56664
19167,107015.123755
27019,106646.629729
19161,107157.363502
39151,107534.991086
19163,107362.269392
27015,106769.005803
27017,106216.723266
27011,106489.212681
19169,107238.701933
27013,106822.602975
53011,108556.208483
55009,106873.432232
51041,106814.030359
55003,106261.220281
51580,107268.751427
37109,107422.57356
55007,106229.593237
55005,106529.958152
22031,108456.27899
22033,108429.228467
22035,108279.929569
22037,108405.027899
22039,108496.388052
06011,109330.544129
06013,109481.808509
06015,109113.670085
06017,109254.331689
06019,109465.577272
51630,106793.50251
02068,104470.704149
02060,105555.814281
06087,109614.330351
27129,106657.848791
16003,108078.372919
39021,107643.698866
16001,108258.550311
39027,107659.170575
16007,107953.574599
39025,107677.601922
16005,107972.630526
27121,106448.344397
27123,106610.802857
16009,107760.749179
27125,105866.731553
27127,106729.816455
48361,108634.364452
21139,107867.973345
21131,107651.513745
21133,107607.034279
21135,107645.440106
21137,107730.967894
12027,107707.691503
12021,107705.397908
12023,107691.335543
46115,106624.025213
19087,107448.616388
12029,107783.079957
46073,106826.770099
42127,106042.758757
30081,107637.537086
42009,107049.235224
46075,106906.117061
06085,109560.3372
42005,107283.435328
46079,106815.541631
42003,107355.972978
42001,106731.886159
42121,107364.970401
51125,107078.534959
42123,107305.589271
51121,107319.125683
48027,108743.908471
46053,107029.233458
40069,108350.837141
48023,108533.52085
12111,107510.541377
12113,108122.632264
12115,107781.480858
12117,107552.132765
12119,107677.129287
40063,108253.11385
26059,107526.63027
17199,107839.753732
17197,107465.664489
26053,106290.794151
17195,107362.60609
26051,107139.379557
17193,107804.037865
26057,107297.175033
17191,107779.762726
26055,106890.241459
48209,108879.425484
48203,108441.46018
40067,108419.188315
41069,108465.796772
48207,108611.364411
48205,108392.309246
17175,107467.28288
17177,107266.73701
17171,107651.142703
40065,108421.702189
17173,107693.902355
01077,107971.463736
01075,108049.918697
17179,107555.035079
01071,107881.123498
51141,107298.048996
48339,108710.93202
48337,108464.56036
48335,108777.316833
48333,108752.406561
48331,108743.764121
48117,108517.911208
48115,108775.935687
48113,108525.666479
48111,108327.663231
40153,108175.777509
40151,108116.033586
48119,108414.008875
36001,105409.851616
48417,108645.317148
48415,108722.03772
13089,107769.599233
13085,107750.48388
13087,107888.942765
13081,107769.378356
13083,107846.416929
26147,107466.195461
13243,107875.82003
13241,107671.881744
13247,107753.438426
13245,107546.711209
36101,106750.720405
13249,107817.978135
48411,108802.512102
36105,105840.717318
36107,106361.439987
34031,105749.496953
48063,108426.968479
48061,109267.529651
48067,108390.362928
48065,108396.035476
48069,108556.384812
20043,107610.350576
20041,107771.841942
20047,107968.7427
20045,107744.419404
37189,107484.388736
37187,106609.916118
20049,107956.748826
37185,106919.751944
37183,107023.796411
37181,106978.308411
01095,107919.580083
01097,108218.49039
01091,108107.85895
34039,105790.060503
01093,108020.88044
01099,108110.401939
18171,107613.648208
18173,107791.235067
18175,107743.902703
18177,107669.291971
18179,107615.581542
54035,107512.95343
54037,106889.802797
54031,107096.571486
54033,107369.275149
54039,107486.482361
29131,107816.483806
29133,107914.341421
29135,107766.756995
29137,107657.009439
29139,107730.018631
18085,107555.165361
18087,107524.370844
18081,107694.422675
18083,107754.230558
18089,107481.187483
48097,108448.002409
31009,107301.011678
40119,108151.398949
35059,108340.476822
31005,107425.233399
06083,109821.363049
31007,107523.440108
35055,108443.319147
31001,107525.375756
35053,108896.332006
31003,107210.593719
35051,109035.455439
06081,109584.530601
45069,107201.381873
40115,108008.33121
55129,106415.353829
11001,106680.683519
48099,108722.805905
55121,106813.887959
55123,106984.74069
55125,106417.097093
55127,107246.48484
28087,108086.292456
28085,108320.823255
28083,108176.836121
28081,108054.210995
31179,107194.908854
28089,108224.250345
48083,108742.92723
51079,107006.698171
47009,107707.966277
47005,107929.096009
47007,107805.754363
47001,107723.49059
47003,107883.561459
19111,107501.325566
39141,107626.007324
19113,107264.190057
39143,107600.782112
19115,107417.203761
39145,107621.725903
19117,107416.569645
27009,106431.233777
19119,106952.04067
27007,105863.384114
27005,106108.056795
27003,106546.028656
27001,106208.273088
30097,107206.97643
51077,107427.365213
49037,108556.785615
51057,106666.853488
39153,107554.861984
49035,108260.478031
51051,107558.707718
49033,108051.210924
02070,105263.704216
51053,106824.859588
27139,106690.036699
19029,107354.144877
39039,107583.596284
16039,108187.855407
19025,107160.442975
27133,106890.769219
16035,107726.953613
27131,106763.089413
19021,107087.115468
27137,105956.695907
19023,107116.361299
27135,105632.422474
37139,106532.605934
51800,106609.359398
51059,106745.025353
12051,107649.911599
12053,107733.046002
12055,107637.85416
39159,107631.27325
12057,107746.426338
12059,108009.621992
42019,107367.221011
46049,106609.07578
46047,107187.282328
42011,106343.053705
46045,106528.342342
42013,107021.481891
46043,106968.255102
42015,106466.091293
46041,106642.836616
42017,106083.467194
51159,106616.27573
48347,108539.392433
51153,106793.330271
51155,107363.894445
51157,106949.544932
48345,108549.816864
48343,108402.751414
21097,107696.377476
21095,107638.750917
21093,107779.781535
21091,107796.237417
48341,108359.955605
55001,106933.613027
21099,107791.097815
26067,107343.728125
05099,108294.107325
26065,107438.11261
26063,107230.98159
26061,106157.216344
02261,105013.20373
26069,107100.114019
17189,107791.109099
17181,107864.082004
17183,107624.87884
17185,107774.700645
17187,107486.032733
01069,107949.660034
17165,107833.154764
17163,107781.488396
17161,107391.773187
01061,108001.438084
01063,108089.862548
01065,108071.866055
01067,107930.990093
49023,108478.728029
48329,108890.863467
54087,107476.423733
48321,108888.127024
48323,109167.492372
48325,109021.819256
48327,108890.215541
48101,108522.130289
48103,108974.088555
48105,108998.725713
48107,108631.613894
48109,109094.333137
48459,108448.668003
13099,107905.964076
13097,107819.708263
13095,107829.225268
13093,107768.455275
13091,107697.564982
48215,109287.736233
36119,105538.474335
13259,107873.582276
48213,108541.654411
13255,107787.331924
13257,107665.078479
13251,107499.667979
13253,107916.250339
37097,107376.205957
48079,108709.45357
48075,108463.091844
48077,108471.742981
48071,108718.139924
48073,108544.768709
24025,106481.413809
53001,108020.921757
24027,106655.467213
24021,106777.507076
20059,107792.367219
24023,107194.391258
20055,107989.791042
20057,108015.553691
24029,106438.555561
20051,107810.893813
20053,107817.337038
01087,107940.246391
01085,108027.988942
01083,107940.320364
01081,107903.414601
53005,108235.828819
40149,108316.662773
01089,107917.185165
05149,108173.484842
18181,107582.364869
18183,107575.624146
05147,108091.896677
54025,107341.500252
54023,107166.982234
54021,107420.399418
55037,106494.120972
54029,107441.562453
53003,107985.0919
30015,106874.548696
30017,106684.96295
30011,106766.219278
30013,107094.231972
31019,107477.904054
31017,107216.16375
35061,108784.708084
31015,107079.520822
30019,106116.195731
31013,107363.590367
31011,107302.713058
48507,109118.094098
30065,106912.203408
51069,106979.496767
39023,107648.987542
23011,103341.141922
28091,108301.201559
23013,103199.345564
28093,108061.826558
23015,103374.453539
28095,108066.275312
23017,103666.020702
28097,108148.379594
23019,102696.56946
28099,108165.468459
31169,107569.723904
54053,107545.021093
02020,105050.131511
