uid,region1Model,region1Data,region2Model,region2Data
06007,0,70,1,6
06015,0,0,0,0
06021,0,24,0,0
06023,0,10,0,0
06035,0,7,0,0
06045,0,12,0,0
06049,0,0,0,0
06057,0,45,1,6
06061,4,99,32,0
06063,0,16,0,0
06089,0,35,0,6
06091,0,0,0,0
06093,0,12,0,0
06103,0,0,0,0
06105,0,0,0,0
06115,0,22,0,0
08003,0,17,0,0
08007,0,8,0,0
08021,0,2,0,0
08023,0,0,0,0
08029,0,2,0,0
08033,0,0,0,0
08051,0,9,0,0
08053,0,1,0,0
08067,0,36,0,0
08077,0,63,1,0
08079,0,0,0,0
08083,0,1,0,0
08085,0,7,0,0
08091,0,4,0,0
08105,0,0,0,0
08109,0,0,0,3
08111,0,4,0,0
08113,0,12,0,0
16001,1,138,3,0
16027,1,87,2,0
16031,0,9,0,0
16039,0,24,0,0
16045,0,7,0,0
16047,0,18,0,0
16053,0,0,0,0
16063,0,0,0,0
16073,0,6,0,0
16075,0,19,0,0
16083,0,19,0,0
22023,0,0,0,0
32001,0,17,0,0
32005,0,28,0,5
32007,0,6,0,0
32011,0,0,0,0
32013,0,13,0,0
32015,0,0,0,0
32019,0,4,0,0
32027,0,0,0,0
32029,0,0,0,0
32031,1,208,3,0
32033,0,0,0,0
32510,0,12,0,0
35007,0,2,0,4
35009,0,25,4,3
35019,0,0,0,0
35021,0,0,0,0
35028,0,0,0,0
35033,0,0,0,0
35037,0,0,0,0
35039,0,6,5,3
35043,0,91,129,0
35045,0,42,3,11
35047,0,0,4,8
35049,0,83,83,10
35055,0,27,1,0
35059,0,0,0,0
41001,0,24,0,0
41003,0,12,0,0
41005,43,243,53,0
41007,0,56,0,0
41009,0,9,0,0
41011,0,21,0,0
41013,0,0,0,0
41015,0,8,0,0
41017,0,47,0,27
41019,0,38,0,0
41021,0,2,0,0
41023,0,3,0,0
41025,0,2,0,0
41027,0,0,0,0
41029,0,49,0,0
41031,0,2,0,0
41033,0,21,0,0
41035,0,13,0,0
41037,0,0,0,0
41039,1,160,1,0
41041,0,0,0,0
41043,0,23,0,0
41045,0,3,0,0
41047,3,45,8,12
41049,0,3,0,0
41051,97,269,97,0
41053,0,11,0,0
41055,0,0,0,0
41057,0,22,0,0
41065,0,11,0,0
41067,52,111,67,27
41069,0,0,0,0
41071,0,25,0,1
48009,0,8,0,0
48011,0,11,0,0
48017,0,0,0,0
48023,0,6,0,0
48035,0,38,0,0
48041,0,74,3,0
48045,0,0,0,0
48059,0,7,0,0
48069,0,0,0,7
48071,0,55,0,0
48075,0,7,0,0
48093,0,14,0,0
48099,2,96,13,0
48101,0,0,0,0
48107,0,0,0,0
48117,0,0,0,0
48125,0,0,0,0
48129,0,2,0,0
48133,0,27,0,0
48139,17,98,12,0
48143,0,36,0,0
48145,0,12,0,0
48151,0,0,0,0
48153,0,5,0,0
48155,0,0,0,0
48161,0,12,0,0
48169,0,0,0,0
48185,0,70,0,0
48189,0,0,1,0
48191,0,0,0,0
48193,0,11,0,0
48197,0,0,0,0
48199,0,87,0,5
48205,0,5,0,0
48207,0,0,0,0
48217,0,40,0,5
48221,0,64,0,0
48225,0,15,0,0
48237,0,8,0,0
48245,15,166,9,0
48251,24,133,22,0
48253,0,19,0,0
48263,0,0,0,0
48269,0,0,0,0
48275,0,0,0,1
48279,0,19,1,0
48289,0,48,0,0
48291,1,50,3,0
48293,0,37,0,0
48303,0,89,16,0
48309,2,175,7,0
48313,0,8,0,0
48339,224,398,205,27
48345,0,0,0,0
48349,0,38,0,6
48359,0,0,0,0
48361,6,194,4,0
48363,0,30,0,0
48367,11,112,8,0
48369,0,4,0,6
48373,0,48,0,5
48375,1,54,5,0
48381,11,68,29,5
48395,0,2,0,0
48407,0,24,0,0
48417,0,6,0,0
48425,0,14,0,0
48429,0,15,0,0
48433,0,0,0,0
48437,0,5,0,0
48447,0,8,0,0
48455,0,7,0,7
48457,0,35,0,0
48471,0,34,0,0
48503,0,29,0,0
49001,0,2,0,0
49003,0,10,0,0
49007,0,1,0,0
49011,9,160,19,0
49013,0,2,0,0
49015,0,5,0,0
49017,0,0,0,0
49019,0,6,0,0
49021,0,26,0,0
49023,0,9,0,0
49025,0,4,0,0
49027,0,0,0,0
49029,0,2,0,0
49031,0,0,0,0
49035,30,360,53,59
49037,0,2,0,0
49039,0,5,0,0
49041,0,0,0,0
49043,0,86,0,0
49045,0,9,0,0
49047,0,12,0,0
49049,4,159,17,8
49051,0,3,0,0
49055,0,2,0,0
49057,1,122,5,4
53011,23,225,30,0
53015,0,35,0,0
53027,0,11,0,0
53039,0,2,0,0
53041,0,8,0,0
53045,0,10,0,0
53049,0,5,0,2
53059,0,4,0,0
53067,2,116,5,1
53069,0,2,0,0
