source,cor,p-value
U01001,0.182758993566,9.49828100063e-25
U01003,0.202231837689,4.81910329022e-30
U01005,0.0103058941557,0.565743189612
U01007,0.0312775743806,0.081258123534
U01009,0.0957619121264,8.85288997025e-08
U01011,-0.00775364564332,0.665673087715
U01013,-0.00543072932231,0.76216380216
U01015,0.0429279640912,0.016695284442
U01017,0.0699335182864,9.54153885399e-05
U01019,-0.025365446737,0.157430017497
U01021,0.0850656696958,2.04358832064e-06
U01023,-0.0256306116098,0.153133008175
U01025,0.0491118552676,0.00617183705936
U01027,-0.057630998706,0.00130774348713
U01029,-0.0966921519141,6.62616167381e-08
U01031,0.156694307959,1.54384746511e-18
U01033,0.122502975697,7.25459637789e-12
U01035,0.000523921291149,0.976707816098
U01037,-0.00899013634947,0.61636860772
U01039,-0.0568243880746,0.00152851657718
U01041,0.0183345015195,0.306869464005
U01043,0.105360823148,3.91280935727e-09
U01045,0.163044735706,5.83916204589e-20
U01047,0.0221681655873,0.216637974289
U01049,0.0343260952586,0.0556898762303
U01051,0.241711102469,1.47063708816e-42
U01053,-0.0564279086165,0.00164917518858
U01055,0.11391849208,1.90165117904e-10
U01057,0.00301528315406,0.86655723362
U01059,0.0693888782305,0.00010816686418
U01061,0.0560786546154,0.00176265536098
U01063,0.0212383071049,0.236539391155
U01065,0.0472861443738,0.00837438704865
U01067,0.0621864802675,0.000522741135575
U01069,0.12451568057,3.26052738556e-12
U01071,0.0219684056894,0.220808385823
U01073,0.397108716835,6.45401951034e-118
U01075,-0.00129341892376,0.942539512588
U01077,0.172622577023,3.24211538308e-22
U01079,0.151142487345,2.4240376429e-17
U01081,0.172098357843,4.34245116393e-22
U01083,0.20837720959,7.82264249653e-32
U01085,0.0188322051248,0.293922470835
U01087,0.0646478134882,0.000310471582955
U01089,0.158145569733,7.39089215633e-19
U01091,0.0421411880863,0.0188013603375
U01093,-0.0049288640818,0.783567826985
U01095,0.102700107562,9.56042057762e-09
U01097,0.219134458275,4.18254767106e-35
U01099,-0.00643135330896,0.720041133859
U01101,0.173891490062,1.59212709105e-22
U01103,0.207114887212,1.84354592012e-31
U01105,-0.0222587347514,0.214765933907
U01107,0.0155068803483,0.387475786468
U01109,-0.00876004380244,0.625422033873
U01111,-0.0371824504677,0.0381924183919
U01113,0.187566909095,5.28514099114e-26
U01115,0.142275304697,1.59771982901e-15
U01117,0.328794290633,2.98152144775e-79
U01119,0.00804683628663,0.653840431078
U01121,0.148089980042,1.05518089985e-16
U01123,0.00802042559686,0.654902818905
U01125,0.150914902038,2.70784412221e-17
U01127,0.128431658065,6.62819253555e-13
U01129,0.00927014051199,0.605429588882
U01131,-0.053721610383,0.00273628663509
U01133,-0.00995467718859,0.579060078799
U04001,-0.0424585601231,0.0179253665685
U04003,0.0391993450507,0.028866688148
U04005,-0.0678304523851,0.000154112412883
U04007,-0.0862274504999,1.47815480104e-06
U04009,0.0269075083551,0.133680052723
U04011,-0.082895843405,3.70099579801e-06
U04012,-0.0734276368867,4.17753913863e-05
U04013,0.249750372687,2.07662385946e-45
U04015,-0.0376511687931,0.0358229494207
U04017,-0.0749733687733,2.86510803286e-05
U04019,0.101238069078,1.54732200897e-08
U04021,0.176069866102,4.63730823639e-23
U04023,-0.00952772547643,0.595443908249
U04025,-0.0235025477886,0.190227054644
U04027,-0.089597732032,5.6421869449e-07
U05001,0.00564522063931,0.753070092057
U05003,0.0149588832574,0.404472305213
U05005,0.0917747772568,2.97296275267e-07
U05007,0.306586144779,1.23503892946e-68
U05009,0.0810806412002,6.01575623383e-06
U05011,-0.00303156052851,0.865843676365
U05013,-0.00587650501073,0.743302673053
U05015,0.0136419614523,0.447098502034
U05017,0.00575569439598,0.748399613395
U05019,0.0123246883339,0.49218093944
U05021,0.0395937916801,0.0272924603141
U05023,-0.00461541899965,0.797020611632
U05025,-0.032784418303,0.0676292921486
U05027,0.00709244819725,0.692661400871
U05029,0.0491833611631,0.00609731564646
U05031,0.113466202974,2.24415950893e-10
U05033,0.257816474238,2.25035543574e-48
U05035,0.151516353542,2.02017171841e-17
U05037,-0.0267582776188,0.135849704545
U05039,-0.0391057300204,0.0292515751689
U05041,0.00703600077113,0.694984206836
U05043,0.0606658423061,0.000714788437999
U05045,0.312180986366,3.17533278384e-71
U05047,0.110255544389,7.13752730558e-10
U05049,0.0495182226506,0.00575900020827
U05051,0.12329404964,5.30603966255e-12
U05053,0.0384010492317,0.0322929641602
U05055,0.122810430341,6.42569873216e-12
U05057,0.0828815752549,3.7153004514e-06
U05059,0.163457122547,4.69871804331e-20
U05061,0.019202568243,0.284529091781
U05063,0.0198172394419,0.269391901413
U05065,0.0262637490232,0.143234174605
U05067,0.0339118800896,0.0587109677225
U05069,0.201199393884,9.50597387441e-30
U05071,0.0422817133607,0.0184089758369
U05073,-0.0960967457673,7.97866512414e-08
U05075,0.00259301662423,0.88510461775
U05077,0.0156807105985,0.382176583442
U05079,0.0589676336289,0.00100561110571
U05081,0.0388872674475,0.0301669620676
U05083,0.0502869334566,0.00504549485798
U05085,0.288147473311,1.70975077496e-60
U05087,0.0872260620748,1.11523554691e-06
U05089,0.0596229918685,0.000882379580587
U05091,0.187068742081,7.15556107118e-26
U05093,0.0357865087297,0.0460522361217
U05095,-0.0152890421542,0.394179427494
U05097,-0.0445318475412,0.0130332830538
U05099,-0.00364685047186,0.838956233515
U05101,0.0172080697532,0.337545979466
U05103,0.139666580462,5.21705790038e-15
U05105,0.00926393636854,0.605671024451
U05107,0.0427707800489,0.01709867623
U05109,-0.00966826025536,0.590027719157
U05111,0.0647690732819,0.000302463261557
U05113,-0.0659655366508,0.000233169051839
U05115,0.132186649029,1.37363789687e-13
U05117,-0.0312641418349,0.0813889619149
U05119,0.358239620178,9.18637587852e-95
U05121,0.0118652627216,0.508459098161
U05123,0.0519925034216,0.0037393967967
U05125,0.355070050001,5.17729439757e-93
U05127,0.0161475945884,0.368165012868
U05129,-0.0368345694425,0.0400359949119
U05131,0.241406150568,1.87746430022e-42
U05133,0.0699491154255,9.50720104704e-05
U05135,0.000153357508264,0.993181237098
U05137,-0.0646058152787,0.000313291215788
U05139,0.0497050771982,0.00557766209009
U05141,-0.0177135507974,0.323544242491
U05143,0.287953971158,2.06638805405e-60
U05145,0.148419994107,9.01375918515e-17
U05147,-0.0297735597503,0.0970031099411
U05149,0.070575913525,8.2199277003e-05
U06001,0.455897941771,2.24055689126e-159
