uid,usColor,usOpacity,mexicoColor,mexicoOpacity,canadaColor,canadaOpacity
U01001,darkgreen,0.000528276679635,darkorange,0.0968283614195,darkorange,0.0
U01003,darkgreen,0.000601933887052,darkorange,0.0254691905138,darkorange,0.0968283614195
U01005,darkgreen,0.00118889055341,darkorange,0.0,darkorange,0.0
U01007,darkgreen,0.000688664416314,darkorange,0.0,darkorange,0.0
U01009,darkgreen,0.000579315350593,darkorange,0.0968283614195,darkorange,0.0
U01011,darkgreen,0.000978594522693,darkorange,0.0,darkorange,0.0
U01013,darkgreen,0.000776078645187,darkorange,0.0,darkorange,0.0
U01015,darkgreen,0.00120732066416,darkorange,0.0968283614195,darkorange,0.0968283614195
U01017,darkgreen,0.000723335192008,darkorange,0.0,darkorange,0.0
U01019,darkgreen,0.00052124611536,darkorange,0.0,darkorange,0.0
U01021,darkgreen,0.000573628294299,darkorange,0.0,darkorange,0.0
U01023,darkgreen,0.00080642142879,darkorange,0.0,darkorange,0.0
U01025,darkgreen,0.000898716710316,darkorange,0.0,darkorange,0.0
U01027,darkgreen,0.000492747589693,darkorange,0.0,darkorange,0.0
U01029,darkgreen,0.000460655971726,darkorange,0.0,darkorange,0.0
U01031,darkgreen,0.000611352384228,darkorange,0.0,darkorange,0.0
U01033,darkgreen,0.000889092848751,darkorange,0.0968283614195,darkorange,0.0
U01035,darkgreen,0.000813084614194,darkorange,0.0,darkorange,0.0
U01037,darkgreen,0.00043194181012,darkorange,0.0,darkorange,0.0
U01039,darkgreen,0.00121404781788,darkorange,0.0,darkorange,0.0
U01041,darkgreen,0.000756329930051,darkorange,0.0,darkorange,0.0
U01043,darkgreen,0.000881172461284,darkorange,0.0968283614195,darkorange,0.0
U01045,darkgreen,0.000762289197131,darkorange,0.0968283614195,darkorange,0.0
U01047,darkgreen,0.00142303909873,darkorange,0.0,darkorange,0.0
U01049,darkgreen,0.00081909203919,darkorange,0.0968283614195,darkorange,0.0
U01051,darkgreen,0.000561817244534,darkorange,0.153469321856,darkorange,0.0968283614195
U01053,darkgreen,0.00111737755271,darkorange,0.0,darkorange,0.0
U01055,darkgreen,0.00100639547357,darkorange,0.0968283614195,darkorange,0.0968283614195
U01057,darkgreen,0.000904170126374,darkorange,0.0,darkorange,0.0
U01059,darkgreen,0.000780850534185,darkorange,0.0,darkorange,0.0
U01061,darkgreen,0.000214131173313,darkgreen,0.334971095075,darkorange,0.0
U01063,darkgreen,0.000706864490344,darkorange,0.0,darkorange,0.0
U01065,darkgreen,0.000896837728094,darkorange,0.0,darkorange,0.0
U01067,darkgreen,0.000630672840231,darkorange,0.0,darkorange,0.0
U01069,darkgreen,0.000835026727993,darkgreen,0.238142733656,darkorange,0.0
U01071,darkgreen,0.00059678973486,darkgreen,0.306938643712,darkgreen,0.224828492762
U01073,darkgreen,0.00101206932255,darkorange,0.438009091985,darkorange,0.334971095075
U01075,darkgreen,0.000909270709759,darkorange,0.0,darkorange,0.0
U01077,darkgreen,0.000952953627452,darkorange,0.0968283614195,darkorange,0.0968283614195
U01079,darkgreen,0.000572611501696,darkorange,0.0,darkorange,0.0
U01081,darkgreen,0.000812077162585,darkorange,0.153469321856,darkorange,0.0968283614195
U01083,darkgreen,0.000665110838179,darkorange,0.0968283614195,darkorange,0.0968283614195
U01085,darkgreen,0.000506220868647,darkorange,0.0,darkorange,0.0
U01087,darkgreen,0.000741082888386,darkorange,0.0,darkorange,0.0
U01089,darkgreen,0.00152831414135,darkgreen,0.0781748541868,darkgreen,0.250297683276
U01091,darkgreen,0.00097475351863,darkorange,0.0,darkorange,0.0
U01093,darkgreen,0.000741082888386,darkorange,0.0,darkorange,0.0
U01095,darkgreen,0.00098355330474,darkorange,0.0968283614195,darkorange,0.0
U01097,darkgreen,0.00105267642234,darkgreen,0.0290059312388,darkorange,0.153469321856
U01099,darkgreen,0.00110669053084,darkorange,0.0,darkorange,0.0
U01101,darkgreen,0.00182950524714,darkorange,0.153469321856,darkorange,0.0968283614195
U01103,darkgreen,0.000896521026482,darkorange,0.153469321856,darkorange,0.0968283614195
U01105,darkgreen,0.000914392890071,darkorange,0.0,darkorange,0.0
U01107,darkgreen,0.000793040999212,darkorange,0.0,darkorange,0.0
U01109,darkgreen,0.00071964468997,darkorange,0.0,darkorange,0.0
U01111,darkgreen,0.000636248801481,darkorange,0.0,darkorange,0.0
U01113,darkgreen,0.000448455591683,darkorange,0.0968283614195,darkorange,0.0
U01115,darkgreen,0.000646106942037,darkorange,0.0968283614195,darkorange,0.0968283614195
U01117,darkgreen,0.000445226029475,darkorange,0.306938643712,darkgreen,0.113281920873
U01119,darkgreen,0.000881351799496,darkorange,0.0,darkorange,0.0
U01121,darkgreen,0.000811164931969,darkorange,0.0968283614195,darkorange,0.0968283614195
U01123,darkgreen,0.000946885682625,darkorange,0.0,darkorange,0.0
U01125,darkgreen,0.00109661431773,darkgreen,0.204838192583,darkorange,0.0968283614195
U01127,darkgreen,0.000788490128228,darkorange,0.0968283614195,darkorange,0.0
U01129,darkgreen,0.000736029766043,darkorange,0.0,darkorange,0.0
U01131,darkgreen,0.000902709421327,darkorange,0.0,darkorange,0.0
U01133,darkgreen,0.00103199379031,darkorange,0.0,darkorange,0.0
U02013,darkorange,0.0,darkorange,0.0,darkorange,0.0
U02016,darkgreen,0.00170707375013,darkorange,0.0,darkorange,0.153469321856
U02020,darkgreen,0.06855662203,darkorange,0.153469321856,darkorange,0.582507765488
U02050,darkgreen,0.00547889033505,darkorange,0.0,darkorange,0.153469321856
U02060,darkorange,0.0,darkorange,0.0,darkorange,0.0
U02068,darkorange,0.0,darkorange,0.0,darkorange,0.0
U02070,darkorange,0.0,darkorange,0.0,darkorange,0.0
U02090,darkgreen,0.0206803368022,darkorange,0.0,darkorange,0.656627949257
U02100,darkgreen,0.00490203970047,darkorange,0.0,darkorange,0.153469321856
U02110,darkgreen,0.0863848426617,darkorange,0.0,darkorange,0.643313708363
U02122,darkgreen,0.0109956583453,darkorange,0.0,darkorange,0.648792598698
U02130,darkgreen,0.141153527317,darkorange,0.0,darkorange,0.68830677526
