uid,CDATA,COLD,CNEW,MDATA,MOLD,MNEW
U01001,0,0.0,0.0,0,1.0,0.0
U01003,0,1.0,0.0,4,5.0,0.0
U01005,0,0.0,0.0,0,0.0,0.0
U01007,0,0.0,0.0,0,0.0,0.0
U01009,0,0.0,0.0,0,1.0,0.0
U01011,0,0.0,0.0,0,0.0,0.0
U01013,0,0.0,0.0,0,0.0,0.0
U01015,0,1.0,0.0,0,1.0,0.0
U01017,0,0.0,0.0,0,0.0,0.0
U01019,0,0.0,0.0,0,0.0,0.0
U01021,0,0.0,0.0,0,0.0,0.0
U01023,0,0.0,0.0,0,0.0,0.0
U01025,0,0.0,0.0,0,0.0,0.0
U01027,0,0.0,0.0,0,0.0,0.0
U01029,0,0.0,0.0,0,0.0,0.0
U01031,0,0.0,0.0,0,0.0,0.0
U01033,0,0.0,0.0,0,1.0,0.0
U01035,0,0.0,0.0,0,0.0,0.0
U01037,0,0.0,0.0,0,0.0,0.0
U01039,0,0.0,0.0,0,0.0,0.0
U01041,0,0.0,0.0,0,0.0,0.0
U01043,0,0.0,0.0,0,1.0,0.0
U01045,0,0.0,0.0,0,1.0,0.0
U01047,0,0.0,0.0,0,0.0,0.0
U01049,0,0.0,0.0,0,1.0,0.0
U01051,0,1.0,0.0,0,2.0,0.0
U01053,0,0.0,0.0,0,0.0,0.0
U01055,0,1.0,0.0,0,1.0,0.0
U01057,0,0.0,0.0,0,0.0,0.0
U01059,0,0.0,0.0,0,0.0,0.0
U01061,0,0.0,0.0,10,0.0,0.0
U01063,0,0.0,0.0,0,0.0,0.0
U01065,0,0.0,0.0,0,0.0,0.0
U01067,0,0.0,0.0,0,0.0,0.0
U01069,0,0.0,0.0,10,1.0,0.0
U01071,4,0.0,0.0,8,0.0,0.0
U01073,0,10.0,0.0,0,22.0,1.0
U01075,0,0.0,0.0,0,0.0,0.0
U01077,0,1.0,0.0,0,1.0,0.0
U01079,0,0.0,0.0,0,0.0,0.0
U01081,0,1.0,0.0,0,2.0,0.0
U01083,0,1.0,0.0,0,1.0,0.0
U01085,0,0.0,0.0,0,0.0,0.0
U01087,0,0.0,0.0,0,0.0,0.0
U01089,11,1.0,0.0,6,3.0,0.0
U01091,0,0.0,0.0,0,0.0,0.0
U01093,0,0.0,0.0,0,0.0,0.0
U01095,0,0.0,0.0,0,1.0,0.0
U01097,0,2.0,0.0,15,12.0,1.0
U01099,0,0.0,0.0,0,0.0,0.0
U01101,0,1.0,0.0,0,2.0,0.0
U01103,0,1.0,0.0,0,2.0,0.0
U01105,0,0.0,0.0,0,0.0,0.0
U01107,0,0.0,0.0,0,0.0,0.0
U01109,0,0.0,0.0,0,0.0,0.0
U01111,0,0.0,0.0,0,0.0,0.0
U01113,0,0.0,0.0,0,1.0,0.0
U01115,0,1.0,0.0,0,1.0,0.0
U01117,8,3.0,0.0,0,8.0,0.0
U01119,0,0.0,0.0,0,0.0,0.0
U01121,0,1.0,0.0,0,1.0,0.0
U01123,0,0.0,0.0,0,0.0,0.0
U01125,0,1.0,0.0,12,2.0,0.0
U01127,0,0.0,0.0,0,1.0,0.0
U01129,0,0.0,0.0,0,0.0,0.0
U01131,0,0.0,0.0,0,0.0,0.0
U01133,0,0.0,0.0,0,0.0,0.0
U02013,0,0.0,0.0,0,0.0,0.0
U02016,0,2.0,0.0,0,0.0,0.0
U02020,23,1552.0,126.0,0,2.0,0.0
U02050,0,2.0,0.0,0,0.0,0.0
U02060,0,0.0,0.0,0,0.0,0.0
U02068,0,0.0,0.0,0,0.0,0.0
U02070,0,0.0,0.0,0,0.0,0.0
U02090,0,109.0,11.0,0,0.0,0.0
U02100,0,2.0,0.0,0,0.0,0.0
U02110,0,99.0,4.0,0,0.0,0.0
U02122,0,103.0,8.0,0,0.0,0.0
U02130,0,137.0,21.0,0,0.0,0.0
U02150,0,2.0,0.0,0,0.0,0.0
U02164,0,0.0,0.0,0,0.0,0.0
U02170,7,764.0,66.0,0,1.0,0.0
U02180,0,1.0,0.0,0,0.0,0.0
U02185,0,0.0,0.0,0,0.0,0.0
U02188,0,0.0,0.0,0,0.0,0.0
U02201,4,22.0,4.0,0,0.0,0.0
U02220,0,11.0,1.0,0,0.0,0.0
U02232,0,7.0,0.0,0,0.0,0.0
U02240,0,2.0,0.0,0,0.0,0.0
U02261,0,2.0,0.0,2,0.0,0.0
U02270,0,0.0,0.0,0,0.0,0.0
U02280,0,7.0,1.0,0,0.0,0.0
U02282,0,0.0,0.0,0,0.0,0.0
U02290,0,2.0,0.0,0,0.0,0.0
U04001,19,0.0,0.0,0,10.0,1.0
U04003,0,0.0,0.0,182,1896.0,178.0
U04005,0,0.0,0.0,0,9.0,0.0
U04007,0,0.0,0.0,0,8.0,0.0
U04009,0,0.0,0.0,0,34.0,2.0
U04011,0,0.0,0.0,0,1.0,0.0
U04012,0,0.0,0.0,0,1.0,0.0
U04013,94,37.0,1.0,154,4793.0,269.0
U04015,0,2.0,0.0,19,45.0,2.0
U04017,0,0.0,0.0,0,8.0,0.0
U04019,52,3.0,0.0,246,1904.0,109.0
U04021,0,2.0,0.0,7,388.0,25.0
U04023,0,0.0,0.0,396,1505.0,361.0
U04025,0,1.0,0.0,0,37.0,2.0
U04027,0,0.0,0.0,131,1591.0,187.0
U05001,0,0.0,0.0,0,0.0,0.0
U05003,0,0.0,0.0,0,0.0,0.0
U05005,0,0.0,0.0,0,0.0,0.0
U05007,0,1.0,0.0,10,3.0,0.0
U05009,0,0.0,0.0,0,0.0,0.0
U05011,0,0.0,0.0,0,0.0,0.0
U05013,0,0.0,0.0,0,0.0,0.0
U05015,0,0.0,0.0,0,0.0,0.0
U05017,0,0.0,0.0,0,0.0,0.0
U05019,0,0.0,0.0,0,0.0,0.0
U05021,0,0.0,0.0,0,0.0,0.0
U05023,0,0.0,0.0,0,0.0,0.0
U05025,0,0.0,0.0,0,0.0,0.0
U05027,0,0.0,0.0,0,0.0,0.0
U05029,0,0.0,0.0,0,0.0,0.0
U05031,6,0.0,0.0,0,0.0,0.0
U05033,0,0.0,0.0,8,1.0,0.0
U05035,0,0.0,0.0,0,1.0,0.0
U05037,0,0.0,0.0,0,0.0,0.0
U05039,0,0.0,0.0,0,0.0,0.0
U05041,0,0.0,0.0,0,0.0,0.0
U05043,0,0.0,0.0,0,0.0,0.0
U05045,0,1.0,0.0,0,2.0,0.0
U05047,0,0.0,0.0,0,0.0,0.0
U05049,0,0.0,0.0,0,0.0,0.0
U05051,0,0.0,0.0,0,1.0,0.0
U05053,0,0.0,0.0,0,0.0,0.0
U05055,0,0.0,0.0,0,0.0,0.0
U05057,0,0.0,0.0,0,0.0,0.0
U05059,0,0.0,0.0,0,0.0,0.0
U05061,0,0.0,0.0,11,0.0,0.0
U05063,0,0.0,0.0,0,0.0,0.0
U05065,0,0.0,0.0,0,0.0,0.0
U05067,0,0.0,0.0,0,0.0,0.0
U05069,9,0.0,0.0,0,1.0,0.0
U05071,0,0.0,0.0,0,0.0,0.0
U05073,7,0.0,0.0,0,0.0,0.0
U05075,0,0.0,0.0,0,0.0,0.0
U05077,0,0.0,0.0,0,0.0,0.0
U05079,0,0.0,0.0,0,0.0,0.0
U05081,0,0.0,0.0,0,0.0,0.0
U05083,0,0.0,0.0,0,0.0,0.0
U05085,0,0.0,0.0,0,1.0,0.0
U05087,0,0.0,0.0,0,0.0,0.0
U05089,0,0.0,0.0,0,0.0,0.0
