uid,U01OLD,U04OLD,U05OLD,U06OLD,U08OLD,U09OLD,U10OLD,U11OLD,U12OLD,U13OLD,U16OLD,U17OLD,U18OLD,U19OLD,U20OLD,U21OLD,U22OLD,U23OLD,U24OLD,U25OLD,U26OLD,U27OLD,U28OLD,U29OLD,U30OLD,U31OLD,U32OLD,U33OLD,U34OLD,U35OLD,U36OLD,U37OLD,U38OLD,U39OLD,U40OLD,U41OLD,U42OLD,U44OLD,U45OLD,U46OLD,U47OLD,U48OLD,U49OLD,U50OLD,U51OLD,U53OLD,U54OLD,U55OLD,U56OLD
U01,387578.0,1.0,77.0,8.0,0.0,0.0,0.0,1.0,23569.0,33615.0,0.0,58.0,43.0,0.0,1.0,151.0,1831.0,0.0,4.0,1.0,8.0,1.0,17002.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,109.0,0.0,44.0,5.0,0.0,5.0,0.0,163.0,0.0,10103.0,76.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0
U04,10.0,67801.0,15.0,14743.0,297.0,3.0,1.0,1.0,28.0,10.0,30.0,50.0,12.0,11.0,36.0,3.0,23.0,0.0,5.0,6.0,21.0,21.0,6.0,32.0,10.0,16.0,14902.0,0.0,11.0,2403.0,16.0,5.0,2.0,18.0,65.0,53.0,12.0,1.0,4.0,3.0,16.0,538.0,518.0,0.0,2.0,62.0,0.0,15.0,13.0
U05,46.0,0.0,223533.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,52.0,3.0,2.0,323.0,27.0,4093.0,0.0,0.0,0.0,0.0,0.0,4651.0,9081.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8789.0,0.0,0.0,0.0,0.0,0.0,11441.0,7512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U06,1048.0,26285.0,1378.0,2267290.0,8272.0,236.0,69.0,59.0,1908.0,1327.0,3153.0,4190.0,1484.0,1525.0,2479.0,803.0,1839.0,64.0,520.0,433.0,1955.0,2526.0,940.0,2915.0,1287.0,1583.0,52486.0,73.0,696.0,4259.0,1564.0,920.0,447.0,1946.0,3482.0,10881.0,1281.0,67.0,514.0,648.0,1437.0,19211.0,6882.0,29.0,653.0,9859.0,205.0,1775.0,868.0
U08,19.0,2382.0,289.0,1627.0,651636.0,10.0,3.0,4.0,48.0,24.0,905.0,399.0,56.0,1103.0,7991.0,12.0,65.0,0.0,20.0,18.0,83.0,827.0,12.0,1429.0,572.0,7737.0,647.0,0.0,31.0,11719.0,56.0,14.0,267.0,61.0,3852.0,47.0,39.0,2.0,7.0,2310.0,58.0,6161.0,9202.0,0.0,7.0,97.0,0.0,184.0,7513.0
U09,17.0,15.0,3.0,87.0,11.0,244735.0,96.0,46.0,106.0,58.0,0.0,149.0,79.0,7.0,6.0,31.0,11.0,118.0,486.0,26685.0,255.0,22.0,2.0,24.0,0.0,5.0,5.0,370.0,5174.0,3.0,106588.0,226.0,0.0,373.0,6.0,3.0,1631.0,16224.0,62.0,0.0,44.0,63.0,5.0,118.0,344.0,12.0,53.0,47.0,0.0
U10,1.0,1.0,0.0,6.0,0.0,39.0,7530.0,90.0,7.0,4.0,0.0,11.0,3.0,0.0,0.0,1.0,0.0,2.0,18218.0,34.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,16498.0,0.0,362.0,11.0,0.0,23.0,0.0,0.0,20277.0,7.0,4.0,0.0,3.0,4.0,0.0,0.0,229.0,1.0,4.0,1.0,0.0
U11,3.0,3.0,1.0,16.0,0.0,41.0,350.0,nan,20.0,11.0,0.0,23.0,8.0,1.0,1.0,6.0,2.0,2.0,29567.0,39.0,34.0,2.0,0.0,5.0,0.0,1.0,1.0,4.0,629.0,0.0,395.0,108.0,0.0,89.0,2.0,0.0,1915.0,7.0,15.0,0.0,10.0,10.0,1.0,1.0,36256.0,1.0,158.0,4.0,0.0
U12,22326.0,70.0,287.0,391.0,51.0,92.0,85.0,101.0,1150612.0,30507.0,3.0,401.0,409.0,20.0,25.0,788.0,2700.0,9.0,764.0,126.0,250.0,40.0,3020.0,242.0,1.0,13.0,20.0,15.0,490.0,14.0,681.0,4921.0,1.0,987.0,60.0,15.0,893.0,20.0,6939.0,3.0,1987.0,1321.0,20.0,2.0,1644.0,38.0,295.0,66.0,0.0
U13,30737.0,30.0,252.0,204.0,24.0,34.0,23.0,34.0,10947.0,1456913.0,2.0,647.0,833.0,18.0,22.0,2276.0,431.0,4.0,265.0,56.0,284.0,25.0,1079.0,345.0,0.0,9.0,10.0,8.0,152.0,4.0,250.0,8936.0,0.0,1313.0,27.0,9.0,438.0,7.0,35974.0,0.0,23178.0,254.0,12.0,0.0,1074.0,22.0,388.0,70.0,0.0
