uid,usModel,usData,mexicoModel,mexicoData,canadaModel,canadaData
U01001,11876,11921,1,0,0,0
U01003,16904,16977,5,4,1,0
U01005,1637,1651,0,0,0,0
U01007,4653,4676,0,0,0,0
U01009,13234,13289,1,0,0,0
U01011,1137,1145,0,0,0,0
U01013,2153,2165,0,0,0,0
U01015,7257,7320,1,0,1,0
U01017,6163,6195,0,0,0,0
U01019,5349,5369,0,0,0,0
U01021,8991,9028,0,0,0,0
U01023,1899,1910,0,0,0,0
U01025,2478,2494,0,0,0,0
U01027,1980,1987,0,0,0,0
U01029,3632,3644,0,0,0,0
U01031,6611,6640,0,0,0,0
U01033,7830,7880,1,0,0,0
U01035,2226,2239,0,0,0,0
U01037,3551,3562,0,0,0,0
U01039,2634,2657,0,0,0,0
U01041,2762,2777,0,0,0,0
U01043,9797,9859,1,0,0,0
U01045,7492,7533,1,0,0,0
U01047,2050,2071,0,0,0,0
U01049,7141,7183,1,0,0,0
U01051,18610,18685,2,0,1,0
U01053,3112,3137,0,0,0,0
U01055,10372,10447,1,0,1,0
U01057,2925,2944,0,0,0,0
U01059,4459,4484,0,0,0,0
U01061,5214,5222,0,10,0,0
U01063,1576,1584,0,0,0,0
U01065,2949,2968,0,0,0,0
U01067,3535,3551,0,0,0,0
U01069,4836,4865,1,10,0,0
U01071,7707,7740,0,8,0,4
U01073,26542,26735,22,0,10,0
U01075,2296,2311,0,0,0,0
U01077,11248,11325,1,0,1,0
U01079,9007,9044,0,0,0,0
U01081,16465,16561,2,0,1,0
U01083,13409,13473,1,0,1,0
U01085,3029,3040,0,0,0,0
U01087,3759,3779,0,0,0,0
U01089,7635,7719,3,6,1,11
U01091,2284,2300,0,0,0,0
U01093,3759,3779,0,0,0,0
U01095,9340,9406,1,0,0,0
U01097,12955,13053,12,15,2,0
U01099,1382,1393,0,0,0,0
U01101,6371,6455,2,0,1,0
U01103,13667,13755,2,0,1,0
U01105,1674,1685,0,0,0,0
U01107,3512,3532,0,0,0,0
U01109,2516,2529,0,0,0,0
U01111,3723,3740,0,0,0,0
U01113,12750,12791,1,0,0,0
U01115,17040,17119,1,0,1,0
U01117,41036,41167,8,0,3,8
U01119,1421,1430,0,0,0,0
U01121,10817,10880,1,0,1,0
U01123,4851,4884,0,0,0,0
U01125,7866,7928,2,12,1,0
U01127,10069,10126,1,0,0,0
U01129,3217,3234,0,0,0,0
U01131,1233,1241,0,0,0,0
U01133,2966,2988,0,0,0,0
U02013,5,5,0,0,0,0
U02016,243,246,0,0,2,0
U02020,2466,4029,2,0,1552,23
U02050,74,77,0,0,2,0
U02060,8,8,0,0,0,0
U02068,109,109,0,0,0,0
U02070,42,42,0,0,0,0
U02090,726,842,0,0,109,0
U02100,55,57,0,0,2,0
U02110,117,218,0,0,99,0
U02122,1330,1439,0,0,103,0
U02130,78,216,0,0,137,0
U02150,104,107,0,0,2,0
U02164,17,18,0,0,0,0
U02170,7897,8678,1,0,764,7
U02180,43,45,0,0,1,0
U02185,30,30,0,0,0,0
U02188,13,13,0,0,0,0
U02201,85,103,0,0,22,4
U02220,96,109,0,0,11,0
U02232,139,147,0,0,7,0
U02240,132,134,0,0,2,0
U02261,147,149,0,2,2,0
U02270,39,41,0,0,0,0
U02280,70,78,0,0,7,0
U02282,24,24,0,0,0,0
U02290,158,161,0,0,2,0
U04001,3469,3469,10,0,0,19
U04003,1086,2812,1896,182,0,0
U04005,4318,4344,9,0,0,0
U04007,2174,2186,8,0,0,0
U04009,2263,2301,34,0,0,0
U04011,209,212,1,0,0,0
U04012,889,892,1,0,0,0
U04013,18970,23759,4793,154,37,94
U04015,14873,14931,45,19,2,0
U04017,2844,2866,8,0,0,0
U04019,7782,9444,1904,246,3,52
U04021,23585,24012,388,7,2,0
U04023,222,1333,1505,396,0,0
U04025,7871,7934,37,0,1,0
U04027,691,2161,1591,131,0,0
U05001,710,719,0,0,0,0
U05003,1199,1209,0,0,0,0
U05005,1540,1559,0,0,0,0
U05007,12368,12442,3,10,1,0
U05009,1790,1802,0,0,0,0
U05011,1220,1227,0,0,0,0
U05013,1197,1203,0,0,0,0
U05015,1404,1421,0,0,0,0
U05017,1148,1161,0,0,0,0
U05019,1777,1792,0,0,0,0
U05021,2190,2202,0,0,0,0
U05023,3056,3076,0,0,0,0
U05025,2510,2525,0,0,0,0
U05027,1564,1583,0,0,0,0
U05029,3424,3449,0,0,0,0
U05031,4474,4515,0,0,0,6
U05033,12152,12195,1,8,0,0
U05035,8135,8182,1,0,0,0
U05037,2527,2549,0,0,0,0
U05039,1330,1340,0,0,0,0
U05041,1040,1045,0,0,0,0
U05043,1916,1935,0,0,0,0
U05045,13674,13749,2,0,1,0
U05047,3384,3399,0,0,0,0
U05049,2227,2242,0,0,0,0
U05051,4108,4140,1,0,0,0
U05053,4372,4395,0,0,0,0
U05055,3050,3081,0,0,0,0
U05057,2692,2712,0,0,0,0
U05059,6342,6372,0,0,0,0
U05061,845,843,0,11,0,0
U05063,1714,1732,0,0,0,0
U05065,1702,1712,0,0,0,0
U05067,1638,1650,0,0,0,0
U05069,4976,5025,1,0,0,9
U05071,1955,1972,0,0,0,0
U05073,1331,1333,0,0,0,7
U05075,2491,2504,0,0,0,0
U05077,1179,1190,0,0,0,0
U05079,2084,2097,0,0,0,0
U05081,2221,2233,0,0,0,0
U05083,2985,2998,0,0,0,0
U05085,15378,15442,1,0,0,0
U05087,2962,2976,0,0,0,0
U05089,2327,2342,0,0,0,0
U05091,9135,9166,1,0,0,0
U05093,1788,1816,0,0,0,0
U05095,1215,1223,0,0,0,0
U05097,1560,1568,0,0,0,0
U05099,1964,1974,0,0,0,0
U05101,1939,1946,0,0,0,0
U05103,3079,3104,0,0,0,0
U05105,3077,3098,0,0,0,0
U05107,1642,1656,0,0,0,0
U05109,2040,2052,0,0,0,0
U05111,4281,4314,0,0,0,0
U05113,813,817,0,6,0,0
U05115,3961,3992,0,0,0,2
U05117,1904,1913,0,0,0,0
U05119,9514,9615,6,0,2,0
U05121,1932,1942,0,0,0,0
U05123,2533,2559,0,0,0,0
U05125,24712,24788,4,0,1,0
U05127,1274,1282,0,0,0,0
U05129,1029,1034,0,0,0,0
U05131,6288,6347,2,0,0,0
U05133,1726,1739,0,0,0,0
U05135,2175,2189,0,0,0,0
U05137,1052,1058,0,0,0,0
U05139,1121,1139,0,0,0,0
U05141,2145,2158,0,0,0,0
U05143,10161,10231,3,0,1,0
U05145,7088,7136,1,0,0,0
U05147,876,880,0,0,0,0
U05149,3320,3345,0,0,0,0
U06001,221253,224279,2081,19,660,8
U06003,217,218,0,0,0,0
U06005,3527,3535,1,0,0,0
U06007,7456,7487,8,6,4,0
U06009,6527,6532,2,0,1,0
U06011,1384,1386,0,0,0,0
U06013,185113,186828,1112,35,368,24
U06015,513,521,0,0,0,0
U06017,32280,32368,29,0,11,0
U06019,21409,21625,121,31,29,6
U06021,3000,3006,0,0,0,0
U06023,1053,1062,1,0,0,0
U06025,374,2564,2638,459,0,0
U06027,569,570,0,0,0,0
U06029,14445,14622,86,0,13,0
U06031,8522,8549,8,0,2,0
U06033,4292,4293,1,11,1,0
U06035,1003,1012,0,0,0,0
U06037,242942,277376,32332,722,3227,404
U06039,12718,12749,10,6,3,0
U06041,47655,47829,73,9,26,0
U06043,1824,1828,0,0,0,0
U06045,2201,2213,1,0,0,0
U06047,18251,18318,26,0,7,0
U06049,558,563,0,0,0,0
U06051,1065,1068,0,0,0,0
U06053,17851,17960,52,0,13,16
U06055,12969,13007,9,0,4,0
U06057,11152,11175,5,6,2,0
U06059,211764,221968,9594,202,668,94
U06061,46645,46807,64,0,25,15
U06063,1092,1098,0,0,0,0
U06065,161824,173015,10789,57,217,50
U06067,81662,82717,601,26,215,5
U06069,11180,11194,4,0,1,0
U06071,197250,201812,4029,118,376,0
U06073,25689,39417,15987,2532,93,55
U06075,95070,95882,472,12,158,29
U06077,49740,50091,177,8,58,17
U06079,10966,11024,22,0,4,0
U06081,146455,147568,684,42,212,18
U06083,10394,10467,41,0,6,13
U06085,98343,100052,1124,19,334,18
U06087,32804,32934,57,0,16,0
U06089,4760,4776,4,6,2,3
U06091,590,591,0,0,0,0
U06093,1033,1037,0,0,0,2
