source+dest,flux
0100101001,7871
0100101007,7
0100101013,37
0100101015,5
0100101021,350
0100101031,8
0100101037,12
0100101047,585
0100101051,741
0100101053,5
0100101059,7
0100101065,2
0100101073,142
0100101081,57
0100101085,213
0100101087,15
0100101089,5
0100101097,23
0100101101,9307
0100101109,14
0100101115,9
0100101117,89
0100101121,9
0100101123,37
0100101125,27
0100101131,6
0100105093,7
0100106037,9
0100110001,6
0100112091,7
0100112103,5
0100112109,2
0100113067,8
0100113095,7
0100113175,21
0100118181,9
0100122005,18
0100125017,5
0100126115,13
0100128081,3
0100128087,6
0100129215,7
0100137067,4
0100137107,7
0100137119,5
0100144007,9
0100147037,23
0100148355,7
0100148439,6
0100148485,10
0100151041,5
0100301003,45208
0100301009,14
0100301013,9
0100301023,17
0100301025,16
0100301031,0
0100301039,17
0100301045,10
0100301047,11
0100301053,527
0100301055,10
0100301069,11
0100301071,4
0100301073,40
0100301081,12
0100301083,9
0100301097,12615
0100301099,70
0100301101,50
0100301107,13
0100301109,8
0100301117,12
0100301123,17
0100301125,63
0100301129,118
0100304013,7
0100305007,11
0100305051,11
0100305119,14
0100306073,8
0100312005,25
0100312009,2
0100312011,7
0100312031,32
0100312033,1695
0100312045,29
0100312057,5
0100312073,21
0100312086,7
0100312089,6
0100312091,41
0100312095,7
0100312113,69
0100312115,10
0100312123,2
0100312131,5
0100313013,21
0100313021,23
0100313039,6
0100313067,6
0100313089,32
0100313129,19
0100313139,8
0100317031,13
0100318097,8
0100318165,12
0100319105,6
0100319153,21
0100321093,19
0100321163,9
0100322023,37
0100322033,47
0100322045,15
0100322051,53
0100322055,13
0100322057,5
0100322071,13
0100322075,37
0100322095,9
0100322101,26
0100322103,25
0100325017,6
0100326125,13
0100326161,6
0100327035,7
0100328035,16
0100328039,27
0100328045,6
0100328047,115
0100328049,12
0100328059,254
0100328073,33
0100328089,19
0100328129,8
0100328149,7
0100329510,13
0100334015,9
0100334027,8
0100335009,18
0100336047,6
0100337035,8
0100337067,8
0100337099,5
0100339153,7
0100340131,6
0100340137,10
0100342003,3
0100342101,7
0100345013,5
0100345019,18
0100347037,30
0100347107,5
0100347157,12
0100347165,1
0100348113,13
0100348167,3
0100348201,30
0100348209,3
0100348245,20
0100348439,9
0100353033,11
0100354081,10
0100501005,8370
0100501011,72
0100501021,7
0100501025,5
0100501031,68
0100501045,320
0100501051,5
0100501055,8
0100501061,2
0100501067,169
0100501069,113
0100501073,6
0100501081,24
0100501097,17
0100501101,42
0100501103,4
0100501109,96
0100501113,335
0100512005,4
0100512073,17
0100513053,4
0100513061,15
0100513063,4
0100513121,2
0100513127,6
0100513135,9
0100513145,6
0100513199,5
0100513215,74
0100513239,105
0100513243,14
0100513259,23
0100513275,14
0100513285,2
0100520113,6
0100521067,5
0100529095,2
0100531153,11
0100547093,7
0100547125,13
0100548201,6
0100548339,2
0100548361,2
0100701007,3199
0100701009,13
0100701011,9
0100701021,183
0100701023,3
0100701047,60
0100701051,3
0100701065,27
0100701073,1849
0100701085,3
0100701089,4
0100701091,2
