uid,usFluxModel,usFluxData,mexicoFluxModel,mexicoFluxData
06095,2371,8581,118,0
48451,2122,1904,22,3
35025,1131,1028,14,33
06059,5618,1286,9380,202
06029,396,966,50,0
48339,16629,4199,205,27
06067,5602,2872,481,26
06053,2293,1466,24,0
48027,2241,4196,24,3
04019,2339,5633,1856,246
04013,6040,12998,4630,154
35001,11252,14871,1251,65
06037,23523,3937,31482,722
06025,2,898,2632,459
12086,9379,3983,924,139
06087,145,749,26,0
06071,3001,1888,3813,118
06081,1739,385,552,42
35029,660,580,61,20
48201,53172,36449,5578,134
35035,77,1610,131,9
06019,6448,10909,72,31
04025,92,3824,26,0
04015,184,1168,32,19
06041,786,554,39,9
04021,438,1181,354,7
35013,390,1066,11031,86
06097,10794,4124,62,15
48135,6688,6594,186,0
06099,315,1078,58,0
06001,5579,895,1888,19
04009,2138,2050,32,0
06013,3840,1646,943,35
06077,524,937,113,8
06083,10,189,21,0
06113,13598,570,7,25
48251,670,2679,22,0
48491,42878,3137,284,33
35061,854,937,131,12
48329,6092,6086,129,0
35017,502,460,30,6
35031,2619,2293,20,3
06075,1562,560,355,12
04003,743,642,1887,182
32003,781,2687,86,19
04027,419,1112,1588,131
12087,1,35,0,33
06065,16724,1586,10557,57
06085,2997,1537,961,19
22051,32266,7801,85,5
06111,387,368,586,29
35015,845,773,22,13
06073,1055,2607,15718,2532
48141,1731,6047,8896,3297
