uid,region1Model,region1Data,region2Model,region2Data
02013,0,0,0,0
02016,0,9,0,0
02050,0,0,0,0
02060,0,0,0,0
02070,0,0,0,0
02122,0,17,0,0
02130,0,0,0,0
02150,0,7,0,0
02164,0,0,0,0
02201,0,0,0,0
02220,0,0,0,0
02280,0,0,0,0
05013,0,5,0,0
05019,0,0,0,0
05027,0,2,0,0
05057,0,12,0,0
05061,0,0,0,11
05073,0,3,0,0
05081,0,0,0,0
05091,0,33,0,0
05097,0,0,0,0
05099,0,3,0,0
05103,0,18,0,0
05109,0,2,0,0
05113,0,7,0,6
05127,0,10,0,0
05133,0,7,0,0
05139,0,8,0,0
08001,17,204,148,11
08005,43,427,272,8
08013,0,405,36,15
08017,0,0,0,0
08031,32,424,263,46
08039,0,5,0,0
08047,0,0,0,0
08049,0,11,0,0
08057,0,0,0,0
08059,50,407,446,12
08061,0,0,0,0
08063,0,1,0,0
08069,0,164,13,22
08073,0,0,0,0
08075,0,21,0,0
08087,0,37,0,0
08095,0,0,0,0
08107,0,8,0,0
08115,0,0,0,0
08121,0,0,0,0
08123,0,33,11,0
08125,0,0,0,0
16003,0,3,0,0
16005,0,17,0,0
16007,0,0,0,0
16009,0,0,0,0
16011,0,14,0,0
16013,0,33,0,0
16015,0,8,0,0
16017,0,26,0,0
16019,0,13,0,0
16021,0,5,0,0
16023,0,0,0,0
16025,0,0,0,0
16029,0,2,0,0
16033,0,0,0,0
16035,0,3,0,0
16037,0,2,0,0
16039,0,17,0,0
16043,0,0,0,0
16045,0,0,0,0
16049,0,0,0,0
16051,0,5,0,0
16055,0,65,0,0
16057,0,0,0,0
16059,0,2,0,0
16061,0,0,0,0
16063,0,0,0,0
16065,0,0,0,0
16067,0,0,0,0
16069,0,15,0,0
16075,0,21,0,0
16077,0,0,0,0
16079,0,0,0,0
16081,0,0,0,0
16085,0,10,0,0
16087,0,0,0,0
20007,0,0,0,0
20009,0,1,0,0
20023,0,6,0,0
20025,0,6,0,0
20033,0,0,0,0
20039,0,0,0,0
20047,0,0,0,0
20051,0,4,0,0
20055,0,0,0,4
20057,0,0,0,11
20063,0,0,0,0
20065,0,3,0,0
20067,0,0,0,0
20069,0,3,0,0
20071,0,0,0,0
20075,0,6,0,0
20077,0,0,0,0
20081,0,0,0,0
20083,0,0,0,0
20093,0,0,0,0
20095,0,0,0,0
20097,0,0,0,0
20101,0,0,0,0
20109,0,5,0,0
20119,0,0,0,0
20135,0,0,0,0
20145,0,0,0,0
20151,0,0,0,0
20153,0,12,0,0
20155,0,0,0,0
20165,0,0,0,0
20171,0,0,0,0
20179,0,0,0,0
20181,0,0,0,0
20185,0,0,0,0
20191,0,6,0,0
20193,0,0,0,0
20195,0,0,0,0
20199,0,0,0,0
20203,0,0,0,2
22013,0,3,0,0
22015,0,48,0,0
22021,0,16,0,0
22025,0,15,0,0
22027,0,0,0,0
22029,0,16,0,0
22037,0,7,0,0
22041,0,15,0,0
22049,0,0,0,0
22059,0,6,0,7
22061,0,12,0,0
22063,0,80,0,0
22065,0,0,0,0
22067,0,28,0,8
22071,29,291,27,0
