uid,percentPoverty,medianIncome
01001,10.5,42463
01003,9.7,41283
01005,22.2,26612
01007,17.8,31776
01009,12.0,36863
01011,28.6,21400
01013,20.7,25763
01015,15.1,32604
01017,15.4,30505
01019,15.6,31436
01021,15.3,33650
01023,18.8,26388
01025,19.1,28734
01027,14.3,28940
01029,14.4,31551
01031,14.4,34561
01033,13.1,33227
01035,22.8,23683
01037,14.5,29926
01039,17.6,27531
01041,19.1,27345
01043,12.8,33441
01045,15.3,32824
01047,24.4,24944
01049,14.8,31087
01051,12.1,41233
01053,18.6,28942
01055,15.5,31490
01057,15.5,30362
01059,16.9,28341
01061,18.4,27382
01063,26.8,21163
01065,21.7,26400
01067,16.3,31049
01069,15.0,35287
01071,13.3,33289
01073,12.8,37094
01075,16.1,29396
01077,12.7,34032
01079,14.0,33794
01081,14.2,32678
01083,12.2,38984
01085,24.3,24089
01087,27.6,22274
01089,10.1,45736
01091,20.5,28060
01093,16.9,28247
01095,14.3,32470
01097,17.1,34685
01099,18.8,29802
01101,16.0,36918
01103,11.1,39515
01105,31.0,20969
01107,20.1,27065
01109,21.8,26317
01111,16.7,29048
01113,17.1,28641
01115,12.8,37513
01117,6.4,59451
01119,28.6,20582
01121,16.9,31457
01123,15.7,30941
01125,15.1,34294
01127,14.9,30313
01129,17.0,31797
01131,30.6,18813
01133,17.6,28366
02013,12.6,42703
02016,6.1,56365
02020,6.7,56690
02050,22.2,33353
02060,5.9,53828
02068,4.8,53087
02070,17.9,41007
02090,7.0,50354
02100,10.2,41018
02110,5.8,59650
02122,8.9,47255
02130,7.2,50278
02150,7.2,50879
02164,17.3,35025
02170,8.8,49562
02180,17.3,38310
02185,7.8,58694
02188,15.5,42821
02201,14.5,38336
02220,6.8,50624
02232,7.8,40209
02240,17.3,38244
02261,7.8,49124
02270,28.8,27567
02280,8.3,46203
02282,8.5,43150
02290,18.1,28867
04001,30.8,24244
04003,16.7,32903
04005,15.6,38249
04007,17.8,31295
04009,21.3,29860
04011,9.7,41181
04012,20.7,25986
04013,10.2,47024
04015,15.4,31515
04017,24.3,28868
04019,13.0,37461
04021,15.8,35134
04023,21.7,31123
04025,12.0,34241
04027,21.4,31297
05001,16.2,31544
05003,16.5,32937
05005,12.7,30215
05007,9.3,41729
05009,14.8,31247
05011,20.6,25755
05013,14.5,29539
05015,15.4,28571
05017,27.8,22590
05019,16.6,29388
05021,16.0,26822
05023,14.2,31930
05025,14.1,33790
05027,18.7,29039
05029,15.7,31857
05031,14.0,34523
05033,13.8,34181
05035,21.1,30179
05037,18.2,29655
05039,19.4,27176
05041,22.1,25464
05043,17.3,29483
05045,10.7,39355
05047,15.6,31050
05049,19.6,26153
05051,14.7,32292
05053,10.1,38555
05055,13.4,31818
05057,18.7,28583
05059,13.9,32069
05061,15.5,29424
05063,14.2,32860
05065,18.3,26219
05067,20.3,26168
05069,18.9,31358
05071,16.4,28734
05073,22.4,25404
05075,18.0,28053
05077,30.0,21654
05079,24.1,29129
05081,15.9,30243
05083,15.7,29078
05085,10.3,40728
05087,16.7,29116
05089,17.2,27222
05091,18.0,31402
05093,20.0,28370
05095,24.4,23713
05097,17.2,28448
05099,18.5,27880
05101,21.4,25526
05103,18.0,29344
05105,14.2,31585
05107,28.3,22769
05109,16.0,28609
05111,19.1,27541
05113,18.4,26308
05115,14.8,33481
05117,15.2,30590
05119,12.4,38328
05121,17.1,28314
05123,25.7,26282
05125,8.4,43528
05127,19.4,27204
05129,23.7,22166
05131,13.4,35003
05133,17.5,30074
05135,19.9,25155
05137,18.9,23708
05139,16.1,31442
05141,17.5,27102
05143,12.7,35612
05145,14.9,32865
05147,23.3,23251
05149,15.5,29079
06001,8.8,55551
06003,17.7,39640
06005,9.9,42701
06007,17.2,31963
06009,10.8,41460
06011,15.1,35623
06013,6.7,64040
06015,21.8,30166
06017,7.3,52155
06019,20.6,34930
06021,17.8,32321
06023,15.9,32098
06025,24.7,31651
06027,11.9,36377
06029,18.6,36446
06031,20.5,34724
06033,15.8,29935
06035,17.5,37358
06037,15.9,42045
06039,20.9,35248
06041,5.9,72301
06043,13.0,35151
06045,14.7,36240
06047,20.3,34474
06049,19.7,28859
06051,9.0,44382
06053,12.9,47073
06055,7.1,52262
06057,8.0,46777
06059,9.3,55654
06061,5.6,59153
06063,11.1,38225
06065,12.5,43558
06067,12.9,44796
06069,8.9,56191
06071,15.0,40950
06073,10.9,48363
06075,9.2,55761
06077,15.1,40633
06079,10.7,42498
06081,5.1,70492
06083,12.4,46908
06085,6.7,74705
06087,10.6,53787
06089,14.7,34991
06091,10.6,37770
06093,16.7,30589
06095,8.4,53954
06097,7.1,53193
06099,14.6,40054
06101,14.1,38698
06103,17.2,31575
06105,16.8,28752
06107,23.2,32253
06109,12.7,38770
06111,8.9,57164
06113,12.0,42670
06115,19.3,30954
08001,8.9,48307
08003,20.3,30538
08005,5.8,55359
08007,13.2,38241
08009,17.5,29274
08011,23.1,28252
08013,7.8,58601
08015,11.5,35706
08017,12.6,37620
08019,6.0,54838
08021,23.9,25296
08023,28.5,21135
08025,34.1,26953
08027,13.6,36205
08029,14.2,33356
08031,13.1,41657
08033,15.2,32126
08035,1.7,91210
08037,6.0,61760
08039,5.1,66082
08041,8.7,48991
08043,15.2,34504
08045,7.8,48713
08047,5.5,53910
08049,7.3,47958
08051,11.4,37898
08053,10.6,37815
08055,21.9,26176
08057,14.5,33178
08059,5.1,60357
08061,12.8,32811
08063,13.2,35066
08065,11.0,38487
08067,10.7,41490
08069,7.5,49758
08071,18.4,28730
08073,15.3,33205
08075,12.8,34724
08077,11.0,37138
08079,12.4,36124
08081,9.9,43186
08083,16.2,33305
08085,12.6,36303
08087,12.9,35648
08089,19.1,29939
08091,8.0,43707
08093,6.2,54396
08095,11.6,34253
08097,4.4,62190
08099,18.5,30905
08101,14.6,33673
08103,10.1,40409
08105,18.5,32646
08107,6.2,53966
08109,21.7,24912
08111,17.6,30564
08113,8.3,49270
08115,12.9,29763
08117,6.1,57200
08119,6.2,52304
08121,11.9,33193
08123,10.0,42555
08125,13.2,34613
09001,6.2,63762
09003,8.4,49461
09005,4.8,56215
09007,4.7,60706
09009,8.8,49428
09011,6.4,49365
09013,4.6,60190
09015,8.2,45270
10001,10.8,41057
10003,7.4,55205
10005,10.9,38934
11001,16.3,40606
12001,14.7,32724
12003,13.6,39070
12005,12.7,35547
12007,16.5,32889
12009,9.2,40673
12011,9.8,42690
12013,21.1,27027
12015,9.0,36087
12017,12.3,31358
12019,6.9,48988
12021,8.9,47792
12023,16.2,31293
12027,19.4,29950
12029,21.2,26372
12031,10.5,41326
12033,14.8,34355
12035,8.8,40435
12037,16.3,27746
12039,18.7,30650
12041,16.4,30708
12043,15.5,30379
12045,18.6,30014
12047,24.2,26032
12049,22.2,29693
12051,19.5,33012
