uid,name
U01,Alabama
U02,Alaska
U04,Arizona
U05,Arkansas
U06,California
U08,Colorado
U09,Connecticut
U10,Delaware
U11,District of Columbia
U12,Florida
U13,Georgia
U16,Idaho
U17,Illinois
U18,Indiana
U19,Iowa
U20,Kansas
U21,Kentucky
U22,Louisiana
U23,Maine
U24,Maryland
U25,Massachusetts
U26,Michigan
U27,Minnesota
U28,Mississippi
U29,Missouri
U30,Montana
U31,Nebraska
U32,Nevada
U33,New Hampshire
U34,New Jersey
U35,New Mexico
U36,New York
U37,North Carolina
U38,North Dakota
U39,Ohio
U40,Oklahoma
U41,Oregon
U42,Pennsylvania
U44,Rhode Island
U45,South Carolina
U46,South Dakota
U47,Tennessee
U48,Texas
U49,Utah
U50,Vermont
U51,Virginia
U53,Washington
U54,West Virginia
U55,Wisconsin
U56,Wyoming
