uid,region,name,population,latitude,longitude,commuters
C1001,Newfoundland and Labrador,Division No. 1,242875,46.921452,-53.5646762,34731
C1002,Newfoundland and Labrador,Division No. 2,24371,47.361667,-54.893056,3485
C1003,Newfoundland and Labrador,Division No. 3,19370,47.8973529,-57.0040199,2770
C1004,Newfoundland and Labrador,Division No. 4,22162,48.55,-58.574167,3169
C1005,Newfoundland and Labrador,Division No. 5,40466,49.0943731,-57.2808406,5787
C1006,Newfoundland and Labrador,Division No. 6,36208,48.8049499,-56.3866692,5178
C1007,Newfoundland and Labrador,Division No. 7,37335,48.9666662,-53.1726951,5339
C1008,Newfoundland and Labrador,Division No. 8,42188,48.42,-53.88,6033
C1009,Newfoundland and Labrador,Division No. 9,20091,51.2487291,-55.358857,2873
C1010,Newfoundland and Labrador,Division No. 10,27864,47.55,-52.7,3985
C1101,Prince Edward Island,Kings County,19180,46.25,-62.5,2743
C1102,Prince Edward Island,Queens County,71619,46.3649938,-63.1656341,10242
C1103,Prince Edward Island,Prince County,44495,46.8014526,-63.9233633,6363
C1201,Nova Scotia,Shelburne County,16231,43.8202278,-65.3644679,2321
C1202,Nova Scotia,Yarmouth County,26843,43.9,-65.8,3839
C1203,Nova Scotia,Digby County,19548,44.3,-65.8,2795
C1204,Nova Scotia,Queens County,11723,44.1631163,-64.9563453,1676
C1205,Nova Scotia,Annapolis County,21773,44.8528802,-65.2648927,3114
C1206,Nova Scotia,Lunenburg County,47591,44.5441625,-64.4797871,6806
C1207,Nova Scotia,Kings County,58866,45,-64.6,8418
C1208,Nova Scotia,Hants County,40513,45.1,-63.9,5793
C1209,Nova Scotia,Halifax County,359183,44.8544,-63.1992,51363
C1210,Nova Scotia,Colchester County,49307,45.4254775,-63.3275062,7051
C1211,Nova Scotia,Cumberland County,32605,45.7,-64.1,4663
C1212,Nova Scotia,Pictou County,46965,45.5776091,-62.6510942,6716
C1213,Nova Scotia,Guysborough County,9827,45.2873196,-61.8262436,1405
C1214,Nova Scotia,Antigonish County,19578,45.542031,-61.8948487,2800
C1215,Nova Scotia,Inverness County,19937,46.2761718,-61.0541688,2851
C1216,Nova Scotia,Richmond County,10225,45.6935815,-60.6488211,1462
C1217,Nova Scotia,Cape Breton County,109330,46.15,-60.1667,15634
C1218,Nova Scotia,Victoria County,7962,46.6311899,-60.4208561,1139
C1301,New Brunswick,Saint John County,76407,45.2796,-66.0628,10926
C1302,New Brunswick,Charlotte County,27366,44.9268,-66.9771,3913
C1303,New Brunswick,Sunbury County,25776,45.9749516,-66.3543893,3686
C1304,New Brunswick,Queens County,11862,45.8333,-66,1696
C1305,New Brunswick,Kings County,64208,45.6604,-65.7898,9182
C1306,New Brunswick,Albert County,26749,45.7781844,-64.7774199,3825
C1307,New Brunswick,Westmorland County,124688,45.9599,-64.5155,17830
C1308,New Brunswick,Kent County,31383,46.4651616,-65.2841777,4488
C1309,New Brunswick,Northumberland County,50817,46.9296444,-65.8859261,7267
C1310,New Brunswick,York County,87212,46.1999035,-67.0250252,12471
C1311,New Brunswick,Carleton County,27184,46.3779509,-67.4899891,3887
C1312,New Brunswick,Victoria County,21172,46.9284511,-67.4027954,3028
C1313,New Brunswick,Madawaska County,35611,47.4214,-68.3606,5092
C1314,New Brunswick,Restigouche County,36134,47.7680127,-66.6892807,5167
C1315,New Brunswick,Gloucester County,82929,47.9290075,-64.4316771,11859
C2401,Quebec,Les Iles-de-la-Madeleine,12824,47.3828692,-61.8656032,1834
C2402,Quebec,Le Rocher-Perce,19298,48.4806516,-63.8940966,2760
C2403,Quebec,La Cote-de-Gaspe,18545,48.9741791,-64.5193317,2652
C2404,Quebec,La Haute-Gaspesie,12722,49.216667,-66.066667,1819
C2405,Quebec,Bonaventure,18267,48.05,-65.4833,2612
C2406,Quebec,Avignon,15268,48.1439834,-66.6875886,2183
C2407,Quebec,La Matapedia,19920,48.3,-67.566667,2849
C2408,Quebec,Matane,22507,48.8445157,-67.5305758,3219
C2409,Quebec,La Mitis,19326,48.6535716,-68.1375384,2764
C2410,Quebec,Rimouski-Neigette,52289,48.4071182,-68.5899567,7477
C2411,Quebec,Les Basques,9848,48.1,-69.066667,1408
C2412,Quebec,Riviere-du-Loup,31826,47.835957,-69.5359854,4551
C2413,Quebec,Temiscouata,22420,47.6445035,-68.9357761,3206
C2414,Quebec,Kamouraska,22494,47.566059,-69.865995,3217
C2415,Quebec,Charlevoix-Est,16624,47.7333,-69.9833,2377
C2416,Quebec,Charlevoix,13166,47.4833,-70.4833,1883
C2417,Quebec,L'Islet,19368,47.1030919,-70.350007,2770
C2418,Quebec,Montmagny,23438,46.9801031,-70.5565719,3352
C2419,Quebec,Bellechasse,29570,46.7333,-70.7167,4229
C2420,Quebec,L'Ile-d'Orleans,6779,46.9654876,-70.9062611,969
C2421,Quebec,La Cote-de-Beaupre,20984,47.4123275,-71.2740404,3001
C2422,Quebec,La Jacques-Cartier,26459,47.033333,-71.583333,3784
C2423,Quebec,Communaute-Urbaine-de-Quebec,509950,46.8032826,-71.242796,72923
C2424,Quebec,Desjardins,51855,46.75,-71.116667,7415
C2425,Quebec,Les Chutes-de-la-Chaudiere,78808,46.7,-71.283333,11270
C2426,Quebec,La Nouvelle-Beauce,25850,46.4332145,-70.9554256,3697
C2427,Quebec,Robert-Cliche,18771,46.2555934,-70.8482693,2684
C2428,Quebec,Les Etchemins,17745,46.2985679,-70.4137389,2538
C2429,Quebec,Beauce-Sartigan,47873,46.016459,-70.6135498,6846
C2430,Quebec,Le Granit,21830,45.5955313,-70.9074786,3122
C2431,Quebec,L'Amiante,43247,46.1222951,-71.2259251,6184
C2432,Quebec,L'Erable,24021,46.1907518,-71.6337877,3435
C2433,Quebec,Lotbiniere,26851,46.616594,-71.930745,3840
C2434,Quebec,Portneuf,44955,46.6984528,-71.8910008,6429
C2435,Quebec,Mekinac,12809,47.0929111,-73.3187817,1832
C2436,Quebec,Le Centre-de-la-Mauricie,64841,46.6,-72.816667,9272
C2437,Quebec,Francheville,138355,46.5,-72.4167,19785
C2438,Quebec,Becancour,19088,46.3506215,-72.4350552,2730
C2439,Quebec,Arthabaska,64089,45.9394307,-72.0236274,9165
C2440,Quebec,Asbestos,14535,45.7741034,-71.9367197,2079
C2441,Quebec,Le Haut-Saint-Francois,21394,45.5241118,-71.4052592,3059
C2442,Quebec,Le Val-Saint-Francois,28176,45.5257527,-72.1250321,4029
C2443,Quebec,La Region-Sherbrookoise,141212,45.3528411,-72.0168846,20193
C2444,Quebec,Coaticook,16595,45.1336856,-71.8039462,2373
C2445,Quebec,Memphremagog,41871,45.2285619,-72.2066235,5988
C2446,Quebec,Brome-Missisquoi,46165,45.1333,-72.8,6602
C2447,Quebec,La Haute-Yamaska,79175,45.4,-72.733333,11322
C2448,Quebec,Acton,15167,45.5893025,-72.5239499,2169
C2449,Quebec,Drummond,87808,45.8614852,-72.5173998,12557
C2450,Quebec,Nicolet-Yamaska,23496,46.1511344,-72.612084,3360
C2451,Quebec,Maskinonge,23401,46.316667,-72.933333,3346
C2452,Quebec,D'Autray,38347,46.1720679,-73.2616025,5484
C2453,Quebec,Le Bas-Richelieu,50066,45.966667,-73,7159
C2454,Quebec,Les Maskoutains,78917,45.608058,-72.8944642,11285
C2455,Quebec,Rouville,29980,45.433333,-73.05,4287
C2456,Quebec,Le Haut-Richelieu,100753,45.2260631,-73.1815104,14408
C2457,Quebec,La Vallee-du-Richelieu,119993,45.596337,-73.2000611,17159
C2458,Quebec,Champlain,311838,46.4409094,-72.3450988,44593
C2459,Quebec,Lajemmerais,100263,45.6402054,-73.3628835,14338
C2460,Quebec,L'Assomption,103977,45.8166667,-73.4333333,14869
C2461,Quebec,Joliette,54167,46.0232219,-73.439239,7746
C2462,Quebec,Matawinie,43177,46.8005382,-74.0465474,6174
C2463,Quebec,Montcalm,38740,45.9,-73.666667,5540
C2464,Quebec,Les Moulins,110087,45.7557789,-73.6181046,15742
