uid,population,commuters,ratio
01001,43671,11921,0.272972911085
01003,140415,16981,0.120934373108
01005,29038,1651,0.0568565328191
01007,20826,4676,0.224527033516
01009,51024,13289,0.260446064597
01011,11714,1145,0.0977462864948
01013,21399,2165,0.101172952007
01015,112249,7320,0.0652121622464
01017,36583,6195,0.169340950715
01019,23988,5369,0.223820243455
01021,39593,9028,0.228020104564
01023,15922,1910,0.119959804045
01025,27867,2494,0.0894965371228
01027,14254,1987,0.139399466816
01029,14123,3644,0.258018834525
01031,43615,6640,0.152241201422
01033,54984,7880,0.14331441874
01035,14089,2239,0.158918305061
01037,12202,3562,0.291919357482
01039,37631,2657,0.0706066806622
01041,13665,2777,0.203219904866
01043,77483,9859,0.127240814114
01045,49129,7533,0.153331026481
01047,46365,2071,0.0446673137065
01049,64452,7183,0.111447278595
01051,65874,18685,0.283647569603
01053,38440,3137,0.0816077003122
01055,103459,10447,0.100977198697
01057,18495,2944,0.159178156258
01059,31223,4484,0.143612080838
01061,25764,5232,0.203074056823
01063,9974,1584,0.158812913575
01065,17185,2968,0.172708757637
01067,16310,3551,0.217719190681
01069,88787,4875,0.0549066867897
01071,53926,7752,0.14375254979
01073,662047,26735,0.0403823293512
01075,15904,2311,0.145309356137
01077,87966,11325,0.128742923402
01079,34803,9044,0.259862655518
01081,115092,16561,0.143893580788
01083,65676,13473,0.20514343139
01085,13473,3040,0.225636458101
01087,24105,3779,0.156772453848
01089,276700,7736,0.0279580773401
01091,22539,2300,0.102045343627
01093,31214,3779,0.121067469725
01095,82231,9406,0.114385085917
01097,399843,13068,0.03268282801
01099,24324,1393,0.0572685413583
01101,223510,6455,0.0288801395911
01103,111064,13755,0.123847511345
01105,11861,1685,0.142062220723
01107,20949,3532,0.168599933171
01109,29605,2529,0.0854247593312
01111,22380,3740,0.167113494191
01113,49756,12791,0.257074523676
01115,64742,17119,0.264418769887
01117,143293,41175,0.287348300336
01119,14798,1430,0.0966346803622
01121,80321,10880,0.135456480871
01123,41475,4884,0.117757685353
01125,164875,7940,0.0481576952237
01127,70713,10126,0.143198563206
01129,18097,3234,0.178703652539
01131,13183,1241,0.0941363877721
01133,24843,2988,0.120275329067
02013,2697,5,0.0018539117538
02016,5465,246,0.0450137236962
02020,260283,4052,0.015567670574
02050,16006,77,0.004810695989
02060,1258,8,0.00635930047695
02068,1893,109,0.0575805599577
02070,4922,42,0.00853311661926
02090,82840,842,0.0101641718976
02100,2392,57,0.0238294314381
02110,30711,218,0.00709843378594
02122,49691,1439,0.0289589664124
02130,14070,216,0.0153518123667
02150,13913,107,0.00769064903328
02164,1823,18,0.009873834339
02170,59322,8685,0.146404369374
02180,9196,45,0.00489343192692
02185,7385,30,0.00406228842248
02188,7208,13,0.00180355160932
02201,6146,107,0.0174096973641
02220,8835,109,0.01233729485
02232,3436,147,0.0427823050058
02240,6174,134,0.0217039196631
02261,10195,151,0.0148111819519
02270,7028,41,0.00583380762664
02280,6684,78,0.0116696588869
02282,808,24,0.029702970297
02290,6551,161,0.0245764005495
04001,69423,3488,0.0502427149504
04003,117755,2994,0.025425671946
04005,116320,4344,0.0373452544704
04007,51335,2186,0.0425830330184
04009,33489,2301,0.0687091283705
04011,8547,212,0.024804024804
04012,19715,892,0.0452447375095
04013,3072149,24007,0.0078143996271
04015,155032,14950,0.0964317044223
04017,97470,2866,0.0294039191546
04019,843746,9742,0.0115461288113
04021,179727,24019,0.133641578616
04023,38381,1729,0.0450483312055
04025,167517,7934,0.0473623572533
04027,160026,2292,0.0143226725657
05001,20749,719,0.0346522723987
05003,24209,1209,0.0499401049197
05005,38386,1559,0.0406137654353
05007,153406,12452,0.0811702280224
05009,33948,1802,0.0530811829857
05011,12600,1227,0.097380952381
05013,5744,1203,0.209435933148
05015,25357,1421,0.0560397523366
05017,14117,1161,0.0822412693915
05019,23546,1792,0.0761063450268
05021,17609,2202,0.125049690499
05023,24046,3076,0.127921483823
05025,8571,2525,0.294598063236
05027,25603,1583,0.0618286919502
