uid,region,name,population,latitude,longitude
U01001,Alabama,Autauga,43671,32.5364,-86.6445
U01003,Alabama,Baldwin,140415,30.6592,-87.7461
U01005,Alabama,Barbour,29038,31.8707,-85.4055
U01007,Alabama,Bibb,20826,33.0159,-87.1271
U01009,Alabama,Blount,51024,33.9774,-86.5672
U01011,Alabama,Bullock,11714,32.1018,-85.7173
U01013,Alabama,Butler,21399,31.7517,-86.682
U01015,Alabama,Calhoun,112249,33.7717,-85.8225
U01017,Alabama,Chambers,36583,32.9179,-85.3918
U01019,Alabama,Cherokee,23988,34.0695,-85.6542
U01021,Alabama,Chilton,39593,32.8541,-86.7266
U01023,Alabama,Choctaw,15922,31.991,-88.2489
U01025,Alabama,Clarke,27867,31.6855,-87.8186
U01027,Alabama,Clay,14254,33.2678,-85.8621
U01029,Alabama,Cleburne,14123,33.672,-85.5161
U01031,Alabama,Coffee,43615,31.4022,-85.9892
U01033,Alabama,Colbert,54984,34.7031,-87.8015
U01035,Alabama,Conecuh,14089,31.4283,-86.992
U01037,Alabama,Coosa,12202,32.9314,-86.2435
U01039,Alabama,Covington,37631,31.244,-86.4487
U01041,Alabama,Crenshaw,13665,31.7328,-86.3192
U01043,Alabama,Cullman,77483,34.1319,-86.8693
U01045,Alabama,Dale,49129,31.4307,-85.6095
U01047,Alabama,Dallas,46365,32.3335,-87.1144
U01049,Alabama,De Kalb,64452,34.4609,-85.804
U01051,Alabama,Elmore,65874,32.5972,-86.1427
U01053,Alabama,Escambia,38440,31.1217,-87.1684
U01055,Alabama,Etowah,103459,34.0476,-86.0344
U01057,Alabama,Fayette,18495,33.7322,-87.752
U01059,Alabama,Franklin,31223,34.442,-87.8428
U01061,Alabama,Geneva,25764,31.0909,-85.8243
U01063,Alabama,Greene,9974,32.8445,-87.9642
U01065,Alabama,Hale,17185,32.7528,-87.6231
U01067,Alabama,Henry,16310,31.517,-85.24
U01069,Alabama,Houston,88787,31.1582,-85.2964
U01071,Alabama,Jackson,53926,34.7635,-85.9774
U01073,Alabama,Jefferson,662047,33.5534,-86.8965
U01075,Alabama,Lamar,15904,33.7871,-88.0874
U01077,Alabama,Lauderdale,87966,34.9041,-87.651
U01079,Alabama,Lawrence,34803,34.5298,-87.3219
U01081,Alabama,Lee,115092,32.6041,-85.353
U01083,Alabama,Limestone,65676,34.8102,-86.9814
U01085,Alabama,Lowndes,13473,32.1479,-86.6506
U01087,Alabama,Macon,24105,32.387,-85.6929
U01089,Alabama,Madison,276700,34.7642,-86.5511
U01091,Alabama,Marengo,22539,32.2476,-87.7911
U01093,Alabama,Marion,31214,34.1382,-87.8816
U01095,Alabama,Marshall,82231,34.3096,-86.3217
U01097,Alabama,Mobile,399843,30.6846,-88.1966
U01099,Alabama,Monroe,24324,31.5803,-87.3833
U01101,Alabama,Montgomery,223510,32.2037,-86.2038
U01103,Alabama,Morgan,111064,34.4545,-86.8464
U01105,Alabama,Perry,11861,32.639,-87.2938
U01107,Alabama,Pickens,20949,33.2968,-88.0969
U01109,Alabama,Pike,29605,31.7987,-85.942
U01111,Alabama,Randolph,22380,33.2965,-85.4641
U01113,Alabama,Russell,49756,32.2898,-85.187
U01115,Alabama,St. Clair,64742,33.713,-86.3157
U01117,Alabama,Shelby,143293,33.2629,-86.6781
U01119,Alabama,Sumter,14798,32.5975,-88.2001
U01121,Alabama,Talladega,80321,33.3693,-86.1758
U01123,Alabama,Tallapoosa,41475,32.8634,-85.7996
U01125,Alabama,Tuscaloosa,164875,33.2902,-87.5229
U01127,Alabama,Walker,70713,33.7916,-87.3011
U01129,Alabama,Washington,18097,31.407,-88.2021
U01131,Alabama,Wilcox,13183,31.9903,-87.3022
U01133,Alabama,Winston,24843,34.1559,-87.3641
U02013,Alaska,Aleutians East,2697,55.2437,-161.9507
U02016,Alaska,Aleutians West,5465,51.9594,178.3388
U02020,Alaska,Anchorage,260283,61.1775,-149.2744
U02050,Alaska,Bethel,16006,60.9289,-160.1533
U02060,Alaska,Bristol Bay,1258,58.7314,-156.9866
U02068,Alaska,Denali,1893,63.6827,-150.0267
U02070,Alaska,Dillingham,4922,59.8248,-158.6022
U02090,Alaska,Fairbanks North Star,82840,64.6908,-146.5999
U02100,Alaska,Haines,2392,59.0999,-135.5781
U02110,Alaska,Juneau,30711,58.3727,-134.1788
U02122,Alaska,Kenai Peninsula,49691,60.3664,-152.322
