source,dest,data,model
01001,Canada,0,0
01001,Mexico,0,0
01003,Canada,0,0
01003,Mexico,4,0
01005,Canada,0,0
01005,Mexico,0,0
01007,Canada,0,0
01007,Mexico,0,0
01009,Canada,0,0
01009,Mexico,0,0
01011,Canada,0,0
01011,Mexico,0,0
01013,Canada,0,0
01013,Mexico,0,0
01015,Canada,0,0
01015,Mexico,0,0
01017,Canada,0,0
01017,Mexico,0,0
01019,Canada,0,0
01019,Mexico,0,0
01021,Canada,0,0
01021,Mexico,0,0
01023,Canada,0,0
01023,Mexico,0,0
01025,Canada,0,0
01025,Mexico,0,0
01027,Canada,0,0
01027,Mexico,0,0
01029,Canada,0,0
01029,Mexico,0,0
01031,Canada,0,0
01031,Mexico,0,0
01033,Canada,0,0
01033,Mexico,0,0
01035,Canada,0,0
01035,Mexico,0,0
01037,Canada,0,0
01037,Mexico,0,0
01039,Canada,0,0
01039,Mexico,0,0
01041,Canada,0,0
01041,Mexico,0,0
01043,Canada,0,0
01043,Mexico,0,0
01045,Canada,0,0
01045,Mexico,0,0
01047,Canada,0,0
01047,Mexico,0,0
01049,Canada,0,0
01049,Mexico,0,0
01051,Canada,0,0
01051,Mexico,0,0
01053,Canada,0,0
01053,Mexico,0,0
01055,Canada,0,0
01055,Mexico,0,0
01057,Canada,0,0
01057,Mexico,0,0
01059,Canada,0,0
01059,Mexico,0,0
01061,Canada,0,0
01061,Mexico,10,0
01063,Canada,0,0
01063,Mexico,0,0
01065,Canada,0,0
01065,Mexico,0,0
01067,Canada,0,0
01067,Mexico,0,0
01069,Canada,0,0
01069,Mexico,10,0
01071,Canada,4,0
01071,Mexico,8,0
01073,Canada,0,3
01073,Mexico,0,0
01075,Canada,0,0
01075,Mexico,0,0
01077,Canada,0,0
01077,Mexico,0,0
01079,Canada,0,0
01079,Mexico,0,0
01081,Canada,0,0
01081,Mexico,0,0
01083,Canada,0,0
01083,Mexico,0,0
01085,Canada,0,0
01085,Mexico,0,0
01087,Canada,0,0
01087,Mexico,0,0
01089,Canada,11,0
01089,Mexico,6,0
01091,Canada,0,0
01091,Mexico,0,0
01093,Canada,0,0
01093,Mexico,0,0
01095,Canada,0,0
01095,Mexico,0,0
01097,Canada,0,0
01097,Mexico,15,0
01099,Canada,0,0
01099,Mexico,0,0
01101,Canada,0,0
01101,Mexico,0,0
01103,Canada,0,0
01103,Mexico,0,0
01105,Canada,0,0
01105,Mexico,0,0
01107,Canada,0,0
01107,Mexico,0,0
01109,Canada,0,0
01109,Mexico,0,0
01111,Canada,0,0
01111,Mexico,0,0
01113,Canada,0,0
01113,Mexico,0,0
01115,Canada,0,0
01115,Mexico,0,0
01117,Canada,8,0
01117,Mexico,0,0
01119,Canada,0,0
01119,Mexico,0,0
01121,Canada,0,0
01121,Mexico,0,0
01123,Canada,0,0
01123,Mexico,0,0
01125,Canada,0,0
01125,Mexico,12,0
01127,Canada,0,0
01127,Mexico,0,0
01129,Canada,0,0
01129,Mexico,0,0
01131,Canada,0,0
01131,Mexico,0,0
01133,Canada,0,0
01133,Mexico,0,0
02013,Canada,0,0
02013,Mexico,0,0
02016,Canada,0,0
02016,Mexico,0,0
02020,Canada,23,1549
02020,Mexico,0,0
02050,Canada,0,0
02050,Mexico,0,0
02060,Canada,0,0
02060,Mexico,0,0
02068,Canada,0,0
02068,Mexico,0,0
02070,Canada,0,0
02070,Mexico,0,0
02090,Canada,0,107
02090,Mexico,0,0
02100,Canada,0,1
02100,Mexico,0,0
02110,Canada,0,96
02110,Mexico,0,0
02122,Canada,0,99
02122,Mexico,0,0
02130,Canada,0,136
02130,Mexico,0,0
02150,Canada,0,1
02150,Mexico,0,0
02164,Canada,0,0
02164,Mexico,0,0
02170,Canada,7,760
02170,Mexico,0,0
02180,Canada,0,0
02180,Mexico,0,0
02185,Canada,0,0
02185,Mexico,0,0
02188,Canada,0,0
02188,Mexico,0,0
02201,Canada,4,21
02201,Mexico,0,0
02220,Canada,0,9
02220,Mexico,0,0
02232,Canada,0,5
02232,Mexico,0,0
02240,Canada,0,1
02240,Mexico,0,0
02261,Canada,0,1
02261,Mexico,2,0
02270,Canada,0,0
02270,Mexico,0,0
02280,Canada,0,6
02280,Mexico,0,0
02282,Canada,0,0
02282,Mexico,0,0
02290,Canada,0,0
02290,Mexico,0,0
04001,Canada,19,0
04001,Mexico,0,7
04003,Canada,0,0
04003,Mexico,182,1887
04005,Canada,0,0
04005,Mexico,0,6
04007,Canada,0,0
04007,Mexico,0,4
04009,Canada,0,0
04009,Mexico,0,32
04011,Canada,0,0
04011,Mexico,0,0
04012,Canada,0,0
04012,Mexico,0,1
04013,Canada,94,23
04013,Mexico,154,4630
04015,Canada,0,0
04015,Mexico,19,32
04017,Canada,0,0
04017,Mexico,0,5
04019,Canada,52,0
04019,Mexico,246,1856
04021,Canada,0,0
04021,Mexico,7,354
04023,Canada,0,0
04023,Mexico,396,1499
04025,Canada,0,0
04025,Mexico,0,26
04027,Canada,0,0
04027,Mexico,131,1588
05001,Canada,0,0
05001,Mexico,0,0
05003,Canada,0,0
05003,Mexico,0,0
05005,Canada,0,0
05005,Mexico,0,0
05007,Canada,0,0
05007,Mexico,10,0
05009,Canada,0,0
05009,Mexico,0,0
05011,Canada,0,0
05011,Mexico,0,0
05013,Canada,0,0
05013,Mexico,0,0
05015,Canada,0,0
05015,Mexico,0,0
05017,Canada,0,0
05017,Mexico,0,0
05019,Canada,0,0
05019,Mexico,0,0
05021,Canada,0,0
05021,Mexico,0,0
05023,Canada,0,0
05023,Mexico,0,0
05025,Canada,0,0
05025,Mexico,0,0
05027,Canada,0,0
05027,Mexico,0,0
05029,Canada,0,0
05029,Mexico,0,0
05031,Canada,6,0
05031,Mexico,0,0
05033,Canada,0,0
05033,Mexico,8,0
05035,Canada,0,0
05035,Mexico,0,0
05037,Canada,0,0
05037,Mexico,0,0
05039,Canada,0,0
05039,Mexico,0,0
05041,Canada,0,0
05041,Mexico,0,0
05043,Canada,0,0
05043,Mexico,0,0
05045,Canada,0,0
05045,Mexico,0,0
05047,Canada,0,0
05047,Mexico,0,0
05049,Canada,0,0
05049,Mexico,0,0
05051,Canada,0,0
05051,Mexico,0,0
05053,Canada,0,0
05053,Mexico,0,0
05055,Canada,0,0
05055,Mexico,0,0
05057,Canada,0,0
05057,Mexico,0,0
05059,Canada,0,0
05059,Mexico,0,0
05061,Canada,0,0
05061,Mexico,11,0
05063,Canada,0,0
05063,Mexico,0,0
05065,Canada,0,0
05065,Mexico,0,0
05067,Canada,0,0
05067,Mexico,0,0
05069,Canada,9,0
05069,Mexico,0,0
05071,Canada,0,0
05071,Mexico,0,0
05073,Canada,7,0
05073,Mexico,0,0
05075,Canada,0,0
05075,Mexico,0,0
05077,Canada,0,0
05077,Mexico,0,0
05079,Canada,0,0
05079,Mexico,0,0
05081,Canada,0,0
05081,Mexico,0,0
05083,Canada,0,0
05083,Mexico,0,0
05085,Canada,0,0
05085,Mexico,0,0
05087,Canada,0,0
05087,Mexico,0,0
05089,Canada,0,0
05089,Mexico,0,0
05091,Canada,0,0
05091,Mexico,0,0
05093,Canada,0,0
05093,Mexico,0,0
05095,Canada,0,0
05095,Mexico,0,0
05097,Canada,0,0
05097,Mexico,0,0
05099,Canada,0,0
05099,Mexico,0,0
05101,Canada,0,0
05101,Mexico,0,0
05103,Canada,0,0
05103,Mexico,0,0
05105,Canada,0,0
05105,Mexico,0,0
05107,Canada,0,0
05107,Mexico,0,0
05109,Canada,0,0
05109,Mexico,0,0
05111,Canada,0,0
05111,Mexico,0,0
05113,Canada,0,0
05113,Mexico,6,0
05115,Canada,2,0
05115,Mexico,0,0
05117,Canada,0,0
05117,Mexico,0,0
05119,Canada,0,0
05119,Mexico,0,0
05121,Canada,0,0
05121,Mexico,0,0
05123,Canada,0,0
05123,Mexico,0,0
05125,Canada,0,0
05125,Mexico,0,0
05127,Canada,0,0
05127,Mexico,0,0
05129,Canada,0,0
05129,Mexico,0,0
05131,Canada,0,0
05131,Mexico,0,0
05133,Canada,0,0
05133,Mexico,0,0
05135,Canada,0,0
05135,Mexico,0,0
05137,Canada,0,0
05137,Mexico,0,0
05139,Canada,0,0
05139,Mexico,0,0
05141,Canada,0,0
05141,Mexico,0,0
05143,Canada,0,0
05143,Mexico,0,0
05145,Canada,0,0
05145,Mexico,0,0
05147,Canada,0,0
05147,Mexico,0,0
05149,Canada,0,0
05149,Mexico,0,0
06001,Canada,8,639
06001,Mexico,19,1888
06003,Canada,0,0
06003,Mexico,0,0
06005,Canada,0,0
06005,Mexico,0,0
06007,Canada,0,1
06007,Mexico,6,1
06009,Canada,0,0
06009,Mexico,0,0
06011,Canada,0,0
06011,Mexico,0,0
06013,Canada,24,348
06013,Mexico,35,943
06015,Canada,0,0
06015,Mexico,0,0
06017,Canada,0,6
06017,Mexico,0,11
06019,Canada,6,19
06019,Mexico,31,72
06021,Canada,0,0
06021,Mexico,0,0
06023,Canada,0,0
06023,Mexico,0,0
06025,Canada,0,0
06025,Mexico,459,2632
06027,Canada,0,0
06027,Mexico,0,0
06029,Canada,0,8
06029,Mexico,0,50
06031,Canada,0,0
06031,Mexico,0,2
06033,Canada,0,0
06033,Mexico,11,0
06035,Canada,0,0
06035,Mexico,0,0
06037,Canada,404,3141
06037,Mexico,722,31482
06039,Canada,0,1
06039,Mexico,6,2
06041,Canada,0,15
06041,Mexico,9,39
06043,Canada,0,0
06043,Mexico,0,0
06045,Canada,0,0
06045,Mexico,0,0
06047,Canada,0,4
06047,Mexico,0,9
06049,Canada,0,0
06049,Mexico,0,0
06051,Canada,0,0
06051,Mexico,0,0
06053,Canada,16,7
06053,Mexico,0,24
06055,Canada,0,1
06055,Mexico,0,2
06057,Canada,0,1
06057,Mexico,6,1
06059,Canada,94,641
06059,Mexico,202,9380
06061,Canada,15,15
06061,Mexico,0,32
06063,Canada,0,0
06063,Mexico,0,0
06065,Canada,50,191
06065,Mexico,57,10557
06067,Canada,5,202
06067,Mexico,26,481
06069,Canada,0,0
06069,Mexico,0,1
06071,Canada,0,354
06071,Mexico,118,3813
06073,Canada,55,75
06073,Mexico,2532,15718
06075,Canada,29,144
06075,Mexico,12,355
06077,Canada,17,45
06077,Mexico,8,113
06079,Canada,0,1
06079,Mexico,0,8
06081,Canada,18,197
06081,Mexico,42,552
06083,Canada,13,3
06083,Mexico,0,21
06085,Canada,18,315
06085,Mexico,19,961
06087,Canada,0,10
