uid,name,region,population,latitude,longitude
01001,Autauga,AL,54571,32.536382,-86.64449
01003,Baldwin,AL,182265,30.659218,-87.746067
01005,Barbour,AL,27457,31.87067,-85.405456
01007,Bibb,AL,22915,33.015893,-87.127148
01009,Blount,AL,57322,33.977448,-86.567246
01011,Bullock,AL,10914,32.101759,-85.717261
01013,Butler,AL,20947,31.751667,-86.681969
01015,Calhoun,AL,118572,33.771706,-85.822513
01017,Chambers,AL,34215,32.917943,-85.391812
01019,Cherokee,AL,25989,34.069515,-85.654242
01021,Chilton,AL,43643,32.85406,-86.726628
01023,Choctaw,AL,13859,31.991008,-88.248887
01025,Clarke,AL,25833,31.685521,-87.818624
01027,Clay,AL,13932,33.267809,-85.862051
01029,Cleburne,AL,14972,33.671981,-85.516109
01031,Coffee,AL,49948,31.402183,-85.989201
01033,Colbert,AL,54428,34.703112,-87.801457
01035,Conecuh,AL,13228,31.428293,-86.992029
01037,Coosa,AL,11539,32.931445,-86.243482
01039,Covington,AL,37765,31.243987,-86.448721
01041,Crenshaw,AL,13906,31.732826,-86.319222
01043,Cullman,AL,80406,34.131923,-86.869267
01045,Dale,AL,50251,31.430654,-85.609476
01047,Dallas,AL,43820,32.33354,-87.114356
01049,DeKalb,AL,71109,34.460929,-85.803992
01051,Elmore,AL,79303,32.597229,-86.142739
01053,Escambia,AL,38319,31.121748,-87.168429
01055,Etowah,AL,104430,34.047638,-86.03442
01057,Fayette,AL,17241,33.732249,-87.752049
01059,Franklin,AL,31704,34.441988,-87.842815
01061,Geneva,AL,26790,31.090866,-85.824346
01063,Greene,AL,9045,32.844497,-87.964201
01065,Hale,AL,15760,32.752796,-87.623061
01067,Henry,AL,17302,31.516978,-85.239971
01069,Houston,AL,101547,31.158193,-85.296398
01071,Jackson,AL,53227,34.763522,-85.9774
01073,Jefferson,AL,658466,33.553444,-86.896536
01075,Lamar,AL,14564,33.787085,-88.087431
01077,Lauderdale,AL,92709,34.904122,-87.650997
01079,Lawrence,AL,34339,34.529776,-87.321865
01081,Lee,AL,140247,32.604064,-85.353048
01083,Limestone,AL,82782,34.810239,-86.9814
01085,Lowndes,AL,11299,32.147888,-86.650586
01087,Macon,AL,21452,32.387027,-85.692887
01089,Madison,AL,334811,34.764238,-86.55108
01091,Marengo,AL,21027,32.247591,-87.791091
01093,Marion,AL,30776,34.138219,-87.881551
01095,Marshall,AL,93019,34.309564,-86.321668
01097,Mobile,AL,412992,30.684573,-88.196568
01099,Monroe,AL,23068,31.580332,-87.383266
01101,Montgomery,AL,229363,32.203651,-86.203831
01103,Morgan,AL,119490,34.454484,-86.846402
01105,Perry,AL,10591,32.639005,-87.293827
01107,Pickens,AL,19746,33.296809,-88.096878
01109,Pike,AL,32899,31.798726,-85.941997
01111,Randolph,AL,22913,33.296475,-85.464068
01113,Russell,AL,52947,32.289811,-85.18698
01115,St. Clair,AL,83593,33.712963,-86.315663
01117,Shelby,AL,195085,33.262937,-86.678104
01119,Sumter,AL,13763,32.597481,-88.200057
01121,Talladega,AL,82291,33.369277,-86.175805
01123,Tallapoosa,AL,41616,32.863369,-85.799553
01125,Tuscaloosa,AL,194656,33.290202,-87.52286
01127,Walker,AL,67023,33.791571,-87.301092
01129,Washington,AL,17581,31.406974,-88.202078
01131,Wilcox,AL,11670,31.99033,-87.302205
01133,Winston,AL,24484,34.155888,-87.364147
04001,Apache,AZ,71518,35.385845,-109.493747
04003,Cochise,AZ,131346,31.881793,-109.75412
04005,Coconino,AZ,134421,35.829692,-111.773728
04007,Gila,AZ,53597,33.789618,-110.81187
04009,Graham,AZ,37220,32.931828,-109.87831
04011,Greenlee,AZ,8437,33.238872,-109.242323
04012,La Paz,AZ,20489,33.727625,-114.038793
04013,Maricopa,AZ,3817117,33.346541,-112.495534
04015,Mohave,AZ,200186,35.717705,-113.749689
04017,Navajo,AZ,107449,35.390934,-110.320908
04019,Pima,AZ,980263,32.128237,-111.783018
04021,Pinal,AZ,375770,32.91891,-111.367257
04023,Santa Cruz,AZ,47420,31.525904,-110.84519
04025,Yavapai,AZ,211033,34.630044,-112.573745
04027,Yuma,AZ,195751,32.773942,-113.910905
05001,Arkansas,AR,19019,34.289574,-91.376547
05003,Ashley,AR,21853,33.190835,-91.772267
05005,Baxter,AR,41513,36.28071,-92.330438
05007,Benton,AR,221339,36.337825,-94.256187
05009,Boone,AR,36903,36.304308,-93.079204
05011,Bradley,AR,11508,33.463819,-92.168164
05013,Calhoun,AR,5368,33.56046,-92.513879
05015,Carroll,AR,27446,36.337774,-93.541663
05017,Chicot,AR,11800,33.267139,-91.297158
05019,Clark,AR,22995,34.053312,-93.176205
05021,Clay,AR,16083,36.367302,-90.418704
05023,Cleburne,AR,25970,35.566288,-92.059974
05025,Cleveland,AR,8689,33.893201,-92.188714
05027,Columbia,AR,24552,33.21507,-93.226901
05029,Conway,AR,21273,35.265702,-92.689248
05031,Craighead,AR,96443,35.828268,-90.630411
05033,Crawford,AR,61948,35.583041,-94.236224
05035,Crittenden,AR,50902,35.211878,-90.315331
05037,Cross,AR,17870,35.291259,-90.773894
05039,Dallas,AR,8116,33.967823,-92.653999
05041,Desha,AR,13008,33.828748,-91.244427
05043,Drew,AR,18509,33.587242,-91.722778
05045,Faulkner,AR,113237,35.146356,-92.324654
05047,Franklin,AR,18125,35.508573,-93.887672
05049,Fulton,AR,12245,36.383443,-91.819239
05051,Garland,AR,96024,34.578861,-93.146915
05053,Grant,AR,17853,34.288063,-92.423984
05055,Greene,AR,42090,36.119922,-90.565241
05057,Hempstead,AR,22609,33.728611,-93.665809
05059,Hot Spring,AR,32923,34.315177,-92.944147
05061,Howard,AR,13789,34.083179,-93.990988
05063,Independence,AR,36647,35.737499,-91.559942
05065,Izard,AR,13696,36.094879,-91.913625
05067,Jackson,AR,17997,35.596605,-91.223178
05069,Jefferson,AR,77435,34.277696,-91.930701
05071,Johnson,AR,25540,35.573359,-93.466322
05073,Lafayette,AR,7645,33.24066,-93.611643
05075,Lawrence,AR,17415,36.041098,-91.101153
05077,Lee,AR,10424,34.77975,-90.779288
05079,Lincoln,AR,14134,33.957665,-91.727624
05081,Little River,AR,13171,33.699497,-94.229774
05083,Logan,AR,22353,35.21855,-93.720563
05085,Lonoke,AR,68356,34.755114,-91.894132
05087,Madison,AR,15717,36.012545,-93.724053
05089,Marion,AR,16653,36.266656,-92.678588
05091,Miller,AR,43462,33.305505,-93.901509
05093,Mississippi,AR,46480,35.766943,-90.052209
05095,Monroe,AR,8149,34.679513,-91.203314
05097,Montgomery,AR,9487,34.545652,-93.664147
05099,Nevada,AR,8997,33.666699,-93.305072
05101,Newton,AR,8330,35.910063,-93.215084
05103,Ouachita,AR,26120,33.591158,-92.878418
05105,Perry,AR,10445,34.946363,-92.926877
05107,Phillips,AR,21757,34.425842,-90.848386
05109,Pike,AR,11291,34.158191,-93.658659
05111,Poinsett,AR,24583,35.568981,-90.680595
05113,Polk,AR,20662,34.490915,-94.230884
05115,Pope,AR,61754,35.455297,-93.031535
05117,Prairie,AR,8715,34.828225,-91.5572
05119,Pulaski,AR,382748,34.773988,-92.316515
05121,Randolph,AR,17969,36.341299,-91.028441
05123,St. Francis,AR,28258,35.014438,-90.742199
05125,Saline,AR,107118,34.648525,-92.674463
05127,Scott,AR,11233,34.858869,-94.063641
05129,Searcy,AR,8195,35.90966,-92.699351
05131,Sebastian,AR,125744,35.196981,-94.274989
